movie_id,movie_name,genre,description
tt5433140,Fast X,crime,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
tt11564570,Glass Onion,crime,Famed Southern detective Benoit Blanc travels to Greece for his latest case.
tt10365998,Infinity Pool,crime,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
tt14138650,The Pale Blue Eye,crime,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
tt15789492,Infiesto,crime,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work."
tt1877830,The Batman,crime,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
tt0068646,The Godfather,crime,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
tt8946378,Knives Out,crime,"A detective investigates the death of the patriarch of an eccentric, combative family."
tt10233718,Vadh,crime,"After their son moves to USA, a middle-class married couple is relentlessly harassed by a loan shark."
tt0993846,The Wolf of Wall Street,crime,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
tt11291274,The Unbearable Weight of Massive Talent,crime,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish)."
tt0110912,Pulp Fiction,crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
tt4873118,The Covenant,crime,"Follows Sergeant John, who on his last tour of duty in Afghanistan is teamed with local interpreter Ahmed, who risks his own life to carry an injured John across miles of grueling terrain to safety."
tt0468569,The Dark Knight,crime,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
tt0144084,American Psycho,crime,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
tt10366206,John Wick: Chapter 4,crime,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
tt12477480,Decision to Leave,crime,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
tt13614388,Little Dixie,crime,"Doc facilitates a fragile truce between the Governor and Cartel, trading prosecutorial leniency for finance. With no more truce, Doc is left to fend for himself and protect the one untainted thing in his life: his daughter, Little Dixie."
tt15600222,An Action Hero,crime,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding."
tt5537002,Killers of the Flower Moon,crime,Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.
tt3155298,Luther: The Fallen Sun,crime,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
tt2911666,John Wick,crime,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.
tt8367814,The Gentlemen,crime,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
tt5433138,F9: The Fast Saga,crime,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
tt12003946,Violent Night,crime,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas)."
tt7888964,Nobody,crime,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
tt1392214,Prisoners,crime,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
tt0264464,Catch Me If You Can,crime,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
tt5113044,Minions: The Rise of Gru,crime,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
tt7286456,Joker,crime,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
tt0232500,The Fast and the Furious,crime,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
tt0780536,In Bruges,crime,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
tt0477348,No Country for Old Men,crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
tt15255876,Emily the Criminal,crime,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
tt0075314,Taxi Driver,crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
tt0099685,Goodfellas,crime,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
tt7657566,Death on the Nile,crime,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
tt0114369,Se7en,crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
tt10151854,Shazam! Fury of the Gods,crime,"\"The film continues the story of teenage Billy Batson who, upon reciting the magic word \"\"SHAZAM!\"\" is transformed into his adult Super Hero alter ego"
tt0102926,The Silence of the Lambs,crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
tt0113277,Heat,crime,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
tt0407887,The Departed,crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
tt14873054,Transfusion,crime,A former Special Forces operative thrust into the criminal underworld to keep his only son from being taken from him.
tt4649466,Kingsman: The Golden Circle,crime,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
tt2278388,The Grand Budapest Hotel,crime,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
tt13640696,See How They Run,crime,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered."
tt0120689,The Green Mile,crime,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
tt4273800,The Good Nurse,crime,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
tt5027774,"Three Billboards Outside Ebbing, Missouri",crime,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
tt0071562,The Godfather Part II,crime,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
tt0290673,Irreversible,crime,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.
tt11897478,The Stranger,crime,"Two men who meet on a bus strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true."
tt0110413,Léon: The Professional,crime,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
tt1618434,Murder Mystery,crime,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
tt12573454,Sharper,crime,A con artist takes on Manhattan's billionaires.
tt0381707,White Chicks,crime,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.
tt0050083,12 Angry Men,crime,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
tt3397884,Sicario,crime,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
tt10016180,The Little Things,crime,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
tt0086250,Scarface,crime,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
tt0066921,A Clockwork Orange,crime,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
tt9620292,Promising Young Woman,crime,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
tt0116367,From Dusk Till Dawn,crime,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
tt14114802,The Outfit,crime,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
tt0086066,The Outsiders,crime,"The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other."
tt15255288,Murder Mystery 2,crime,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding."
tt8115900,The Bad Guys,crime,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
tt14714980,Poker Face,crime,"A tech billionaire hosts a high-stakes poker game between friends, but the evening takes a turn when long-held secrets are revealed, an elaborate revenge plot unfolds, and thieves break in."
tt0114814,The Usual Suspects,crime,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
tt6146586,John Wick: Chapter 3 - Parabellum,crime,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
tt1302006,The Irishman,crime,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
tt1469304,Baywatch,crime,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
tt11083552,Wrath of Man,crime,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.
tt0105236,Reservoir Dogs,crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
tt0327056,Mystic River,crime,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
tt14641788,Enola Holmes 2,crime,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel."
tt0118715,The Big Lebowski,crime,"\"Ultimate L.A. slacker Jeff \"\"The Dude\"\" Lebowski"
tt6722802,Marlowe,crime,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress."
tt0208092,Snatch,crime,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
tt4425200,John Wick: Chapter 2,crime,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
tt0087843,Once Upon a Time in America,crime,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
tt0120586,American History X,crime,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
tt1800241,American Hustle,crime,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
tt0278435,Enough,crime,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband."
tt11851548,Orphan: First Kill,crime,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family."
tt0110005,Heavenly Creatures,crime,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge."
tt0257044,Road to Perdition,crime,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
tt15301048,"Argentina, 1985",crime,A team of lawyers takes on the heads of Argentina's bloody military dictatorship during the 1980s in a battle against odds and a race against time.
tt0088930,Clue,crime,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
tt3890160,Baby Driver,crime,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
tt4998632,Ambulance,crime,Two robbers steal an ambulance after their heist goes awry.
tt11315808,Joker: Folie à Deux,crime,Plot unknown. Sequel to the 2019 film 'Joker.'
tt0317248,City of God,crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
tt3460252,The Hateful Eight,crime,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
tt11214590,House of Gucci,crime,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder."
tt0372784,Batman Begins,crime,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
tt0455944,The Equalizer,crime,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
tt5362988,Wind River,crime,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
tt7740496,Nightmare Alley,crime,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.
tt5315210,Lou,crime,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts."
tt5688068,Above Suspicion,crime,The true-crime story leading to the first-ever conviction of an F.B.I. Agent for murder.
tt0398165,The Longest Yard,crime,Prison inmates form a football team to challenge the prison guards.
tt0093870,RoboCop,crime,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
tt1232829,21 Jump Street,crime,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
tt0266697,Kill Bill: Vol. 1,crime,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
