movie_id,movie_name,genre,description
tt9114286,Black Panther: Wakanda Forever,action,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
tt1630029,Avatar: The Way of Water,action,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
tt5884796,Plane,action,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.
tt6710474,Everything Everywhere All at Once,action,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
tt5433140,Fast X,action,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
tt10954600,Ant-Man and the Wasp: Quantumania,action,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible."
tt9686790,Shotgun Wedding,action,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.
tt12593682,Bullet Train,action,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
tt1016150,All Quiet on the Western Front,action,A young German soldier's terrifying experiences and distress on the western front during World War I.
tt1745960,Top Gun: Maverick,action,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
tt12844910,Pathaan,action,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.
tt15486810,Teen Wolf: The Movie,action,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
tt1825683,Black Panther,action,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
tt1877830,The Batman,action,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
tt0092099,Top Gun,action,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
tt0499549,Avatar,action,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
tt13539646,The Wandering Earth II,action,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death."
tt6443346,Black Adam,action,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
tt7985704,Operation Fortune: Ruse de guerre,action,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
tt8041270,Jurassic World: Dominion,action,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
tt1392170,The Hunger Games,action,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt7693316,Devotion,action,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
tt11138512,The Northman,action,A young Viking prince is on a quest to avenge his father's murder.
tt1160419,Dune,action,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
tt0439572,The Flash,action,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
tt11291274,The Unbearable Weight of Massive Talent,action,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish)."
tt8093700,The Woman King,action,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
tt8178634,RRR,action,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
tt0120737,The Lord of the Rings: The Fellowship of the Ring,action,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt4873118,The Covenant,action,"Follows Sergeant John, who on his last tour of duty in Afghanistan is teamed with local interpreter Ahmed, who risks his own life to carry an injured John across miles of grueling terrain to safety."
tt10648342,Thor: Love and Thunder,action,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
tt2906216,Dungeons & Dragons: Honor Among Thieves,action,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
tt15829724,The Locksmith,action,"A thief fresh out of prison, tries to work his way back into the life of his daughter and ex-fiancé. Determined, he is forced to use the skills he has as a gifted locksmith. Things take a tumultuous turn after an unexpected disappearance."
tt0468569,The Dark Knight,action,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
tt1375666,Inception,action,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
