movie_id,movie_name,genre,description
tt9114286,Black Panther: Wakanda Forever,adventure,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
tt1630029,Avatar: The Way of Water,adventure,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
tt6710474,Everything Everywhere All at Once,adventure,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
tt3915174,Puss in Boots: The Last Wish,adventure,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
tt10954600,Ant-Man and the Wasp: Quantumania,adventure,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible."
tt2353868,True Spirit,adventure,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world."
tt12844910,Pathaan,adventure,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.
tt14668630,"Lyle, Lyle, Crocodile",adventure,Feature film based on the children's book about a crocodile that lives in New York City.
tt1825683,Black Panther,adventure,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
tt0499549,Avatar,adventure,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
tt6718170,The Super Mario Bros. Movie,adventure,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom
tt13539646,The Wandering Earth II,adventure,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death."
tt0241527,Harry Potter and the Sorcerer's Stone,adventure,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
tt6443346,Black Adam,adventure,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
tt0816692,Interstellar,adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
tt8041270,Jurassic World: Dominion,adventure,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
tt1392170,The Hunger Games,adventure,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt11138512,The Northman,adventure,A young Viking prince is on a quest to avenge his father's murder.
tt1160419,Dune,adventure,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
tt0439572,The Flash,adventure,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
tt8178634,RRR,adventure,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
tt0120737,The Lord of the Rings: The Fellowship of the Ring,adventure,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt10648342,Thor: Love and Thunder,adventure,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
tt2906216,Dungeons & Dragons: Honor Among Thieves,adventure,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
tt1375666,Inception,adventure,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt10872600,Spider-Man: No Way Home,adventure,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
