title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Round-up,1920,70,Comedy,6.0,George Melford,Edmund Day,A. Edward Sutherland,Irving Cummings,Guy Oliver,George Kuwa,"Following the quelling of Lajos Kossuth's 1848 revolution against Habsburg rule in Hungary, prison camps were set up for people suspected of being Kossuth's supporters. Around 20 years later, some members of highwayman Sándor Rózsa's guerrilla band, believed to be some of Kossuth's last supporters, are known to be interned among the prisoners in a camp. The prison staff try to identify the rebels and find out if Sándor is among them using various means of mental and physical torture and trickery. When one of the guerrillas, János Gajdar, is identified as a murderer by an old woman, he starts aiding his captors by acting as an informant. Gajdar is told that if he can show his captors a man who has killed more people than himself, he will be spared. Fearing for his life, he turns in several people his captors had been looking for by name, but could not identify among the prisoners.","","",""
Two Lovers,1928,98,Action,6.9,Fred Niblo,Baroness Emmuska Orczy,Fred Esmelton,Nigel De Brulier,Paul Lukas,Ronald Colman,"Leonard (Phoenix) is walking along a bridge over a creek in Brooklyn, when suddenly he jumps into the water in an attempted suicide. He changes his mind and quickly walks home to his parents' apartment. His mother, seeing him dripping wet, tells her husband their son has tried it again and it becomes evident that Leonard has tried to kill himself before.","","",""
Piccadilly,1929,92,Drama,7.1,Ewald André Dupont,Arnold Bennett,Charles Laughton,Cyril Ritchard,Jameson Thomas,Debroy Somers and His Band,"Valentine Wilmot's London nightclub and restaurant, Piccadilly Circus, is a great success due to his star attraction, dancing partners Mabel (Gilda Gray) and Vic (Cyril Ritchard). One night, a dissatisfied diner (Charles Laughton) disrupts Mabel's solo with his loud complaint about a dirty plate. When Wilmot investigates, he finds Shosho (Anna May Wong) distracting the other dishwashers with her dancing. He fires her on the spot.","","",""
Frankenstein,1931,70,Drama,7.8,James Whale,John L. Balderston,Edward Van Sloan,Boris Karloff,Dwight Frye,Colin Clive,"\"Dr. Henry Frankenstein (Colin Clive) wants to build a man in his own image, using the body of a dead man. He and his assistant Fritz (Dwight Frye) dig up a freshly buried coffin and steal the body. When they realize the head and the brains of the body are severely damaged, they decide to steal a brain from Dr. Frankenstein's former teacher Dr. Waldman (Edward van Sloan). When Fritz accidentally drops the glass jar with the label \"\"good brain\"\" on it",on the floor,"he decides to take the glass jar with the label \"\"bad brain\"\".",""
What Price Hollywood?,1932,88,Drama,7.0,George Cukor,Gene Fowler,Gregory Ratoff,Eddie 'Rochester' Anderson,Sam Armstrong,Neil Hamilton,"Brown Derby waitress Mary Evans (Constance Bennett) is an aspiring actress who has an opportunity to meet film director Maximillan Carey (Lowell Sherman) when she serves him one night. He is very drunk but is charmed by the young girl, and he invites her to a premiere at Grauman's Chinese Theatre. Adhering to his policy of living life with a sense of humor, he picks her up in a jalopy rather than a limousine and then gives the parking valet the car as a tip.","","",""
The Painted Veil,1934,85,Drama,6.5,Richard Boleslawski,John Meehan,Herbert Marshall,Warner Oland,Forrester Harvey,George Brent,"\"On a brief trip back to London, earnest, bookish bacteriologist Walter Fane (Edward Norton) is dazzled by Kitty Garstin (Naomi Watts), a vain London socialite. He proposes; she accepts (\"\"only to get as far away from [her] mother as possible\"\")",and the couple honeymoon in Venice. They travel on to Walter's medical post in Shanghai,where he is stationed in a government lab studying infectious diseases. They find themselves ill-suited,with Kitty much more interested in parties and the social life of the British expatriates.
Captain Blood,1935,119,Action,7.7,Michael Curtiz,Rafael Sabatini,Errol Flynn,Lionel Atwill,Henry Stephenson,Robert Barrat,"In 17th-century England, Irish doctor Peter Blood (Errol Flynn) is summoned to aid Lord Gildoy, a wounded patron who participated in the Monmouth Rebellion. Arrested while performing his duties as a physician, he is convicted of treason against the King and sentenced to death by the infamous Judge Jeffreys. By the whim of King James II, who sees an opportunity for profit, Blood and the surviving rebels are transported to the West Indies to be sold into slavery.","","",""
Mad Love,1935,68,Horror,7.2,Karl Freund,Maurice Renard,Keye Luke,Henry Kolker,Ted Healy,Colin Clive,"Tordesillas, 1554. Seventy four years old, Queen Joanna of Castile, called Juana La Loca (Joanna the Madwoman), is still mourning the loss of her husband who died a half century before. Joanna remembers with emotion the man she loved passionately, but who brought her ruin. She does not fear death, she says, because death would allow her to be reunited with her husband. Their story goes back almost 60 years.","","",""
The Man Who Lived Again,1936,66,Horror,6.6,Robert Stevenson,L. du Garde Peach,Boris Karloff,Boris Karloff,Lyn Harding,Charles Rolfe,"\"Dr. Laurience (Karloff), a once-respectable scientist, begins to research the origins of the mind and soul in an isolated manor house, aided only by the promising surgeon Clare Wyatt (Lee) and a wheelchair-using confederate named Clayton (Donald Calthrop). The scientific community rejects his theories and Laurience risks losing everything for which he has worked so obsessively. To save his research, Laurience (pronounced \"\"Lorenz\"\") begins to use his discoveries in brain transference for his own nefarious purposes",replacing the mind of philanthropist Lord Haslewood (Frank Cellier) with the personality of the crippled,caustic Clayton. With Lord Haslewood's wealth and prestige at his command,Laurience becomes an almost unstoppable mad scientist.
Show Boat,1936,113,Comedy,7.4,James Whale,Edna Ferber,Charles Winninger,Allan Jones,Sammy White,Paul Robeson,"Note: Although the basic plot of Show Boat has always remained the same, over the years revisions and alterations were made by the creators, and over time by subsequent producers and directors. Some of these revisions were for length and some for convenience, as when a different actor played a certain role and was unable to perform a specialty piece written for the role's creator. Some have been made to reflect contemporary sensitivities toward race, gender and other social issues.","","",""
The Demon Barber of Fleet Street,1936,76,Drama,5.8,George King,Frederick Hayward,Tod Slaughter,Bruce Seton,John Singer,Billy Holland,=== Prologue ===,"","",""
The Good Earth,1937,138,Drama,7.5,Sidney Franklin,Talbot Jennings,Keye Luke,Walter Connolly,Paul Muni,Ching Wah Lee,"\"The story begins on Wang Lung's wedding day and follows the rise and fall of his fortunes. The House of Hwang, a family of wealthy landowners, lives in the nearby town, where Wang Lung's future wife, O-Lan, lives as a slave. However, the House of Hwang slowly declines due to opium use, frequent spending, and uncontrolled borrowing. Meanwhile, Wang Lung, through his own hard work and the skill of his wife, O-Lan, slowly earns enough money to buy land from the Hwang family, piece by piece. O-Lan delivers three sons and three daughters; the first daughter becomes mentally handicapped as a result of severe malnutrition brought on by famine. Her father greatly pities her and calls her \"\"Poor Fool","\"\" a name by which she is addressed throughout her life. O-Lan kills her second daughter at birth to spare her the misery of growing up in such hard times",and to give the remaining family a better chance to survive. During the devastating famine and drought,the family must flee to a large city in the south to find work. Wang Lung's malevolent uncle offers to buy his possessions and land
The Prisoner of Zenda,1937,101,Drama,7.6,John Cromwell,Anthony Hope,Ricardo Lord Cezon,Torben Meyer,Raymond Massey,C. Aubrey Smith,"Having got off the train, Rudolf Rassendyll, a British subject, dressed up in the typical tweeds of an English sportsman, is going through passport check at a small principality somewhere in Europe. He is asked whether he is here for the coronation, he tells them he is on a fishing holiday. He notices that people keep staring at him.","","",""
"Wine, Women and Horses",1937,64,Drama,5.5,Louis King,Roy Chanslor,Eugene Jackson,Archie Robbins,Charley Foy,Dick Purcell,"His gal pal Valerie buys compulsive gambler Jim a meal after he goes broke. Jim takes off for points unknown and, stopping in a small Midwest town, he wins $20 off of George Mayhew in a game of horseshoes, then returns the money when he learns George can't afford to lose it.","","",""
The Adventures of Robin Hood,1938,102,Action,7.9,Michael Curtiz,Norman Reilly Raine,Patric Knowles,Errol Flynn,Claude Rains,Ian Hunter,"Richard the Lionheart (Ian Hunter), the King of England, is taken captive in 1191 by Leopold V, Duke of Austria while returning to England. Richard’s treacherous brother Prince John (Claude Rains) usurps the throne and proceeds to oppress the Saxons, raising taxes to secure his own position.","","",""
Mr. Moto Takes a Chance,1938,63,Drama,6.4,Norman Foster,Lou Breslow,J. Edward Bromberg,Robert Kent,Al Kikume,Peter Lorre,"Over the ruins of Angkor Wat in Cambodia we see the airplane Victoria Mason, aviatrix, flying around the globe. But her actual destination is the kingdom of Tong Moi in French Indochina. Already in Tong Moi, Mr. Moto is posing as an archeologist, and newsreel cameramen Marty Weston and Chick Davis are traveling up the river. Once she is overhead, Mason lights a flare and bails out of her smoking plane which crashes nearby. Rescued by Moto, Mason goes into the village with Bokor the head priest of Shiva. As Weston and Davis arrive at the crash site, Moto has discovered the flare that “caused” the accident.","","",""
The Saint in New York,1938,69,Drama,6.3,Ben Holmes,Charles Kaufman,Jack Carson,Frederick Burton,Paul Guilfoyle,Sig Ruman,"\"During a visit to Europe, Simon Templar (alias \"\"The Saint\"\") befriends a rich American whose son was recently murdered in New York City; the culprit went free due to police and courtroom corruption. Templar is given an offer he can't refuse: $1 million if he goes to New York and deals out his unique brand of justice to evildoers in that city.","","",""
Young Mr. Lincoln,1939,100,Drama,7.5,John Ford,Lamar Trotti,Richard Cromwell,Donald Meek,Eddie Quillan,Henry Fonda,"A family traveling through New Salem, Illinois in their wagon need groceries from Lincoln's store and the only thing of value they have is a barrel of old books including a law book, Blackstone's Commentaries. After thoroughly reading the book, Abe opts for the law after receiving encouragement from his early, ill-fated love, Ann Rutledge (Pauline Moore). Too poor to own even a horse, he arrives in Springfield on a mule and soon establishes a law practice with friend John Stuart (Edwin Maxwell). At a July 4 celebration, a man is murdered in a brawl – the accused are two brothers. Lincoln prevents the lynching of the accused at the jail by telling the angry mob he really needs these clients for his first real case. Admiring his courage, Mary Todd (Marjorie Weaver) – later to be his wife – invites Lincoln to her sister's soiree and expresses an intense interest in his future.","","",""
It's a Date,1940,103,Comedy,6.4,William A. Seiter,Norman Krasna,Samuel S. Hinds,Henry Stephenson,Lewis Howard,Walter Pidgeon,"\"The movie begins with Georgia Drake (Kay Francis) performing on the stage, singing \"\"Gypsy Lullaby\"\" while her daughter",Pamela (Deanna Durbin),watches with her boyfriend Freddie Miller (Lewis Howard). Georgia is an older Broadway actress who was once very famous. Her daughter,Pam
The Mummy's Hand,1940,67,Horror,6.0,Christy Cabanne,Griffin Jay,Charles Trowbridge,George Zucco,Eddie Foster,Cecil Kellaway,"The film begins with the Egyptian Andoheb (George Zucco) traveling to the Hill of the Seven Jackals in answer to the royal summons of the High Priest of Karnak (Eduardo Ciannelli). The dying priest of the sect explains the story of Kharis (Tom Tyler) to his follower. The tale closely parallels that of the original film, except that Kharis steals the sacred tana leaves in the hope of restoring life to the dead Princess Ananka. His penalty upon being discovered is to be buried alive, without a tongue, and the tana leaves are buried with him.","","",""
Ball of Fire,1941,111,Comedy,7.7,Howard Hawks,Charles Brackett,Allen Jenkins,Henry Travers,Oscar Homolka,Leonid Kinskey,"A group of bachelor professors (one was a widower) have lived together for some years in a New York City residence, compiling an encyclopedia of all human knowledge. The youngest, Professor Bertram Potts (Gary Cooper), is a grammarian who is researching modern American slang. The professors are accustomed to working in relative seclusion at a leisurely pace with a prim housekeeper named Miss Bragg (Kathleen Howard) keeping watch over them. Their impatient financial backer Miss Totten (Mary Field) suddenly demands that they finish their work soon.","","",""
Hold That Ghost,1941,86,Comedy,7.3,Arthur Lubin,Robert Lees,Marc Lawrence,Shemp Howard,Lou Costello,Mischa Auer,"\"Chuck Murray (Bud Abbott) and Ferdie Jones (Lou Costello), gas station attendants, aspire to better jobs waiting tables at Chez Glamour, a high-class nightclub, where Ted Lewis and The Andrews Sisters perform. However, Chuck and Ferdie cause a ruckus and wind up back at the gas station. Gangster \"\"Moose\"\" Mattson (William B. Davidson) brings his car in for servicing",and Chuck and Ferdie are caught inside the vehicle when the gangster speeds off to escape the police. During the chase shots are exchanged,and the gangster is killed by gunfire. However,through a strange clause in his will--which says that whoever is with him when he dies will get whatever he owns--Chuck and Ferdie inherit his rural nightspot
