title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Dante's Inferno,1911,71,Drama,7.0,Francesco Bertolini,Dante Alighieri,Attilio Motta,Arturo Pirovano,Pier Delle Vigne,Salvatore Papa,"The exhumation of Lizzie Siddal's desiccated body is seen, followed by a shot of Rossetti dancing among the flames of a bonfire of paintings by Reynolds and Gainsborough. A voice-over informs us that Rossetti is a founder of a revolutionary group of artists called the Pre-Raphaelite Brotherhood. The figure of the young Lizzie dressed as Joan of Arc appears above the flames.","","",""
The Cabinet of Dr. Caligari,1920,67,Horror,8.0,Robert Wiene,Carl Mayer,Ludwig Rex,Ludwig Rex,Werner Krauss,Hans Lanser-Ludolff,"\"As Francis (Friedrich Feher) sits on a bench with an older man who complains that spirits have driven him away from his family and home, a dazed woman named Jane (Lil Dagover) passes them. Francis explains she is his \"\"fiancée\"\" and that they have suffered a great ordeal. Most of the rest of the film is a flashback of Francis's story",which takes place in Holstenwall,a shadowy village of twisted buildings and spiraling streets. Francis and his friend Alan (Hans Heinrich von Twardowski),who are good-naturedly competing for Jane's affections
Sunrise,1927,94,Drama,8.1,F.W. Murnau,Carl Mayer,Arthur Housman,Eddie Boland,George O'Brien,Herman Bing,"In the summertime, described as vacation time, a Woman from the city (Margaret Livingston) travels to the country to sight see.She lingers in one particular town for weeks. One day she dresses up, asking the wife of her landlord to shine her high heeled shoes, and wanders through town. She arrives at the house of a farmer, The Man (George O'Brien) and his Wife (Janet Gaynor). The Man is about to sit down to dinner with his wife and notices the woman waiting for him. He seems guilty and nervous but he waves the City Woman to an area beyond the house, changes his coat, and leaves his house. His wife comes out from the kitchen, carrying dinner, and sadly notices that her husband has left. Two townswomen discuss how the young married couple used to be as happy as children. A flashback shows a happy farmer, wife, and child. The two old townswomen discuss how things have changed since the city woman arrived. They discuss how money lenders are stripping the farm while the wife sits alone. Another flashback shows two men leading a cow away as the Man watches. The wife leaves the empty dinner table to cry on her childs pillow.","","",""
Say It with Songs,1929,95,Drama,4.9,Lloyd Bacon,Darryl F. Zanuck,Kenneth Thomson,Al Jolson,John Bowers,Arthur Hoyt,"Joe Lane, radio entertainer and songwriter, learns that the manager of the studio, Arthur Phillips, has made improper advances to his wife, Katherine. Infuriated, Lane engages him in a fight, and the encounter results in Phillips' accidental death. Joe goes to prison and soon insists that Katherine divorce him, for her and their son's sake, and marry her employer, Dr. Merrill, since Joe has learned the doctor has feelings for Katherine and would provide for them well. When Joe is released he visits his son, Little Pal, at school and they embrace during outdoor recess. Joe says goodbye when recess is over, but Little Pal follows Joe downtown and is soon struck by a truck, causing the paralysis of his legs and loss of his voice.","","",""
The Lash,1930,77,Drama,5.4,Frank Lloyd,Lanier Bartlett,Richard Barthelmess,Erville Alderson,Robert Edeson,Arthur Stone,"When Francisco Delfino (Richard Barthelmess) goes off to study for four years at a university in Mexico, his home in California is a part of Mexico. By the time he returns (around 1850), however, California in the hands of the United States. He finds his family living in fear and the family estate is in shambles. Although the land deeds granted by the Spanish throne are supposed to be recognized by the U.S. government as proof of ownership, some unscrupulous California land commissioners are attempting to cheat the landowners.","","",""
The Sea Ghost,1931,62,Action,5.2,William Nigh,Burnet Hershey,Peter Erkelenz,Broderick O'Farrell,Harry Cording,Jack Kirk,"Navy Lieutenant Greg Winters (Alan Hale) is found guilty by a court-martial for pausing briefly to prepare to rescue survivors of the Alatania, a torpedoed ship, rather than attacking immediately the submarine responsible. As a result, he is sidelined for the rest of World War I.","","",""
Doctor X,1932,76,Comedy,6.4,Michael Curtiz,Robert Tasker,John Wray,Lionel Atwill,Arthur Edmund Carewe,Robert Warwick,"\"Reporter Lee Taylor (Lee Tracy) is investigating a series of pathological murders that have taken place over a series of months in New York City. The murders always take place at night, under the light of a full moon (the newspapers dubbing them the \"\"Moon Killer Murders\"\"). Furthermore","each body has been cannibalized after the murder has taken place. Witnesses to the events describe a horribly disfigured \"\"monster\"\" as the killer.","",""
Prestige,1931,71,Drama,5.6,Tay Garnett,Harry Hervey,Adolphe Menjou,Rollo Lloyd,Ian Maclaren,Melvyn Douglas,"In 1890s London, magician Robert Angier performs his trick, 'The Real Transported Man,' to a sold out theater. Rival magician Alfred Borden, in disguise, sneaks under the stage. At the trick's culmination, Angier drops through a trap door and into a waiting water tank, where Borden watches him drown.","","",""
Red Dust,1932,83,Comedy,7.2,Victor Fleming,John Lee Mahin,Forrester Harvey,Donald Crisp,Gene Raymond,Tully Marshall,"On a rubber plantation in French Indochina during the monsoon season, the plantation's owner/manager Dennis Carson (Gable), a prostitute named Vantine (Harlow), and Barbara Willis (Astor), the wife of an engineer named Gary Willis (Gene Raymond) are involved in a love triangle. Carson abandons an informal relationship with Vantine to pursue Barbara, but he has a change of heart and returns to Vantine.","","",""
Scarface,1932,93,Action,7.7,Howard Hawks,Armitage Trail,Boris Karloff,Osgood Perkins,Vince Barnett,C. Henry Gordon,"\"The film opens with a statement that the film is an indictment of gang rule and a call to the individual to do something about it since the government is your government. On 22nd Street in Chicago, a gentleman is cleaning up a club where some men who are hanging out are discussing the fact that Johnny Lovo is looking for some action on the south side. This man is \"\"Big Louis\"\" who has done well for himself. He makes a phone call in a phone booth. A shadowy figure comes in from the right and guns him down","wipes his gun and leaves. The man cleaning up the club puts on his jacket and leaves to avoid any complications.A newspaper editor is putting out a story that \"\"Big\"\" Louis Costello has been killed","and that this is the beginning of a gang war. He was the last of the older generation of gangsters. He wants \"\"gang war\"\" in the lead copy.Some cops (led by Guarino) (C. Henry Gordon) come to a barbershop. and the barber hides a man's gun under a towel. The man",Tony Camonte (Paul Muni)
