title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Big Parade,1925,151,Drama,7.9,King Vidor,Laurence Stallings,Arthur H. Allen,Robert Ober,John Gilbert,Tom O'Brien,"\"In the United States in 1917, James \"\"Jim\"\" Apperson's (John Gilbert) idleness (in contrast to his hardworking brother) incurs the great displeasure of his wealthy businessman father. Then America enters World War I. Jim informs his worried mother that he has no intention of enlisting",and his father threatens to kick him out of the house if he does not join. However,when he runs into his patriotic friends at a send-off parade,he is persuaded to enlist
Faust,1926,107,Drama,8.1,F.W. Murnau,Gerhart Hauptmann,Hans Brausewetter,William Dieterle,Emil Jannings,Gösta Ekman,"The demon Mephisto has a bet with an Archangel that he can corrupt a righteous man's soul and destroy in him what is divine. If he succeeds, the Devil will win dominion over earth.","","",""
The Manxman,1929,110,Drama,6.2,Alfred Hitchcock,Hall Caine,Randle Ayrton,Malcolm Keen,Carl Brisson,Kim Peacock,"The film tells the story of two close childhood friends, a handsome but poor fisherman, Pete Quilliam (Carl Brisson), and a well-educated middle-class lawyer, Philip Christian (Malcolm Keen); Both the young men are smitten with beautiful and lively Kate (Anny Ondra), the pub owner's daughter. In Pete's case, Kate is also interested in him, or at least she enjoys having him as a suitor.","","",""
The Dawn Patrol,1930,108,Action,7.1,Howard Hawks,John Monk Saunders,Richard Barthelmess,Jack Ackroyd,Neil Hamilton,Clyde Cook,"\"During World War I, the pilots of an RFC squadron deal with the stress of combat primarily through nightly bouts of heavy drinking. The two aces of the squadron's \"\"A Flight\"\"",Courtney (Richard Barthelmess) and Scott (Douglas Fairbanks Jr),have come to hate the commanding officer,Brand (Neil Hamilton)
Playing Around,1930,66,Comedy,5.9,Mervyn LeRoy,Frances Nordstrom,William Bakewell,Chester Morris,Shep Camp,Richard Carlyle,"Alice White plays the part of a working class girl who dreams about living a life of luxury. Her father, Richard Carlyle, runs a cigar store while White works as a stenographer. William Bakewell, a soda jerker, is madly in love with White and has even asked her father for his consent to their marriage. Although Carlyle likes Bakewell and would like to see her daughter marry him, White refuses to consider marrying him on the wage he currently earns. One day, White convinces Bakewell to take her to a fancy exclusive nightclub. Once they arrive and are seated, Bakewell is shocked at the prices and suggests that they go elsewhere. This leads to an argument with White. As the couple is about to leave, an announcement is made for a leg contest and White decides to enter. She wins first place and is awarded her prize by Chester Morris, a gangster. Dazzled by his fancy clothes and car, White accepts his attentions and give Bakewell the air.","","",""
"Ride Him, Cowboy",1932,55,Action,5.5,Fred Allen,Kenneth Perkins,Henry B. Walthall,Duke,Frank Hagney,Chuck Baldra,"John Drury (John Wayne) is passing through when townsfolk are about to kill Duke, a horse they believe to be dangerous. He convinces them to reprieve the animal if he can ride it. He does, earning the gratitude of Ruth Gaunt (Ruth Hall).","","",""
The Bitter Tea of General Yen,1932,88,Drama,6.9,Frank Capra,Grace Zaring Stone,Gavin Gordon,Richard Loo,Walter Connolly,Emmett Corrigan,"In the late 1920s in Shanghai during the Chinese Civil War, as throngs of refugees flee the rainswept city, a couple of elderly missionaries welcomes guests to their home for the wedding of Dr. Robert Strike (Gavin Gordon), a fellow missionary, and Megan Davis (Barbara Stanwyck), his childhood sweetheart whom he has not seen in three years. Some of the missionaries have a cynical view of the Chinese people they have come to save. Shortly after Megan arrives, her fiancé Bob rushes in and postpones the wedding so he can rescue a group of orphans who are in danger from the spreading civil war. Megan insists on accompanying him on his mission.","","",""
Christopher Strong,1933,78,Action,6.3,Dorothy Arzner,Zoe Akins,Agostino Borgato,Colin Clive,Desmond Roberts,Ralph Forbes,"In London Monica (Helen Chandler) and her boyfriend Harry attend a scavenger hunt party given by Monica's aunt, Carrie. When nearly everyone wins, Carrie announces a new challenge: women must find a man who has been married over 5 years who is still faithful and men must find a woman over 20 who has never had a love affair. Though Harry has been married over 5 years and Monica is 21 neither fits the other requirement.","","",""
Flying Down to Rio,1933,89,Comedy,6.6,Thornton Freeland,Cyril Hume,Gene Raymond,Raul Roulien,Roy D'Arcy,Fred Astaire,"The film opens with an airplane flying straight at the audience. Its propeller spins into the films title frame. During the opening credits each of the principal characters is introduced in a film clip from the movie that includes their real name and the character they portray. Then, the same airplane shot is seen; this time its propeller spins into a distant shot of the Hotel Hibiscus in Miami. A sign appears: Hotel Hibiscus, Roger Bond and His Yankee Clipper Band Now Playing in the Date Grove.","","",""
Gold Diggers of 1933,1933,97,Comedy,7.7,Mervyn LeRoy,Erwin Gelsey,Dick Powell,Guy Kibbee,Robert Agnew,Warren William,"\"The \"\"gold diggers\"\" are four aspiring actresses: Polly (Ruby Keeler)",an ingenue; Carol (Joan Blondell),a torch singer; Trixie (Aline MacMahon),a comedian; and Fay (Ginger Rogers)
