title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Student of Prague,1913,85,Drama,6.4,Hanns Heinz Ewers,Hanns Heinz Ewers,Lothar Körner,John Gottowt,Fritz Weidemann,Paul Wegener,"Being praised as the finest fencer in his University is not enough for Balduin (Paul Wegener). As everyone around him at the University praises him for his accomplishments as a swordsmen and celebrates him, Balduin plants himself on a bench where he can be alone. Scapinelli (John Gottowt) quickly pulls up on his carriage and notices Balduin pouting by himself as the rest of the student body is celebrating and dancing. He sees his opportunity to take advantage of Balduin for his own gain. Scapinelli starts pitching his idea to Balduin. While in negotiations, a mysterious wandering girl (Lyda Salmonova), a lower class women, watches, as Balduin and Scapinelli discuss ways to better Balduin's life. After being very easily convinced, Balduin leads Scapanelli to his home. As they are walking down a road, a young lady, the countess (Grete Berger), gets into an accident. Balduin sees his opportunity to rescue her. He quickly dives into a pond, where she was dumped by an out of control horse, grabs the stunned young lady, and brings her to the shallow. Since he rescues her, she makes him a promise to meet with him again. As soon as the men reach Balduins home, the negotiations begin. Scapanelli pulls a contract out from his coat. The contract states that in return for love and gold Scapanelli may take any one item from Balduins home. To help Balduin make up his mind, Scapanelli pulls out a never-ending bag of gold. The gold flows at an alarming rate out of Scapinellis sleeve, which, much to the amazement of Balduin helps to seal the deal. Agreeing to the seemingly beneficial terms, Balduin signs the contract. Scapinelli immediately goes for what he wants. He walks over to the mirror tat is hanging on the wall, touches up and down the side of the mirror, stunning Balduin, as Scapanelli removes his reflection from the mirror, essentially taking Balduins soul. Despite fearing he has made a big mistake, Balduin makes the best of his newfound wealth. He goes to the local club, drinks, dances, and is courted by women all around him. Balduin is soon called on by the count (Lothar Korner) to have him come to the counts abode. Balduin has a conversation with the countess when he arrives, unknowing that he is being watched by the a wandering girl. As they are talking, the wandering girl has climbed up to the balcony and watches them from behind the pillars and banisters so she can stay hidden. After they both leave, the wandering girl grabs a piece of evidence that Balduin has carelessly left behind. Balduin soon finds himself falling for the countess and attempts to arrange another meeting with her. Balduin is soon faced with the reality of his agreement with Scapinelli, when his double, which looks just like he does, stalks him and interferes with his attempts to impress the countess. As he and the countess, forced to meet in private, are meeting again a graveyard, Balduins double make his presence known. Seeing a double of Balduin frightens the countess and she runs away. Haunted by his own reflection, Balduin struggles to lead a normal life. The wandering girl soon brings to the attention of the counts uncle, Baron Waldis-Schwarzenbrg (Fritz Weidemann), that the countess and Balduin have been meeting in private. She brings the note that she found after Balduin and the countess had met on the balcony and shows him. Angered by this, the count challenges Balduin to a duel. Hearing the rumors of how good Balduin is at sword fighting, he is asked by the Baron to please not kill the count. Balduin agrees not to kill him but his double does not. The next morning, on his way to the duel, he comes in contact with his double again. Noticing the swagger behind the doubles appearance and the cleaning of his sword, Balduin soon realizes that his double killed the count. Completely mortified by this, Balduin runs away and buries himself in bottles of alcohol and his money at the same club he was at before. This time instead of him celebrating his new life, he is watching as the wandering girl and everyone else around him enjoys their night. Realizing he isnt going to get the countess being depressed in the club, Balduin heads to her house. He gets to the outer gate of her house, because there is no way to get through the gate, Balduin is forced to climb over the fence. When he finally makes it over, Balduin is faced with another obstacle; the countess room is not on ground level. Finding a ladder nearby, Balduin scales the wall. He makes it to her balcony and sees her in her room. His plan works and the countess kisses him passionately until the double reappears through the window. Balduin finally loses it and runs all over town, outside of the countess house, up the road, finally to his new home. When he gets into his house he frantically searches for something, finally coming across a gun in one of his drawers. In a desperate attempt to rid himself of this nightmare he pulls the gun out and shoots his reflection. Rejoicing in this victory doesnt last long as Balduin soon realizes he has shot himself. Scapinelli enters and finds Balduin laying dead on the ground. He then begins to dance around and celebrate his conquest over Balduin. He grabs the contract that Balduin had signed earlier rips it up and throws it into the air, smirks, and continues his celebration out the door.",haunting,test,imdb
The Four Horsemen of the Apocalypse,1921,150,Drama,7.1,Rex Ingram,Vicente Blasco Ibáñez,Pomeroy Cannon,John St. Polis,Rudolph Valentino,Alan Hale,"\"Madariaga \"\"The Centaur\"\" (Pomeroy Cannon)",a harsh but popular Argentine landowner,has a German son-in-law whom he dislikes and a French one whose family he openly favors. He is particularly fond of his grandson Julio (Rudolph Valentino),with whom he often carouses at seedy dives in the Boca district of Buenos Aires. In one of these bars
Orphans of the Storm,1921,150,Drama,7.3,D.W. Griffith,Adolphe d'Ennery,Frank Puglia,Creighton Hale,Frank Losee,Morgan Wallace,"Just before the French Revolution, Henriette takes her close adopted sister Louise to Paris in the hope of finding a cure for her blindness. She promises Louise that she will not marry until Louise can look upon her husband to approve him. Lustful aristocrat de Praille (whose carriage kills a child, enraging peasant father, Forget-not) meets the two outside Paris. Taken by the virginal Henriette's beauty, he has her abducted and brought to his estate where a lavish party is being held, leaving Louise helpless in the big city. An honorable aristocrat, the Chevalier de Vaudrey helps Henriette to escape de Praille and his guests by successfully fighting a duel with him. The scoundrel Mother Frochard, seeing an opportunity to make money, tricks Louise into her underground house to be kept prisoner. Unable to find Louise with the help of the Chevalier, Henriette rents a room, but before leaving her de Vaudrey comforts and kisses the distressed woman. Later, Henriette gives shelter to admirable politician Danton, who after an attack by Royalist spies following a public speech falls for her. As a result, she runs foul of the radical revolutionary Robespierre, a friend of Danton.","","",""
He Who Gets Slapped,1924,95,Drama,7.8,Victor Sjöström,Leonid Andreyev,Lon Chaney,Lon Chaney,Pierre Watkin,John Gilbert,"Paul Beaumont (Lon Chaney) is a scientist who labored for years alone to prove his radical theories on the origin of mankind. Baron Regnard (Marc McDermott) becomes his patron, enabling him to do research while living in his mansion. One day, Beaumont announces to his beloved wife Marie and the Baron that he has proved all his theories and is ready to present them before the Academy of the Sciences. He leaves the arrangements to the Baron. However, after Beaumont goes to sleep, Marie steals his key, opens the safe containing his papers, and gives them to the baron.","","",""
The Lodger: A Story of the London Fog,1927,92,Drama,7.3,Alfred Hitchcock,Marie Belloc Lowndes,Arthur Chesney,Reginald Gardiner,Malcolm Keen,Alfred Hitchcock,"\"A young blonde woman, her golden hair illuminated, screams. She is the seventh victim of a serial killer known as \"\"The Avenger\"\"",who targets young blonde women on Tuesday evenings.,"",""
The Set-Up,1926,55,Action,6.8,Clifford Smith,L.V. Jefferson,C. Montague Shaw,Albert Schaefer,Rex the Dog,William Welsh,"\"Bill \"\"Stoker\"\" Thompson (Robert Ryan) is a 35-year-old has-been boxer about to take on an opponent at the fictional Paradise City Arena. His wife",Julie (Audrey Totter),fears that this fight may be his last and wants him to forfeit the match. Tiny (George Tobias),Stoker's manager
Flight,1929,110,Action,6.0,Frank Capra,Ralph Graves,Harold Goodwin,Joe Bordeaux,Jimmy De La Cruze,Jack Holt,"After causing the loss of the big football game for his college, Lefty Phelps wins the respect of Panama Williams, a Marine flyer who has witnessed his defeat, when Lefty defends himself against accusations of throwing the game. Upon graduation, Lefty enlists in the Marine Corps flying school where Panama, an instructor at the school, befriends him. On the day of his first solo flight, Lefty is taunted by Steve Roberts, a fellow recruit, who reminds him of his humiliating defeat on the football field. His confidence undermined, Lefty crashes the plane, after which Panama rescues him from the burning craft, injuring his hands in the process. Lefty is taken to the hospital, where he falls in love with Elinor, his nurse. When the Marines are sent to quell a native rebellion in Nicaragua, Panama arranges for Lefty, who has flunked flying school, to accompany him as a mechanic. Before they leave, Panama shows Lefty a photograph of Elinor, explaining that she is the girl he longs to marry, and Lefty says nothing of his own feelings for her. Elinor, also sent to Nicaragua, is puzzled by Lefty's cool reception when she arrives at the base. Soon afterwards, the tongue-tied Panama asks Lefty to propose to Elinor on his behalf and Lefty reluctantly agrees. Panama's proxy proposal prompts Elinor to tell him of her love for Lefty, after which Panama accuses Lefty of betrayal. Their confrontation is interrupted by an urgent call for aerial support against a rebel uprising. Lefty is teamed with Steve Roberts, and their plane is gunned down in a swamp. Rather than join in the rescue mission, Panama reports in sick while, back at the swamp, Steve lies paralyzed with a broken back. After the rescue attempt fails, Elinor convinces Panama that Lefty never betrayed him, and Panama volunteers to fly a search mission alone. Just as Lefty cremates Steve's body, he hears the sound of a plane and looks up to see Panama. Upon landing, Panama is wounded, but Lefty deftly seizes the controls and soars airborne. When the plane loses a wheel, Panama tries to take control of the craft, but Lefty executes a brilliant solo landing. Sometime later, Lefty has won his wings and is now an instructor at the school with Elinor at his side.",melodrama,train,imdb
Tanned Legs,1929,71,Comedy,5.3,Marshall Neilan,Thomas J. Geraghty,Lincoln Stedman,Edmund Burns,Albert Gran,Allen Kearns,"Peggy is the daughter of Mr. Reynolds and his wife Sophie. Although married, both of the elder Reynolds are having romantic interludes with younger people, Mrs. Lyons-King and Roger Fleming, respectively. In addition, Peggy's sister, Janet, is infatuated with Clinton Darrow, a ne'er-do-well, who is only interested in the Reynolds' money, not in Janet. Peggy is in the only normal relationship, with her boyfriend, Bill.","","",""
Little Caesar,1931,79,Action,7.2,Mervyn LeRoy,W.R. Burnett,Ralph Ince,Edward G. Robinson,Edward G. Robinson,Thomas E. Jackson,"\"Small-time Italian-American criminals Caesar Enrico \"\"Rico\"\" Bandello (Edward G. Robinson) and his friend Joe Massara (Douglas Fairbanks",Jr.) move from New York to Chicago to seek their fortunes. Rico joins the gang of Sam Vettori (Stanley Fields),while Joe wants to be a dancer. Olga (Glenda Farrell) becomes his dance partner and girlfriend at the local taxi dance club.Joe tries to drift away from the gang and its activities including running several speakeasys and illegal gambling casinos,"but Rico (whom the gang now refers to by his nickname 'Little Caesar') makes him participate in the robbery of the nightclub where he works. Despite orders from underworld overlord \"\"Big Boy\"\" (Sidney Blackmer) to all his men to avoid bloodshed"
Spring Is Here,1930,69,Comedy,5.6,John Francis Dillon,Owen Davis,Frank Albertson,Alexander Gray,Lawrence Gray,Ford Sterling,"As the film begins, we find Bernice Claire in love with Lawrence Gray. Claire's father, played by Ford Sterling, disapproves of Lawrence but approves another suitor, played by Alexander Gray. Alexander is shy and clumsy while Lawrence is outgoing and romantic. When Bernice returns one night at 5 a.m. with Lawrence, her father orders him to stay away from his daughter. Alexander, being discouraged at being rejected by Bernice, is offered help by Inez Courtney, Bernice's younger sister. Alexander follows her advice and attempts to make Bernice jealous to get her attention. He makes love to several women, including Bernice's mother. The trick works and soon Bernice thinks she is deeply in love with Alexander. Sterling gets into an argument with Lawrence and tells him to leave his house for good. Lawrence returns in the middle of the night to elope with Bernice but Alexander shows up and carries her off for himself. In the morning they are found together in Bernice's room, to the shock of the family, and they eventually reveal to everyone that they have eloped.",romantic,test,wikipedia
The Unholy Three,1930,72,Drama,6.7,Jack Conway,Clarence Aaron 'Tod' Robbins,Harry Earles,Lon Chaney,Crauford Kent,Elliott Nugent,"\"Three performers leave a sideshow after Tweedledee (Harry Earles), the midget, assaults a young heckler and sparks a melee. The three join together in an \"\"unholy\"\" plan to become wealthy. Prof. Echo",the ventriloquist,assumes the role of Mrs. O'Grady,a kindly old grandmother
The Crooked Circle,1932,70,Comedy,5.3,H. Bruce Humberstone,Ralph Spence,Ben Lyon,Robert Frazer,Berton Churchill,C. Henry Gordon,"\"Before a boxer dies in an accident, he mentions that he should \"\"get lost like Joe Kelly\"\" to sportswriter Ken Cooper. Now curious what became of Kelly",a former contender,Cooper locates him in a remote town where Joe runs a fishing lodge with his brother,Tommy.
The Mask of Fu Manchu,1932,68,Horror,6.2,Charles Brabin,Irene Kuhn,Everett Brown,David Torrence,Steve Clemente,Boris Karloff,"\"Sir Denis Nayland Smith (Lewis Stone) of the British Secret Service warns Egyptologist Sir Lionel Barton (Lawrence Grant) that he must beat Fu Manchu in the race to find the tomb of Genghis Khan. The power-mad Fu Manchu (Boris Karloff) intends to use the sword and mask to proclaim himself the reincarnation of the legendary conqueror and inflame the peoples of Asia and the Middle East into a war to wipe out the \"\"white race\"\". Sir Lionel is kidnapped soon afterward and taken to Fu Manchu. Fu Manchu tries bribing his captive",even offering his own daughter,Fah Lo See (Myrna Loy). When that fails,"Barton suffers the \"\"torture of the bell\"\" (lying underneath a gigantic"
Island of Lost Souls,1932,70,Horror,7.4,Erle C. Kenton,Waldemar Young,Arthur Hohl,Bela Lugosi,Charles Laughton,Paul Hurst,"Shipwrecked traveler Edward Parker (Richard Arlen) is rescued by a freighter delivering animals to an isolated South Seas island owned by Dr. Moreau (Charles Laughton). When Parker objects to the freighter's captain (Stanley Fields) mistreating M'ling (Tetsu Komai), an odd-looking passenger, the captain tosses Parker overboard into Mr. Montgomery (Arthur Hohl) and Moreau's boat.","","",""
Of Human Bondage,1934,83,Drama,7.0,John Cromwell,Lester Cohen,Reginald Denny,Reginald Sheffield,Alan Hale,Charles Coleman,"The book begins with the death of Helen Carey, the much beloved mother of nine-year-old Philip Carey. Philip has a club foot and his father had died a few months before. Now orphaned, he is sent to live with his aunt Louisa and uncle William Carey.","","",""
One Night of Love,1934,84,Comedy,5.6,Victor Schertzinger,S.K. Lauren,Tullio Carminati,Andrés de Segurola,Enrique Acosta,Luis Alberni,"Opera singer Mary Barrett (Grace Moore) leaves to study music in Milan, Italy to the disappointment of her family in New York City. Mary gets a job at the Cafe Roma, where Giulio Monteverdi (Tullio Carminati), a famous vocal coach, hears her sing. Giulio promises to make Mary a star if she will allow him to control her life. He also tells her that there cannot be any romance between the two of them, as that would distract from the process of growing her talent. Mary discovers she has stagefright as she prepares for a tour of provincial opera houses, however Giulio helps her overcome it.","","",""
Ceiling Zero,1936,95,Drama,6.7,Howard Hawks,Frank Wead,Pat O'Brien,James Cagney,Dick Purcell,Craig Reynolds,"Old pals Jake Lee (Pat O'Brien), Tex Clarke (Stuart Erwin) and Dizzy Davis (James Cagney) flew together in the Army during World War I. Almost 20 years later, Jake is the manager of the Newark, New Jersey branch of Federal Airlines, a New York-based airline company. Tex works as an airmail pilot and Dizzy, also still flying aircraft, is seeking employment with his friends. Prior to his hot-shot arrival (Dizzy does a few tricks in the air before landing), a New York associate warns Jake about Dizzy, calling him unreliable and troublesome. Insulted, Jake replies that Dizzy is one of the best pilots in the country, telling a few stories about his fearlessness and bravery.","","",""
Murder in the Fleet,1935,69,Comedy,5.6,Edward Sedgwick,Frank Wead,Nat Pendleton,Ted Healy,Robert Taylor,Mischa Auer,"Captain John Winslow (Arthur Byron) is notified by the Secretary of the Navy that his cruiser will be receiving a new firing control gear manufactured by World Electric company, which is supposed to revolutionize naval warfare. The gear vanishes and is quickly located by intelligence officers where it is being transported across the Mexican border.","","",""
Libeled Lady,1936,98,Comedy,7.8,Jack Conway,Maurine Dallas Watkins,Otto Yamaoka,E.E. Clive,Walter Connolly,Spencer Tracy,"Wealthy Connie Allenbury (Myrna Loy) is falsely accused of breaking up a marriage and sues the New York Evening Star newspaper for $5,000,000 for libel. Warren Haggerty (Spencer Tracy), the managing editor, turns in desperation to former reporter and suave ladies' man Bill Chandler (William Powell) for help. His scheme is to maneuver Connie into being alone with him when his wife shows up, so the suit will have to be dropped. Chandler is not married, so Warren volunteers his long-suffering fiancée, Gladys Benton (Jean Harlow), over her loud protests.","","",""
Osaka Elegy,1936,90,Comedy,7.2,Kenji Mizoguchi,Tadashi Fujiwara,Eitarô Shindô,Shinpachirô Asaka,Seiichi Takegawa,Kunio Tamura,"Sumiko Asai (Yoko Umemura) is the owner of the Asai Drug Company. He is unhappily married with a nagging wife, who unashamedly visits the theatre with his male colleagues. Mr Asai tries to get one of his employees, telephone operator Ayako Murai (Isuzu Yamada), to meet him for dinner. She discusses this after work with a male colleague (and apparently boyfriend), Mr Nishimura, revealing that her father is in serious difficulties: unemployed and threatened with arrest after embezzling 300 yen.","","",""
The Plainsman,1936,113,Drama,6.8,Cecil B. DeMille,Waldemar Young,Paul Harvey,Charles Bickford,Frank McGlynn Sr.,Victor Varconi,"With the end of the American Civil War, military industrialists are left with an oversupply of weapons. Some of the more unscrupulous ones view the Indians as possible new customers.","","",""
Swing Time,1936,103,Comedy,7.5,George Stevens,Howard Lindsay,Harry Bernard,Eric Blore,William Bailey,William A. Boardway,"\"John \"\"Lucky\"\" Garnett (Fred Astaire) is a gambler and dancer. He is set to marry Margaret (Betty Furness)",but his friends hold him up so that he is late for the wedding. Margaret's father phones to call off the wedding,but Lucky doesn't get that message. His friends bet him that he will not be getting married,and he agrees to the bet. Margaret's father tells Lucky that he must earn $25
Army Girl,1938,80,Action,5.7,George Nicholls Jr.,Charles L. Clifford,Billy Gilbert,Ralph Morgan,Neil Hamilton,James Gleason,"\"Capt. Dike Conger and M/Sgt. \"\"Three Star\"\" Hennessy are sent with their new light tank for tests against horse cavalry under desert conditions. In an extended hell for leather race amongst a variety of obstacles",their tank wins against Col. Armstrong's 31st Cavalry.,"",""
Blondes at Work,1938,63,Drama,6.4,Frank McDonald,Albert DeMond,Frank Shannon,Thomas E. Jackson,Tom Kennedy,Barton MacLane,"Lieutenant Steve McBride (Barton MacLane) is in trouble with his boss, who suspects him of leaking police information to his girlfriend reporter Torchy Blane (Glenda Farrell). Torchy and Steve have an argument because Torchy keep getting story after story for her newspaper. They agreed that they will not exchange information about any police cases in the future. And Torchy is told by her boyfriend to lay off the latest murder case that his handling; the killing of Marvin Spencer and the heir to the Bon Ton department store. Marvin was seen being escorted into a cab by his friend Maitland Greer (Donald Briggs) just moments before he was found dead in his room at the Park Plaza Hotel.","","",""
Another Thin Man,1939,103,Comedy,7.3,W.S. Van Dyke,Frances Goodrich,Otto Kruger,Nat Pendleton,Patric Knowles,Tom Neal,"\"The third of the Thin Man movies, the story for Another Thin Man took place two years after the last movie.Nick, Nora, Nicky Jr. and Asta had just returned to New York from a trip when Colonel MacFay, who managed Nora's assets, called and insisted that they get to his country house at once. So the Charles family brought along their not-yet-unpacked luggage and went on their way.As they were about to reach the Colonel's mansion, Nick spotted a dead body on the side of the road, but when he had the car stopped and went back to look for it the body was gone. Nick and Nora began to feel uneasy about the place they were heading for.Their uneasiness grew as they found themselves passing through check posts patrolled by men with shotguns. But this was nothing compared to the Colonel himself. MacFay was living in fear, believing that one of his former employees was back for revenge and he would be murdered.MacFay believed that a man by the name of Phil Church would kill him. Phil had told MacFay that he had dreamt about his death three times, and all of his dreams come true after the third time. MacFay didn't believe it at first, but accidents began to happen around him. Nick was sceptical and went on with his cocktails. As if to prove MacFay's point, someone set the swimming pool on fire during dinner. Nick began to see that maybe MacFay was not crazy after all.Phil Church was living in a cottage nearby and Nick decided to pay him a visit. Phil was about to leave for Cuba but he had been expecting Nick; he wanted to tell his side of the story. It turned out that MacFay used Phil as the scapegoat for some seedy business transactions and left him out to dry. Now that Phil's out of jail, it's payback time. The meeting ended with Nick punching Phil, as he threatened to \"\"dream\"\" about Nora and Nicky Jr.; Nick also discovered that Phil's friends Smitty and Dum-Dum had special talents with guns and knives.Later that night a shot was heard",after which all lights went out. By the time the fuse was fixed it was too late - MacFay was already dead,just as Phil's dreams predicted,with his throat cut.Asta was ahead of the police and found the knife used to kill MacFay
