title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Three Musketeers,1921,119,Action,6.9,Fred Niblo,Alexandre Dumas,George Siegmann,Adolphe Menjou,Nigel De Brulier,Thomas Holding,"In Venice, the musketeers Athos, Porthos, and Aramis, with the help of Milady de Winter, steal airship blueprints made by Leonardo da Vinci. However, they are betrayed by Milady, who incapacitates them and sells the blueprints to the Duke of Buckingham.","","",""
The Unholy Three,1925,86,Drama,7.2,Tod Browning,Clarence Aaron 'Tod' Robbins,Harry Earles,Victor McLaglen,Lon Chaney,Matt Moore,"\"Three performers leave a sideshow after Tweedledee (Harry Earles), the midget, assaults a young heckler and sparks a melee. The three join together in an \"\"unholy\"\" plan to become wealthy. Prof. Echo",the ventriloquist,assumes the role of Mrs. O'Grady,a kindly old grandmother
The Broadway Melody,1929,100,Drama,5.6,Harry Beaumont,Edmund Goulding,Kenneth Thomson,Eddie Kane,J. Emmett Beck,Charles King,"\"Eddie Kearns (Charles King) sings \"\"The Broadway Melody\"\"","and tells some chorus girls that he brought the Mahoney Sisters vaudeville act to New York to perform it with him in the latest revue being produced by Francis Zanfield (Eddie Kane). Harriet \"\"Hank\"\" Mahoney (Bessie Love) and her sister Queenie Mahoney (Anita Page) are awaiting Eddie's arrival at their apartment. Hank",the older sister,prides herself on her business sense and talent
A Farewell to Arms,1932,80,Drama,6.4,Frank Borzage,Benjamin Glazer,Gilbert Emery,Adolphe Menjou,Henry Armetta,Jack La Rue,"On the Italian front during World War I, Frederic Henry (Gary Cooper), an American serving as an ambulance driver in the Italian Army, delivers some wounded soldiers to a hospital. There he meets his friend, Italian Major Rinaldi (Adolphe Menjou), a doctor. They go out carousing, but are interrupted by a bombing raid. Frederic and English Red Cross nurse Catherine Barkley (Helen Hayes) take shelter in the same place. The somewhat drunk Frederic makes a poor first impression.","","",""
Liliom,1934,118,Drama,6.8,Fritz Lang,Ferenc Molnár,Henri Richard,Léon Arvel,Raoul Marco,Robert Arnoux,"The play takes place partly in Budapest, Hungary, and partly in a waiting area just outside Heaven. The story concerns Liliom, a tough, cocky carousel barker who falls in love with Julie, a young woman who works as a maid. When both lose their jobs, Liliom begins mistreating Julie out of bitterness — even slapping her once — although he loves her. When she discovers she is pregnant, he is deliriously happy, but, unbeknownst to Julie, he agrees to participate with his friend Ficsur, a criminal, in a hold-up to obtain money to provide for the child. Liliom is unwilling to leave Julie and return to his jealous former employer, the carousel owner Mrs. Muskat, and feels that the robbery is his only way left to obtain financial security. The hold-up is a disaster, but Ficsur escapes, and Liliom kills himself to avoid capture. He is sent to a fiery place, presumably Purgatory. Sixteen years later, he is allowed to return to Earth for one day to do a good deed for his now teenage daughter, Louise, whom he has never met. If he succeeds, he will be allowed to enter Heaven. He fails in the attempt, and is presumably sent to Hell. The ending, though, focuses on Julie, who obviously remembers Liliom fondly.","","",""
We're Not Dressing,1934,74,Comedy,6.0,Norman Taurog,Walton Hall Smith,Sam Ash,Jay Henry,George Burns,Leon Errol,"Spoiled socialite Doris Worthington (Lombard) is sailing the Pacific with her friend Edith (Merman) and her Uncle Hubert (Errol), while being courted by Prince Michael (Milland) and Prince Alexander (Henry). She is bored, however, and finds entertainment in verbal sparring with one of the sailors, Stephen Jones (Crosby). During one of their battles, Doris slaps Stephen, who retaliates by kissing her and gets fired. In a drunken accident, Uncle Hubert runs the yacht onto a reef in the fog. Stephen rescues the unconscious Doris as the others flee the capsized ship, and everyone makes it to the tropical island although the princes claim credit for Doris’s rescue. Unfortunately, the only person with any survival skills is Stephen, and the socialites are quick to demand that he gather food and build shelter. Stephen attempts to divide up the work but the haughty passengers snub his leadership so he fends for himself. The smells from Stephen’s dinner of mussels and coconuts soon entice the hungry passengers to gather their own food; all except Doris, who tricks Stephen to get his food and gets slapped in turn. The group is forced to cooperate, although Doris remains indignant and infuriated.","","",""
Les Misérables,1935,108,Drama,7.7,Richard Boleslawski,Victor Hugo,Charles Laughton,Cedric Hardwicke,John Beal,Fredric March,=== Volume I – Fantine ===,"","",""
Comin' 'Round the Mountain,1936,57,Drama,6.0,Mack V. Wright,Oliver Drake,LeRoy Mason,Ken Cooper,Smiley Burnette,Tracy Layne,"\"Theatrical agent Al Stewart (Bud Abbott) has successfully booked his client, Dorothy McCoy (Dorothy Shay), \"\"The Manhattan Hillbilly\"\"",at a New York nightclub. Unfortunately,he has also booked an inept escape artist,The Great Wilbert (Lou Costello)
Dark Sands,1937,77,Drama,6.2,Thornton Freeland,George Barraud,Frank Cram,Ike Hatch,James Carew,Lawrence Brown,"A World War I American troopship is torpedoed, and many soldiers are trapped below the deck. Jericho Jackson (Robeson), a medical student drafted into the war, heroically saves the trapped men, in defiance of his superior’s orders to abandon ship, but accidentally kills the officer in the melee. Despite his heroism, Jericho is court-martialed for refusing orders. Embittered, he escapes. Captain Mack is held responsible for his escape and court-martialed.","","",""
Round-Up Time in Texas,1937,61,Drama,4.7,Joseph Kane,Oliver Drake,LeRoy Mason,The Cabin Kids,Smiley Burnette,Earle Hodgins,"After rounding up a large herd of horses in Texas, Gene Autry (Gene Autry) receives a telegram from his brother Tex (Ken Cooper), who is mining diamonds in South Africa. The message states that Tex and his partner, Edward Barclay, have discovered a big strike in the Valley of Suspicion and urges Gene to bring as many horses as possible to Dunbar, South Africa, where he can contact John Cardigan (LeRoy Mason), the saloon owner who grubstaked Tex and Barclay. Gene and his sidekick Frog (Smiley Burnette) quickly arrange for passage overseas and accompany the horses to South Africa.","","",""
The Shopworn Angel,1938,85,Drama,6.9,H.C. Potter,Waldo Salt,Nat Pendleton,Alan Curtis,James Stewart,Sam Levene,"After the United States enters World War I in 1917, the limousine carrying Daisy Heath (Margaret Sullavan), a sophisticated Broadway musical theatre star, knocks down Bill Pettigrew (James Stewart), a naive young soldier from Texas. A policeman orders the chauffeur to take Bill back to camp. During the ride, he becomes slightly acquainted with the cynical, but not cold-hearted Daisy.","","",""
Wuthering Heights,1939,104,Drama,7.5,William Wyler,Charles MacArthur,Miles Mander,Laurence Olivier,Cecil Kellaway,Leo G. Carroll,=== Opening (Chapters 1 to 3) ===,"","",""
Northwest Passage,1940,126,Drama,7.0,King Vidor,Laurence Stallings,Nat Pendleton,Robert Young,Robert Barrat,Donald MacBride,=== Book 1 ===,"","",""
Adventures of Captain Marvel,1941,216,Action,7.2,John English,Ronald Davidson,William 'Billy' Benedict,John Davidson,Bryant Washburn,Frank Coghlan Jr.,"\"During an archaeological expedition to Siam's volcanic Valley of the Tombs to find the lost secret of the Scorpion Kingdom, a device of great power, the Golden Scorpion, is discovered hidden inside a sealed crypt. While examining it, the device's quartz lenses are aligned and powerful energy beam erupts, causing an explosion, resealing the crypt. This allows young radio broadcaster and expedition member Billy Batson, who obeyed the warning on the crypt's seal not to enter, to be chosen by the ancient wizard Shazam. The wizard grants Billy the powers of Captain Marvel whenever he repeats the wizard's name. Captain Marvel's powers can only be used to protect those in danger from the curse of the Golden Scorpion. The crypt's entrance is quickly cleared, then Captain Marvel utters \"\"Shazam\"\"! and quickly resumes his Billy Batson alter ego.","","",""
The Shanghai Gesture,1941,95,Drama,6.6,Josef von Sternberg,Josef von Sternberg,Mike Mazurki,Eric Blore,Albert Bassermann,Walter Huston,"\"Gigolo \"\"Doctor\"\" Omar (Victor Mature) bribes the Shanghai police not to jail the broke American showgirl Dixie Pomeroy (Phyllis Brooks); he invites her to seek a job at the casino owned by Dragon-lady \"\"Mother\"\" Gin Sling (Ona Munson)",his boss.,"",""
The Smiling Ghost,1941,71,Comedy,6.4,Lewis Seiler,Kenneth Gamet,Willie Best,Richard Ainley,Alan Hale,David Bruce,"The elderly Mrs. Bentley (Helen Westley) and her lawyer see a newspaper ad from an unemployed and unmarried engineer seeking work doing “anything legal.” The lawyer calls the engineer, Alexander “Lucky” Downing (Wayne Morris), and sets up a meeting, during which Lucky is offered $1000 to feign an engagement to Mrs. Bentley’s granddaughter Elinor Bentley Fairchild (Alexis Smith) for one month. Lucky considers it a strange offer, but he needs the money so he takes the job.","","",""
Bombardier,1943,99,Drama,6.0,Richard Wallace,John Twist,Pat O'Brien,Robert Ryan,Richard Martin,Walter Reed,"\"In 1941, at a staff meeting in Washington, D.C., two officers of the U.S. Army Air Corps (and old friends) debate the importance of bombardiers. Major \"\"Chick\"\" Davis (Pat O'Brien) argues that a bombardier","using the top secret American bombsight will be the \"\"spearhead of our striking force.\"\" After a year of observing the Royal Air Force fight the German Luftwaffe","Capt. \"\"Buck\"\" Oliver (Randolph Scott) is not convinced a bomber can get \"\"so close that a bomb can't miss\"\" and that new pilots are the priority. Davis challenges Oliver to a \"\"bombing duel\"\" to test their respective points of view. Oliver",using a dive bomber
Madame Curie,1943,124,Drama,7.2,Mervyn LeRoy,Paul Osborn,Henry Travers,Walter Pidgeon,C. Aubrey Smith,Victor Francen,"\"Marie Sklodowska (Greer Garson) is a poor, idealistic student living in Paris and studying at the Sorbonne. She neglects her health and one day faints during class. Her tutor, Prof. Perot (Albert Bassermann) is sympathetic and, finding that she has no friends or family in Paris, invites her to a soirée his wife is throwing for a \"\"few friends\"\" (primarily professors and their wives). Among the many guests is physicist Pierre Curie (Walter Pidgeon)",an extremely shy and absentminded man completely devoted to his work. He allows Marie to share his lab and finds that she is a gifted scientist. Appalled that she plans on returning to Poland to teach after graduation,rather than devoting her life to further study,he takes her to visit his family in their country home. Marie and Pierre both tend to concentrate on science to the extent that they don't realize until the last minute they have fallen in love. Even when Pierre asks Marie to be his wife
The Fighting Seabees,1944,100,Drama,6.4,Edward Ludwig,Borden Chase,Paul Fix,J.M. Kerrigan,Leonid Kinskey,John Wayne,"Wedge Donovan (John Wayne) is a tough construction boss, building airstrips in the Pacific for the U.S. Navy during World War II. He clashes with his liaison officer, Lieutenant Commander Robert Yarrow (Dennis O'Keefe), over the fact that his men are not allowed to arm themselves against the Japanese. When the enemy lands in force on the island, he finally takes matters into his own hands, leading his men into the fray. This prevents Yarrow from springing a carefully devised trap that would have wiped out the invaders in a murderous machinegun crossfire, with minimal American losses. Instead, many of Donovan's men are killed unnecessarily.","","",""
Nabonga,1944,75,Action,4.2,Sam Newfield,Fred Myton,Prince Modupe,Bryant Washburn,Jack Gardner,Herbert Rawlinson,"T. F. Stockwell (Herbert Rawlinson) steals the money and jewelry contents of safe deposit boxes of the Cairo bank in which he works. After fleeing south in a private plane with his young daughter Doreen (Jackie Newfield, daughter of the director) and the pilot, they're brought down in the jungle during a storm. The three survive the crash but Stockwell murders the pilot when he sees the stolen loot. Whilst exploring the surroundings, Doreen finds a gorilla (Ray Corrigan) wounded and left for dead by members of a safari.","","",""
Anchors Aweigh,1945,140,Comedy,7.0,George Sidney,Isobel Lennart,Billy Gilbert,Henry O'Neill,Gene Kelly,Dean Stockwell,"Joe Brady and Clarence Doolittle are Navy sailors who have a four-day leave in Hollywood. Joe has his heart set on spending time with his girl, the unseen Lola. Clarence, the shy choir boy turned sailor, asks Joe to teach him how to get girls. Donald, a little boy who wants to join the navy, is found wandering around the boulevard by a cop, who takes him to the police station. Clarence and Joe end up being picked up by the cops to help convince Donald to go home. After the two sailors wait at home and entertain Donald, Donald's Aunt Susie arrives. Clarence is smitten with her from the beginning. Susan goes on to tell them that she has been trying to find work in music, and longs to perform with José Iturbi. Trying to make Susan impressed with Clarence, Joe tells her that Clarence is a personal friend of Iturbi, and that he has arranged an audition for Susan with him. That night, they go out to a cafe where Clarence meets a girl from Brooklyn, and they hit it off. The next day, Joe visits Donald's school, and tells the kids the story of how he got his medal, and how he brought happiness to a lonesome king (played by Jerry Mouse from Tom and Jerry, with Tom briefly appearing as a servant), and joy to the forest animals of the kingdom.","","",""
Detour,1945,66,Drama,7.3,Edgar G. Ulmer,Martin Goldsmith,Eddie Hall,Edmund MacDonald,Roger Clark,Tom Neal,"Piano player Al Roberts (Tom Neal) is drinking coffee at a roadside diner in Reno, hitchhiking east from California, when a fellow patron plays a song on the jukebox that reminds him of his former life in New York City. At the time, Al was bitter about squandering his talent working in a cheap nightclub. After his girlfriend Sue Harvey (Claudia Drake), the nightclub vocalist, leaves to seek fame in Hollywood, he decides to go to California and marry her. With little money, he is forced to hitchhike his way across the country.","","",""
The Great Flamarion,1945,78,Drama,6.5,Anthony Mann,Anne Wigton,Lester Allen,Erich von Stroheim,Dan Duryea,William A. Boardway,"\"In a highly popular stage show sharp shooter Flamarion (Erich von Stroheim) keeps his audience enthralled with his keen abilities at target-shooting with a set of pistols in a high-profile display of talent. One of his assistants Connie Wallace (Mary Beth Hughes) dutifully plays the role of grateful actor as long as the money keeps coming in. The act is relatively secure except for Connies husband Al Wallace (Dan Duryea) who drinks a few too many some nights before going on stage. Connie and Al have a strained marriage partly from stress of show business but also because of Connies adulterous ways with other men, something that has eaten away at Als trust in her. Connie has tired of married life with Al and seduces the solitary and friendless Flamarion convincing him that he should make a mistake some night ridding her of Al so she and the great gun master can be together. After much soul searching Flamarion goes through with the plan eliminating Al, whereupon he and Connie make plans to meet and run away together. But Connie never shows up and Flamarion goes bankrupt on a drinking and gambling binge as he spends years searching the country for her, eventually finding and confronting her in a theater south of the border.THE GREAT FLAMARIONIn Mexico City in 1936 at a variety act theater, the show is interrupted by shots and screams during a clown act. The performers rush back stage, the crowd starts to panic and the clown Tony (Lester Allen) tries to convince the audience to keep their seats, as everything is under control. Meantime, a mysterious figure climbs a vertical ladder slowly, to the catwalk, as if wounded.The police arrives and start questioning, and find that a woman who was part of a bicycle act has been strangled. Her husband becomes the chief suspect and is taken away. Everyone has left except for Tony when the mysterious figure, badly wounded, slides onto the stage from above. Tony turns the man over, and recognizes him as The Great Flamarion (Erich von Stroheim), once the world's greatest sharp shooter. Flamarion begs Tony not to call for aid or police, but says he wants Tony to listen to why he killed the woman.From this point he film tells its story in flashback.Flamarion had a topdrawer variety act starring himself and his pistols. He used two assistants, former dancers Connie and Al Wallace (Mary Beth Hughes and Dan Duryea), a husband and wife. The act would begin with Connie and Al in evening dress canoodling at a table when Flamarion would knock. Al would hide, Connie would lift a glass of wine, and Flamarion, after entering in formal dress, would use his pistols to shatter the glass, light her match, shoot off a garter, use bullets to take off the tiny ornaments on her hair comb, and tear off the strap of her gown. Al would come out of hiding and weave back and forth among the light bulbs of a dressing table while Flamarion with split second timing would shoot out the bulbs, barely missing him at each shot.Flamarion himself was a stern, no-nonsense, arrogant, friendless, older man with a bull neck and a shaved head, bitter against women since his wife left him fifteen years earlier. Since then, Flamarion had lived only for his work. Connie, a great beauty, and Al seemed an outwardly happy couple. Connie had no problems with Flamarion as long as the money kept coming. On the other hand, Al had friction with Flamarion because he drank a few too many some nights before going on stage, and Flamarion was a perfectionist about their act, and did not tolerate anything that might lead to any mistakes, or in other words, someone getting shot.Connie and Al seemed happily married, but behind closed doors her ruthless ambition had turned him into an alcoholic and she was having an affair with Eddie (Stephen Barclay), a cyclist with the troupe. Al was jealous, but also a man of many weaknesses, particularly toward his wife.\"\"Connie","\"\" he tells her","\"\"no matter what you do you're the only dame for me. You're a bad habit I can't cure","even if I wanted to. Any guy who wouldn't fall for you is either a sucker or he's dead.\"\"Al blamed her for his drinking"
The Horn Blows at Midnight,1945,78,Comedy,6.6,Raoul Walsh,Sam Hellman,Allyn Joslyn,Allyn Joslyn,Reginald Gardiner,Reginald Gardiner,"\"Athanael (Jack Benny), the third trumpet player in the orchestra of a late night radio show sponsored by Paradise Coffee (motto: \"\"It's Heavenly\"\")",falls asleep listening to the announcer,"who is doing his best to prove it is \"\"the coffee that makes you sleep.\"\" Athanael dreams he is an angel (junior grade) and a trumpeter in the orchestra of Heaven. Due to the praise of his girlfriend Elizabeth (Alexis Smith)",the assistant of the deputy chief of the department of small planet management (Guy Kibbee)
House of Dracula,1945,67,Horror,5.7,Erle C. Kenton,Edward T. Lowe Jr.,Onslow Stevens,Glenn Strange,Skelton Knaggs,Lionel Atwill,"\"Count Dracula (Carradine) greets the castle's owner, Dr. Franz Edelmann (Onslow Stevens). The Count, who introduces himself as \"\"Baron Latos\"\"",explains that he has come to Visaria to find a cure for his vampirism. Dr. Edelmann agrees to help. Together with his assistants,Milizia (Martha O'Driscoll) and the hunchbacked Nina (Poni Adams),he has been working on a mysterious plant
Lady on a Train,1945,94,Comedy,6.7,Charles David,Edmund Beloin,Allen Jenkins,Ralph Bellamy,Dan Duryea,George Coulouris,"San Francisco debutante Nicki Collins goes to visit her aunt in New York. Her father's employee, Haskell, is to meet her and facilitate her stay. Before reaching Grand Central, Nicki's train makes a brief stop and she looks up from reading a mystery by novelist Wayne Morgan—and witnesses a murder in a nearby building.","","",""
House of Horrors,1946,65,Horror,6.1,Jean Yarbrough,George Bricker,Bill Goodwin,Alan Napier,Oliver Blake,Martin Kosleck,"\"Struggling sculptor, Marcel De Lange (Martin Kosleck) is depressed about the events going on in his life, and decides to commit suicide. But just as he's about to kill himself, he spots and saves a madman, named \"\"The Creeper\"\" (Rondo Hatton) from drowning. Shortly afterward",he takes the disfigured man into his care. Marcel also makes the Creeper the subject of his next sculpture and calls it his best creation. But as the reviews begin to break Marcel's last nerve,he has the Creeper start killing the critics. Marcel becomes obsessed with a beautiful female reporter,Joan
Captain from Castile,1947,140,Drama,6.8,Henry King,Lamar Trotti,John Sutton,George Zucco,Tyrone Power,Lee J. Cobb,"In the spring of 1518, near Jaén, Spain, Pedro de Vargas (Tyrone Power), a Castilian caballero, helps a runaway Aztec slave, Coatl (Jay Silverheels), escape his cruel master, Diego de Silva (John Sutton). De Silva is el supremo of the Santa Hermandad, charged with enforcing the Inquisition, and Pedro's rival for the affections of the beautiful Lady Luisa de Carvajal (Barbara Lawrence). Later, Pedro rescues barefoot barmaid Catana Pérez (Jean Peters) from de Silva's men. At the inn where Catana works, Pedro becomes acquainted with Juan García (Lee J. Cobb), an adventurer just returned from the New World to see his mother.","","",""
The Red House,1947,100,Drama,6.7,Delmer Daves,George Agnew Chamberlain,Rory Calhoun,Pat Flaherty,Edward G. Robinson,Arthur Space,"\"Pete Morgan and his sister Ellen are prosperous farmers, but their farm is starting to look rundown due to Pete's advancing age and his handicap from an artificial leg. They are known as \"\"the mysterious Morgans\"\" because of their adopted daughter Meg. No one knows who her parents were or how Pete and Ellen came to adopt her when she was a toddler. Now eighteen",Meg suggests that Pete hire a classmate of hers,Nath Storm,to work on the farm after school. Nath's widowed mother operates a general store in town but business is not good. Pete is reluctant to take on a farmhand because he doesn't want outsiders around
