title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Pleasure Garden,1925,75,Drama,5.8,Alfred Hitchcock,Oliver Sandys,Miles Mander,Elizabeth Pappritz,Karl Falkenberg,Ferdinand Martini,"Jill, a young dancer, arrives in London with a letter of introduction to Mr. Hamilton, proprietor of the Pleasure Garden Theatre. The letter and all her money are stolen from her handbag as she waits to see him. Patsy, a chorus girl at the Pleasure Garden, sees her difficulty and offers to take her to her own lodgings and to try to get her a job. Next morning Jill is successful in getting a part in the show. Her fiance, Hugh, arrives with a colleague called Levet. Hugh and Patsy become very close while Jill is being pursued by a number of rich men, eventually breaking up with Hugh in order to begin a relationship with the wealthy Prince Ivan. Not long after this, Hugh is sent to Africa by his company.","","",""
Pandora's Box,1929,109,Drama,7.8,Georg Wilhelm Pabst,Frank Wedekind,Gustav Diessl,Michael von Newlinsky,Sig Arno,Carl Goetz,"\"Pandoras Box leaps into the story of Lulu (Louise Brooks), a vivacious and alluring young woman. Lulu supports herself in a the apartment where we first meet her, funished nicely, including a painting of her as well as a large menorah. In the very first act what at first seems to be a pathetic beggar comes to the door, but it turns out that he's actually her conniving old pimp Schigolch (Carl Goetz) who's got plenty of money - and as the story plays out he helps himself to her money from the many companions she keeps. She is very cozy with him, though perhaps he would prefer more, and she refers to him as her first \"\"patron\"\". It is Lulu and her 'patron' who are behind the scenes in this movie. At the start Lulu's lover is the prestigious Dr. Ludwig Schoen (Fritz Kortner). Dr. Schoen comes to break their relationship",already scandalous,as he is engaged to be married to a woman who we soon meet,the minister of the Interior Herr von Zarnikos' daughter Charlotte Marie Adelaide. But Lulu won't be so easily dismissed. This is facilitated by Schigolgh's timely introduction of Lulu her to Rodrigo Quast (Carl Raschig) a variety acrobat that wants to put Lulu in one of his shows
Hallelujah,1929,109,Drama,6.7,King Vidor,Wanda Tuchock,Milton Dickerson,Daniel L. Haynes,Robert Couch,Everett McGarrity,"Sharecroppers Zeke and Spunk Johnson sell their part of the cotton crop for $100. Cheated out of the money by Zeke's girlfriend Chick (16-year-old Nina Mae McKinney), in collusion with her gambling-hustler friends, Spunk is murdered in the ensuing brawl. Zeke runs away and reforms his life, becoming a minister.","","",""
The Bat Whispers,1930,83,Drama,6.3,Roland West,Mary Roberts Rinehart,William Bakewell,Charles Dow Clark,DeWitt Jennings,Chester Morris,"\"The Bat has struck again, making off with a priceless necklace even after warning the police that he would rob the safe at precisely 1 a.m., after which he intends to go to country in order to give the police a rest. On his way through the village of Oakdale, the Bat notices someone robbing the Oakdale bank. Intrigued, the Bat follows the robber, who leads him to the old Fleming mansion.Inside the Fleming mansion, Cornelia van Gorder [Grayce Hamptom] and her ditzy maid Lizzie Allen [Maude Eburne] are discussing Cornelia's decision to rent the house for the summer. The big old house is a scary place, and Lizzie doesn't like the strange sounds, the strange caretaker [Spencer Charters], and the strange stories he tells about seeing ghosts in the house. Add to the fact that the Bat has taken to the country, and Lizzie is terrified of everything and anything. She's even gone so far as to set a bear trap outside her bedroom window, just in case the Bat decides to pay a vist. When Cornelia's niece Dale [Una Merkel], who works at the Oakdale Bank, returns home with her boyfriend Brook Bailey[William Bakewell] and tries to pass him off as a gardener, Cornelia is immediately suspicious (Cornelia: Any experience with alopecias? Brook: They dry up if you don't water them.), but Cornelia hires him anyway, at least until she can find out why Dale has brought him home.A rock suddenly comes crashing through the window. A note on it reads: Get out of the house now while there is still time. Immediately thereafter, Dr Venrees [Gustav von Seyffertitz] drops by to inform Cornelia that the Oakdale bank has been robbed of a half million dollars and that Fleming, Sr, the owner of the mansion, is returning from Europe so Cornelia will have to vacate the house. Then, a heavy painting moves, and a voice from behind warns them to get out of the house. Becoming concerned, Cornelia phones the police. When Detective Anderson [Chester Morris] shows up, Cornelia explains her suspicion that Fleming, Jr [Hugh Huntley] is trying to frighten her out of the house, possibly because he rented it to her while his father was out of the country. Nowthat his father is returning, she thinks he may be trying to frighten her into leaving.Soon everyone begins acting suspiciously. The doctor unlocks the broken window and \"\"forgets\"\" to relock it until Cornelia relocks it herself. Alone in the parlor for a few moments",Venrees unlocks the window again. Brook starts going around the house pounding on the walls. Dale phones Fleming Jr and asks him to come over. When he does,he brings a blueprint of the house so that they can locate a hidden room. Before they can find it,he is murdered
Juno and the Paycock,1929,85,Comedy,4.6,Alfred Hitchcock,Sean O'Casey,Sidney Morgan,Dave Morris,Edward Chapman,John Longden,=== Act I ===,"","",""
Marius,1931,130,Comedy,7.8,Alexander Korda,Marcel Pagnol,Raimu,Pierre Fresnay,Fernand Charpin,Lucien Callamand,"The film takes place mostly in the waterfront bar of César, Marius's father. Marius works in the bar and his good friend since childhood, Fanny, works outside the bar selling cockles. Marius has a hidden desire to travel to exotic places with the ship crews that depart from the docks of Marseille. This desire becomes exposed when a rich older man (Panisse) proposes to Fanny and Marius gets jealous. Marius' jealousy of Panisse is the first indication of the secret feelings that he has for her, but much to his surprise, the feelings are reciprocated by Fanny. She confesses that she loves Marius prompting him to reveal his plans of traveling the world to her, noting that being the wife of a man at sea is not a desirable life. After a few nights, it is discovered that they have slept together and Marius's father and Fanny's mother convince him to marry her. Marius becomes noticeably melancholy after proposing to Fanny until a few days later, the date of departure of a boat on which Marius was supposed to crew. Fanny, realizing that Marius is not truly happy being with her, decides to encourage him to leave. She helps distract his father while Marius sneaks onto the boat.",romantic,test,wikipedia
Suicide Fleet,1931,87,Comedy,5.6,Albert S. Rogell,Herbert A. Jones,Frank Reicher,Robert Armstrong,Henry Victor,James Gleason,"Three friends who work on the Coney Island boardwalk, Skeets O'Reilly, Baltimore Clark, and Dutch Herman are all in love with the same woman, Sally. At the outbreak of World War I, the three men enlist in the US Navy. Before they leave for active duty, both Skeets and Baltimore meet with Sally, with the intention of letting her know how they feel about her. Baltimore can't bear the thought of Sally rejecting him, so he never discloses the depths of his feelings towards her. Skeets does propose to her, which she gently declines, being secretly in love with Baltimore.","","",""
Freaks,1932,64,Drama,7.8,Tod Browning,Clarence Aaron 'Tod' Robbins,Harry Earles,Wallace Ford,Henry Victor,Roscoe Ates,"\"The film opens with a sideshow barker drawing customers to visit the sideshow. A woman looks into a box to view a hidden occupant and screams. The barker explains that the horror in the box was once a beautiful and talented trapeze artist. The central story is of this conniving trapeze artist Cleopatra, who seduces and marries sideshow midget Hans after learning of his large inheritance. Cleopatra conspires with circus strongman Hercules to kill Hans and inherit his wealth. At their wedding reception, Cleopatra begins poisoning Hans' wine. Oblivious, the other \"\"freaks\"\" announce that they accept Cleopatra in spite of her being a \"\"normal\"\" outsider: they hold an initiation ceremony in which they pass a massive goblet of wine around the table while chanting","\"\"We accept her",we accept her. One of us,one of us. Gooba-gobble
The Old Dark House,1932,72,Comedy,7.0,James Whale,J.B. Priestley,Ernest Thesiger,Charles Laughton,Boris Karloff,Melvyn Douglas,"On a stormy night in Wales, five people, Philip and Margaret Waverton, their friend Penderel, Sir William Porterhouse and his lady friend, chorus girl Gladys Perkins, whose stage name is DuCane, seek refuge in a gloomy house off the road. The denizens of the house include Horace Femm, an hysteric, his sister Rebecca, a religious fanatic, and Morgan, their scarred, brutish butler, who is a mute. At dinner, Horace confides that sometime in the past, their sister Rachel died in a mysterious fashion. As the evening progresses, the Wavertons discover the Femms' 102-year-old father in an upstairs room. Transformed by drink, Morgan pursues attractive Margaret up the stairs, where he craftily releases another brother, pyromaniac Saul, from his locked room at the top. Penderal and Gladys have fallen in love at first sight. They break the news to Sir William who, because he is still in love with his dead wife, is not very upset. Soon after, Penderal encounters the liberated Saul in one of the dark rooms. At first Saul seems to be the only sane inhabitant of the house, but he proves that he is as crazy as the rest when he tries to kill Penderal. Both men are wounded in the fight that follows. Morgan, having sobered up a little, carries the wounded Saul back to his room. After Gladys treats Penderal, dawn finally breaks and the storm is over. The five guests leave the house behind as quickly as possible and Horace cheerfully bids them goodbye, as if the events of the night had never happened.","insanity, entertaining",test,imdb
The Sign of Four: Sherlock Holmes' Greatest Case,1932,75,Drama,5.8,Graham Cutts,Arthur Conan Doyle,Herbert Lomas,Arthur Wontner,Miles Malleson,Ian Hunter,"\"The story is set in 1888. The Sign of the Four has a complex plot involving service in India, the Indian Rebellion of 1857, a stolen treasure, and a secret pact among four convicts (\"\"the Four\"\" of the title) and two corrupt prison guards. It presents the detective's drug habit and humanizes him in a way that had not been done in the preceding novel",A Study in Scarlet (1887). It also introduces Doctor Watson's future wife,Mary Morstan.,""
