title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Last Days of Pompeii,1913,88,Drama,6.1,Mario Caserini,Edward George Bulwer-Lytton,Antonio Grisanti,Cesare Gani Carini,Ubaldo Stefani,Vitale Di Stefano,"In Pompeii 79AD, Glaucus and Jone are in love with each other. Arbaces, the Egyptian High Priest, is determined to conquer her. Glaucus buys the blind slave Nydia who is mishandled by her owner.","","",""
The Birth of a Nation,1915,195,Drama,6.1,D.W. Griffith,Thomas Dixon Jr.,Henry B. Walthall,George Siegmann,Wallace Reid,Ralph Lewis,=== Part 1: Civil War of United States ===,"","",""
The Hunchback of Notre Dame,1923,133,Drama,7.2,Wallace Worsley,Victor Hugo,Ernest Torrence,Harry von Meter,Lon Chaney,Nigel De Brulier,"The gypsy Esmeralda captures the hearts of many men, including those of Captain Phoebus and Pierre Gringoire, but especially Quasimodo and his guardian Archdeacon Claude Frollo. Frollo is torn between his obsessive lust for Esmeralda and the rules of the Notre Dame Cathedral. He orders bandits to kidnap her, but the hunchback is captured by Phoebus and his guards, who save Esmeralda.","","",""
The Gold Rush,1925,95,Comedy,8.1,Charles Chaplin,Charles Chaplin,Charles Chaplin,Henry Bergman,Jack Adams,Mack Swain,"\"It is in the middle of the Gold Rush. A Lone Prospector (Charlie Chaplin) searches the tundra for gold. But he finds more than gold; he finds love, and an uproarious adventure that forever change the lives of the people he meets.As far as an exact synopsis with the REQUIRED spoilers goes, the Lone Prospector barges into the only cabin in sight during a blizzard and starts gnawing on an old bone left by occupant Black Larsen (Tom Murray). Larsen tries to eject the LP, but another \"\"lone prospector","\"\" Big Jim McKay (Mack Swain) also is soon blown into the now-crowded cabin. As the men starve",they cut a deck of cards to see who will go for help and food. Since Larsen draws a deuce of Spades (to the LP's three of spades,and Big Jim's jack of clubs)
Outward Bound,1930,83,Drama,6.5,Robert Milton,Sutton Vane,Dudley Digges,Alec B. Francis,Lyonel Watts,Douglas Fairbanks Jr.,"Henry and Ann (Douglas Fairbanks Jr. and Helen Chandler), a pair of young lovers, are planning to commit suicide and are worried about what will happen to their dog when they are gone. The scene then changes to a disparate group of passengers who find themselves aboard a darkened, fog-enshrouded crewless boat, sailing to an unknown destination.","","",""
The Vagabond King,1930,104,Drama,5.3,Ludwig Berger,Brian Hooker,Warner Oland,Arthur Stone,Christian J. Frank,Dennis King,"\"Paris is under siege by the forces of the Duke of Burgundy; popular support for King Louis XI is at a low point. Villon – poet, braggart, thief and darling of the Paris rabble – has sent anonymous love poems to the beautiful Katherine de Vaucelles. These have caused her to reject proposals from King Louis. She goes to seek the mysterious poet at an inn, but King Louis shadows her in disguise. Louis is incensed to hear Villon mocking the failures of his reign and saying what he would do instead \"\"if I were king.\"\" The infuriated monarch reveals himself. The king gives Villon a hard choice: as punishment for speaking treasonously",he must either stop courting Katherine or accept the position of Grand Marshal,with all the powers of King,for 24 hours
Drácula,1931,104,Drama,7.0,George Melford,Bram Stoker,José Soriano Viosca,Barry Norton,Carlos Villarías,Manuel Arbó,"On Walpurgisnacht, Renfield [Pablo Álvarez Rubio] goes to Borgo Pass where he is met by Drácula's coach. The next day, Renfield and Drácula [Carlos Villarías] take 'the Vesta' to England. Ship arrives in Whitby harbor in a storm, captain lashed to boat, everyone dead, Renfield mad. Renfield is taken to Dr. Seward's [José Soriano Viosca] sanitarium near London. Dracula goes to a play where he is introduced to Dr. Seward, daughter Eva [Lupita Tovar], Lucía Weston [Carmen Guerrero], and Juan Harker [Barry Norton]. Drácula announces he has taken Carfax Abbey which adjoins the Sanitarium. That evening, Lucía dies of blood loss. In Switzerland, Professor Van Helsing [Eduardo Arozamena] analyses Renfield's blood, announces him a living vampire, and comes to England. In the meantime, Drácula has been feasting on Eva. Drácula visits the Seward home one day, and Van Helsing notes no reflection in mirror. While Van Helsing, Seward, and Harker discuss vampires, Drácula summons Eva outside. She is found, seemingly dead, on the lawn.A lady in white is reported by children in park. Eva admits that she has seen Lucía. Eva goes to bed wearing aconite (wolfbane) while Renfield talks to Van Helsing, Harker and Seward about Drácula. Drácula comes into the house, tells Van Helsing to return to his own country and that his blood now flows through Eva's veins. Harker rushes to Eva's room and finds her awake, dressed and on terrace. She is 'changed'. She attempts to bite him but Harker is saved by Van Helsing. Near dawn, Drácula comes to sleeping Eva and carries her off to the Abbey. Renfield escapes to abbey; Van Helsing and Harker follow. Drácula kills Renfield, and attempts to finish off Eva. Van Helsing and Harker find Drácula's coffin; Van Helsing stakes him. Eva is released from his hold. Drácula is dead. [Original synopsis by bj_kuehl]","insanity, cult",train,imdb
Smart Money,1931,81,Drama,6.8,Alfred E. Green,Kubec Glasmon,Edward G. Robinson,Paul Porcasi,James Cagney,Ralf Harolde,"Nick Venizelos (Robinson), a prosperous small-town barber, provides his customers with gambling in his back room. He is so lucky that one suggests he go to the big city to take on famous gambler named Hickory Short. Not lacking in self-confidence, Nick puts up half of the $10,000 stake himself, while the others raise the rest. He leaves the shop under the supervision of his assistant, Jack (Cagney), and takes the train into the city.","","",""
The Lost Squadron,1932,79,Drama,6.4,George Archainbaud,Dick Grace,Richard Dix,Ralph Ince,Erich von Stroheim,Ralph Lewis,"\"Captain \"\"Gibby\"\" Gibson (Richard Dix) and his close friend \"\"Red\"\" (Joel McCrea) spend the last hours of World War I in the air","shooting down more of the enemy. They then return to America with fellow pilot and comrade \"\"Woody\"\" Curwood (Robert Armstrong) and their mechanic Fritz (Hugh Herbert) to an uncertain future.","",""
Penguin Pool Murder,1932,70,Comedy,6.9,George Archainbaud,Willis Goldbeck,James Donlan,William Le Maire,Robert Armstrong,Edgar Kennedy,"Gwen Parker (Mae Clarke) meets her former boyfriend Philip Seymour (Donald Cook) at the local aquarium and asks him for some money so she can leave her husband, stockbroker Gerald Parker. However, Mr. Parker receives an anonymous telephone call tipping him off to the rendezvous. When he confronts the pair, Seymour knocks him out with a punch. As there are no witnesses to the altercation, he hides the unconscious man in the room behind an exhibit.","","",""
The Black Cat,1934,65,Horror,6.9,Edgar G. Ulmer,Edgar Allan Poe,Bela Lugosi,Boris Karloff,Harry Cording,Albert Conti,"\"The movie opens with the airplane circling the Earth, A Universal Picture, logo, and the title and credits. At a busy train station, passengers come and go. A train official examines the papers of Peter Alison (David Manners) and his wife, Joan (Julie Bishop as Jacqueline Wells). Satisfied, he closes the door of their compartment and moves on. The Alisons settle into their comfortable accommodations, but are soon interrupted by the conductor, \"\"Excuse me sir",lady,"a terrible mistake has occurred. The half sold space in your compartment to a gentleman. It is terrible.\"\" The gentleman in question is Dr. Vitus Werdegast (Bela Lugosi). He agrees to make himself comfortable in the passenger car",but Peter insists he join them in their compartment. Werdegast stares at Joan
Toni,1935,84,Drama,7.2,Jean Renoir,Jean Renoir,Vincent Florio,Andrex,Paul Bozzi,Charles Blavette,"Looking for a job Toni goes from Italy to Southern France. A local woman named Marie takes him in as her tenant and becomes his lover. But when the Spanish guestworker Josepha comes to town, Toni falls for her. To his disappointment Josepha has a wedding with a wealthier man. So Toni marries Marie after all but he cannot hide that Josepha was his greatest love. After Marie has thrown him out of her house he is determined to see Josepha again. He finds her on a farm in the mountains where she lives with her increasingly abusive husband. Josepha is about to run away and for that purpose she steals money from her spouse who catches and hits her. While Toni is around she kills the man. Toni sacrifices himself in order to cover up for her.",romantic,test,wikipedia
