title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Captive,1915,50,Drama,6.4,Cecil B. DeMille,Cecil B. DeMille,Page Peters,Theodore Roberts,Tex Driscoll,House Peters,"The Captive chronicles the life of a young woman named Sonia Martinovitch (Blanche Sweet) who lived during the midst of the Balkan Wars. She lives close to the Turkish border on a small farm in Montenegro with her older brother Marko Martinovich (Page Peters) and younger brother Milo (Gerald Ward). Nearby, a Turkish nobleman by the name of Mahmud Hassan (House Peters) lives in a lavish palace. Marko Martinovich fights in the Battle of Lule Burgess, and is tragically killed, leaving Martinovich and her remaining brother, Milo, helpless. Subsequently, Hassan is taken prisoner, and assigned to the Martinovich’s farm to help her with the chores Sonia is unable to complete without her brother.","","",""
America,1924,141,Drama,6.3,D.W. Griffith,Robert W. Chambers,Erville Alderson,John Dunton,Neil Hamilton,Charles Emmett Mack,"Three childhood friends – Surya (Ramesh Aravind), Shashank (Akshay Anand) and Bhoomi (Hema Panchamukhi) – are from the coastal region of Karnataka. After finishing their undergraduate studies, Shashank goes to the US for further studies. Surya is extremely patriotic about India and doesn't want to go anywhere and starts his business in his hometown, and Bhoomi stays at home. After three years, Shashank comes back to India. He starts going off on India on his way from the airport, saying how much greater America is. While in India, his family arranges his marriage to Bhoomi. Surya, on the other hand, is the one who truly loves Bhoomi and tries to tell her using recorded audio tape and plants it in Bhoomi's room having no idea that she is to be married to Shashank.","","",""
Flesh and the Devil,1926,112,Drama,7.6,Clarence Brown,Benjamin Glazer,John Gilbert,William Orlamond,George Fawcett,Marc McDermott,"\"\"\"When the Devil cannot reach us through the spirit","","",""
Uncle Tom's Cabin,1927,144,Drama,6.8,Harry A. Pollard,Harriet Beecher Stowe,George Siegmann,Arthur Edmund Carewe,Adolph Milar,James B. Lowe,"\"=== Eliza escapes with her son, Tom sold \"\"down the river\"\" ===","","",""
The Painted Desert,1931,79,Drama,5.2,Howard Higgin,Tom Buckingham,Wade Boteler,Charles Sellon,Will Walling,Edmund Breese,"Two cowboy friends, Jeff (J. Farrell MacDonald) and Cash (William Farnum), are traveling through the desert in the southwest U.S., when they come upon a baby who has been abandoned in the back of a covered wagon. They can't leave the defenseless child, so decide to take the baby with them, however, they argue over which of them would be better suited to raising the child. When Cash ends up prevailing in the debate, this creates a lifelong rift between the two friends.","","",""
Kongo,1932,86,Drama,6.5,William J. Cowen,Leon Gordon,Everett Brown,Charles Irwin,Forrester Harvey,C. Henry Gordon,"\"\"\"Deadlegs\"\" Flint",an embittered paraplegic who lives in the Kongo,controls the natives by using cheap tricks that appear to be magical. Assisting him with his magic tricks are his fiance Tula,two thugs
Captured!,1933,69,Drama,6.5,Roy Del Ruth,Philip Gibbs,Philip Faversham,Arthur Hohl,William Le Maire,J. Carrol Naish,"British Captain Fred Allison (Leslie Howard) bids farewell to his new wife, Monica (Margaret Lindsay), whom he has only known for six days, and sets out for the war. He ends up a prisoner of war (POW), tortured by the fact that his wife has not written to him since the early days of his two year captivity.","","",""
Night of Terror,1933,65,Horror,5.5,Benjamin Stoloff,Beatrice Van,Bela Lugosi,Bryant Washburn,Edwin Maxwell,Wallace Ford,"Police have been vainly searching the countryside for the knife-wielding Maniac, who has been on a murderous spree. The Maniac's victims are each found with a taunting newspaper clipping attached to their body. After the wealthy uncle of a young scientist is mysteriously murdered, people wonder if the Maniac is responsible.","","",""
Sons of the Desert,1933,68,Comedy,7.5,William A. Seiter,Frank Craven,Stan Laurel,Oliver Hardy,Jimmy Aubrey,Eddie Baker,"\"At a meeting of the Sons of the Desert, a fraternal lodge of which both Stan Laurel and Oliver Hardy are members, it has been decided that the organization will be holding its annual convention in Chicago in a week and all members have to take an oath to attend. Stan is reluctant to take the oath, but Oliver goads him into it. Later, on the way home, Stan explains to Oliver his reluctance to take the oath; he is worried that his wife Betty will not let him go to the convention. Oliver tries to reassure Stan his wife has no choice but to let him go because he took a sacred oath. When they get home and Stan accidentally brings up the subject of the convention, however, it turns out Oliver's wife Lottie will not let him go as they had already arranged a mountain trip together (which Oliver had forgotten about). Oliver tries to cover his embarrassment by remarking to Stan that his wife is \"\"only clowning\"\"",only for her to chuck a bowl at his head,followed by another one when he attempts to establish his authority as the boss of the house.,""
Wild Boys of the Road,1933,68,Drama,7.5,William A. Wellman,Earl Baldwin,Frankie Darro,Arthur Hohl,Edwin Phillips,Grant Mitchell,"Tommy Gordon (Edwin Phillips) tells his friend Eddie Smith (Frankie Darro) that he is going to drop out of high school to look for work to help support his struggling family. Eddie offers to speak to his father (Grant Mitchell) about getting him a job, only to discover that his father has himself just lost his own. Eddie sells his beloved car and gives the money to his father, but when his father remains unemployed, the bills keep piling up, and the family is threatened with eviction. Eddie and Tommy decide to leave home to ease the burden on their families. They board a freight train, where they meet Sally (Dorothy Coonan), another teenager, who is hoping her aunt in Chicago can put her up for a while. More and more teens hop aboard the train.","","",""
