title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
A Woman of Affairs,1928,98,Drama,7.1,Clarence Brown,Michael Arlen,Agostino Borgato,Johnny Mack Brown,Lewis Stone,John Gilbert,"Diana Merrick (Greta Garbo), Neville (John Gilbert) and David (Johnny Mack Brown) were playmates as children, members of the rich British aristocracy. Diana and Neville are in love, but his father (Hobart Bosworth) opposes the match, disapproving the Merrick family's lifestyle. Neville is sent to Egypt for business purposes and to become wealthy.","","",""
The Great Gabbo,1929,92,Drama,6.0,James Cruze,Ben Hecht,Erich von Stroheim,Biltmore Orchestra,Earl Burtnett,Harry Ross,"\"The movie follows brilliant ventriloquist \"\"The Great Gabbo\"\" (Stroheim)","who increasingly uses his dummy \"\"Otto\"\" as his only means of self-expression—an artist driven insane by his work.","",""
The Big Trail,1930,125,Drama,7.1,Raoul Walsh,Hal G. Evarts,Frederick Burton,Ian Keith,El Brendel,John Wayne,"A large caravan of settlers attempt to cross the Oregon Trail. Breck Coleman (John Wayne) is a young trapper who just got back to Missouri from his travels near Santa Fe, seeking to avenge the death of an old trapper friend who was killed the winter before along the Santa Fe Trail for his furs, by Red Flack (Tyrone Power, Sr.) and his minion Lopez (Charles Stevens). At a large trading post owned by a man named Wellmore, Coleman sees Flack and suspects him right away as being one of the killers. Flack likewise suspects Coleman as being somebody who knows too much about the killing. Coleman is asked by a large group of settlers to scout their caravan west, and declines, until he learns that Flack and Lopez were just hired by Wellmore to boss a bull train along the as-yet-unblazed Oregon Trail to a trading post north of Oregon, owned by another Missouri fur trader. Coleman agrees to scout for the train, so he can keep an eye on the villains and kill them as soon as they reach their destination. The caravan of settlers in their Prairie schooners would follow Wellmore's ox-drawn train of Conestoga Wagons, as the first major group of settlers to move west on the Oregon Trail. The film is set somewhere between 1837 and 1845. This is historically accurate, as the first major wave of settlers on the Oregon Trail was in 1843, although the details were completely different.","","",""
Dixiana,1930,100,Comedy,5.2,Luther Reed,Luther Reed,Everett Marshall,Bill Robinson,Bill Robinson,Ralf Harolde,"Dixiana Caldwell and her friends, Peewee and Ginger, are circus performers in the antebellum South. When Dixiana falls in love with a young Southern aristocrat, Carl Van Horn, she leaves the circus where she is employed and, with Peewee and Ginger, accompanies Carl to his family's plantation in order to meet Van Horn's family. At first thrilled with the news of their impending nuptials, Carl's father and stepmother, Cornelius and Birdie Van Horn, throw a lavish party for the couple. However, Peewee and Ginger inadvertently disclose Dixiana's background as a circus performer, creating a scandal for the elder Van Horns.","","",""
Good News,1930,78,Comedy,6.3,Nick Grinde,Laurence Schwab,Delmer Daves,Thomas E. Jackson,Gus Shy,Billy Taft,"\"The film is set in 1927 at fictional Tait College, where football is all the rage. (\"\"Tait Song\"\"/\"\"Good News\"\")","","",""
The Most Dangerous Game,1932,63,Action,7.1,Irving Pichel,James Ashmore Creelman,Steve Clemente,James Flavin,Robert Armstrong,Joel McCrea,"\"Sanger Rainsford and his friend, Whitney, are traveling to Rio de Janeiro to hunt the region's big cat: the jaguar. After a discussion about how they are \"\"the hunters\"\" instead of \"\"the hunted\"\"",Whitney goes to bed and Rainsford remains on deck. While Whitney returns to his quarters Rainsford hears gunshots and climbs onto the yacht's rail to get a better view of the nearby Ship-Trap Island,and falls overboard. After he realizes he cannot swim back to the boat,he swims to Ship-Trap
The Rise of Catherine the Great,1934,95,Drama,6.3,Paul Czinner,Lajos Biró,Gibb McLaughlin,Gerald du Maurier,Douglas Fairbanks Jr.,Griffith Jones,"\"This historical drama recounts the events that led to the accession of Catherine the Great, Empress of all the Russias. The film opens with the arrival in 1744 of Princess Sophie Auguste Frederika – whose name would be changed to ‘Catherine’ – from her father’s court of Anhalt-Zerbst (in modern Germany) to the court of the Empress Elizabeth. \"\"Little Catherine\"\" is to marry the Grand Duke Peter",nephew and heir presumptive of the unmarried and childless Empress Elizabeth.,"",""
Frisco Kid,1935,77,Action,6.2,Lloyd Bacon,Warren Duff,James Cagney,Addison Richards,George E. Stone,Barton MacLane,"In San Francisco in the 1850s, a city where gold fever has left shipowners short-handed, Bat Morgan, a sailor come ashore is robbed and nearly shanghaied aboard another ship. Managing to escape, he sticks around town to pay back those responsible and then to take a cut in the action in the vice district. Organizing the various gambling houses (and other forms of vice implied but, for Code reasons, not explicitly stated) into a consolidated enterprise in alliance with a corrupt city boss, Jim Dailey, he comes into conflict with a crusading newspaper, run by Jean Barrat, the daughter of the late murdered publisher, and Charles Ford, the idealistic editor.","","",""
The Raven,1935,61,Horror,6.8,Lew Landers,Edgar Allan Poe,Samuel S. Hinds,Bela Lugosi,Boris Karloff,Spencer Charters,"The Raven--synopsis**NOTE: Spencer Charters was billed as  Geoffrey  Pinkey in the credits but actually played Col. Bertram Grant.Ian Wolfe was billed as  Col. Bertram Grant  in the credits but actually played Geoffrey.The character of Dr. Jerry Holden is listed in the credits and captions as Jerry Halden.They are listed below in their correct associations.**Dancer Jean Thatcher (Irene Ware) is driving fast in a rainstorm. Losing control, she crashes and is brought to a nearby hospital. After examination by several doctors who say they cant do anything for her, Jeans fiancé Dr. Jerry Holden (Lester Matthews) suggests Dr. Richard Vollin (Bela Lugosi), formerly associated with the hospital but now a recluse doing only research.Meanwhile, Dr. Vollin is heard reciting Edgar Allan Poes  The Raven  to museum curator Chapman (Arthur Hoyt) who tries to buy Vollins collection of Poe memorabilia. He is told about his torture devices but is rushed out by Vollin.A phone call to Vollin is made, who refuses to help, citing that the other doctors are competent. Her father, Judge Thatcher (Samuel S. Hinds) takes the phone and begs Vollin to save his daughters life. He refuses and hangs up. Finding out where the doctor lives, he goes to Vollins home and continues begging in person. Vollin appears to have no compassion or sympathy for her and refuses. Thatcher appeals to him as a doctor who has taken an oath, to which Vollin replies, I make no such oath. I am a law unto myself. Death hasnt the same significance for me as it has for you, Vollin concludes. Insisting that Vollin save her life, Thatcher is told by Vollin that the other doctors are competent. It is only when told that everyone says that Dr. Vollin is the only one who can save her that he rises, puffed up, saying, So, they DO say that I'm the only one? Very well, I will go.The operation proceeds, with Vollin being shown as having an unusual interest in the patients beauty.One month later, Jean is being entertained by Vollin in his home. Having listened to him play Bachs Toccata and Fugue in D Minor  on organ, she gushes that Vollin is not only a brilliant surgeon but a great musician. She intimates that maybe he is more than an extraordinary man, to which he eagerly answers a god? With the taint of human emotions. She tells him she wishes she could repay him for saving her life. Clutching her and staring into her eyes he tells her the restraint we put upon ourselves can drive us mad. Uncomfortable, she makes an excuse to leave, reminding him of her performance the following night. Nothing can keep me away, he promises. She tells him she will have a surprise for him that night and leaves.The next evening a show marquee sign tells of her performance in a dance interpretation of Poes  The Raven . She dances while a man dressed as Poe (Raine Bennett) recites the poem. In one of the balcony box seats, Thatcher observes Vollin madly obsessing over his daughters performance.Afterwards backstage, Jerry reassures Jean that the audience liked her performance, saying that twelve encores was enough. Entering the dressing room to congratulate her include Pinkey (Ian Wolfe) and Mary Burns (Inez Courtney), her father and Dr. Vollin, who kisses her hand, gushing about her surprise Poe interpretation. Again, Thatcher observes Vollin taking more than a casual interest in Jean.The next day Thatcher arrives at Vollins to tell him to leave Jean alone. She is in danger of becoming infatuated with you. We cant let her get any ideas about you, can we?  the judge intones, She is engaged to young Jerry Holden, he tells Vollin. Speaking of his interest in Jean, Vollin crushes a test tube in his hand. This convinces Thatcher that Vollin is seriously involved in a similar infatuation. Told to leave her alone, Vollin insists that the judge bring his daughter to him. I find you stark staring mad, Thatcher tells him and leaves.Edmond Bateman (Boris Karloff), an escaped convict trying to disguise himself is given the address of Dr. Vollin in a local tavern. He arrives that evening and is invited into Vollins office. When Vollin addresses him by name, Bateman wants to know who told him. It is explained that Batemans violent prison break and photo were in the newspapers. Vollin especially seems interested that Batemans bank robbery and mutilation of a bank cashier's face with an acetylene torch was especially torturous. Come to ask Vollin to change his face so he will not be recognized, Bateman is promised help but only if he agrees to commit murder and torture. Desperate, he agrees and is told the alteration will be done now. Bateman is led into a room and made to lie on a table for surgery.Later, a bandaged Bateman is checked on by the doctor. When the patient awakens, Vollin raises him up vertically and begins slowly removing the bandages. As his face is revealed, half of it is shown to be horribly disfigured and one eye dislocated. Bateman speaks in a raspy voice, asking if he looks different. Yes, Vollin replies with noted glee. Feeling something is not right with his face, Bateman feels with his fingers and demands to see his reflection. Dr. Vollin agrees and leaves the room, telling him to wait. As Bateman gets up and looks around, several curtains are opened, revealing a series of large mirrors, each one reflecting the ugliness of Bateman one by one. Horrified, he begins shooting, breaking each mirror. From a grate near the ceiling, Vollin appears, laughing hysterically at Batemans misery. Having run out of bullets, Bateman frustratingly throws the gun at Vollin's face.Moments later Vollin asks Bateman if he is ready to do the murder job, telling him he must answer yes or no. Bateman insists that his face be fixed but Vollin says he must do this job for him first. He agrees. Vollin returns to the room a moment later, giving Bateman some clothes to put on and then report for further instructions.Having invited Jean, Jerry, Pinkey, Mary and Col. Bertram Grant (Spencer Charters) and his wife Harriet (Maidel Turner) to a party, they make bets on a horserace game which is mechanically run in Dr. Vollins home. At one point Jean announces she will have to go upstairs to fix her hair and does so, which is noted by Vollin and Bateman, who now serves as the butler. Meanwhile, Judge Thatcher arrives home to find Vollins written invitation to the party, to which also a note added that Jean and Jerry decided to go and for her father to join them.When Thatcher arrives, Vollin immediately apologizes for what he said the other day, asking him to forgive him. The judge seems reluctant but is quickly reassured by Vollin, who joyfully leads him into the party. Bateman is told to go upstairs and tell Jean her father has arrived. When he opens the door and Jean sees Bateman in the mirror behind her, she screams and runs downstairs into her fathers arms. Everyone crowds around as she tells of this awful man who came into her room. Vollin interrupts and tells everyone to come and sit while he tells the story of his servants unfortunate disfigurement. His guests are told with some relish how he served with Vollin in his regiment and was tortured by the enemy, who mutilated his face. Describing his interest in death and torture, he makes a reference to Poe. Jean asks what is Vollins interpretation of  The Raven  and is told that Poe was a great genius who was denied his love, Lenore. Getting tired, it is suggested that they all retire to their rooms for the night and they begin going upstairs. When Jean passes Bateman, she apologizes, saying she was suddenly surprised and would not have screamed if she had known. Bateman sees this sympathetic gesture and acts as if he wants to tell his secret. Vollin notices Bateman talking to Jean and is concerned.Outside a windy thunderstorm is beating down trees.Upstairs, Judge Thatcher is shown to his room by Vollin, who is called over by Col. Grant and asked about drafts in the house. Assured they will be comfortable, the Colonel and his wife go upstairs to the third floor where their room is. Thatcher comes into Jeans room with Jerry and begins ranting again about Vollin being mad and dangerous. He tells the couple to come home with him now. His fears are laughed at by Jerry, who says Vollin is just being amusing and is too reputable and distinguished a surgeon to be considered dangerous. Against his better judgment Thatcher resigns himself to stay the night, but not before Jerry announces that he will switch rooms with Jean for her protection.Knocking on the door and entering, Bateman comes in to try to tell Judge Thatcher what is going on. Vollins voice is heard calling Bateman. Coming to the door, he chastises Bateman into going downstairs. Trying to reassure his guests, Vollin apologizes and says his servant probably just wanted to see if he could help them. Jean says they are now comfortable and Vollin bids them goodnight.Going down into a dungeon below, Vollin shows Bateman his instruments of torture, telling him many are described by Poe in his writings. He says they are very old but warns ready for use.","","",""
Colleen,1936,89,Comedy,5.9,Alfred E. Green,Peter Milne,Dick Powell,Jack Oakie,Hobart Cavanaugh,Paul Draper,"\"Colleen is the manager of a dress shop named \"\"The Ames Company\"\"",owned by Donald Ames. They try to keep Uncle Cedric from working,because he will ruin the company. Troubles start when he hires schemer Joe as his personal assistant. He later also hires Minnie,a woman who has a great passion for fashion. When he buys the dress shop for Minnie where Colleen works as a bookkeeper
Death in the Air,1936,69,Action,5.1,Elmer Clifton,Bernard McConville,Gaston Glass,Henry Hall,Leon Ames,Reed Howes,"\"Inspector Gallagher (Willard Kent) of the United States Department of Commerce views a number of crashes and disappearances of Goering-Gage Aviation Corporation aircraft as suspicious. With United States Army Reserve test pilot Jerry Blackwood (John Carroll), Gallagher visits the Goering-Gage company. Jerry test flies Goering-Gage aircraft but finds nothing wrong. When a severely injured passenger from a crash, claims a mystery aircraft attacked them, the owner, Henry Goering (Henry Hall) hires psychiatrist, Dr. Norris (John Elliott), to question the man. Dr. Norris believes a psychotic ex-World War I flying ace, whom he dubs \"\"Pilot X","\"\" may be behind the attacks.","",""
Nothing Sacred,1937,77,Comedy,6.9,William A. Wellman,Ben Hecht,Troy Brown Sr.,Olin Howland,Charles Winninger,Sig Ruman,"New York newspaper reporter Wally Cook (Fredric March) is blamed for passing off Harlem bootblack Ernest Walker (Troy Brown) as an African nobleman hosting a charity event (despite his claims of not knowing this was false). Cook is demoted to writing obituaries. He begs his boss Oliver Stone (Walter Connolly) for another chance. Wally is sent to the (fictional) town of Warsaw, Vermont, to interview Hazel Flagg (Carole Lombard), a woman supposedly dying of radium poisoning. Cook finally locates Hazel, who is crying because her doctor has told her that she is not dying. Unaware of this, he invites her to New York as the guest of the Morning Star newspaper.","","",""
The Prince and the Pauper,1937,118,Drama,7.2,William Keighley,Mark Twain,Errol Flynn,Henry Stephenson,Claude Rains,Eric Portman,"\"Tom Canty, youngest son of a poor family living in Offal Court, London, has always aspired to a better life, encouraged by the local priest (who has taught him to read and write). Loitering around the palace gates one day, he sees a prince (the Prince of Wales – Edward VI). Coming too close in his intense excitement, Tom is nearly caught and beaten by the Royal Guards; however, Edward stops them and invites Tom into his palace chamber. There the two boys get to know one another, fascinated by each other's life and their uncanny resemblance; they were born on the same day. They decide to switch clothes \"\"temporarily\"\". The Prince momentarily goes outside",quickly hiding an article of national importance (which the reader later learns is the Great Seal of England),but dressed as he is in Tom's rags,he is not recognized by the guards
This Is My Affair,1937,100,Drama,6.6,William A. Seiter,Allen Rivkin,Victor McLaglen,Sig Ruman,Alan Dinehart,Douglas Fowley,"US President William McKinley (Frank Conroy) is put under great pressure by everyone, even US Bank Examiner Henry Maxwell, to do something about a gang of bank robbers nobody has been able to bring to justice. He sends U.S. Navy Lieutenant Richard L. Perry (Robert Taylor) undercover without notifying anyone, not even the Secret Service.","","",""
Cowboy from Brooklyn,1938,77,Comedy,5.7,Lloyd Bacon,Robert Sloane,Pat O'Brien,Granville Bates,Johnnie Davis,Dick Powell,"Singer Elly Jordan, a Brooklyn man who is terrified of animals, ends up broke along with his two musical partners at Hardy's Dude Ranch in Two Bits, Wyoming. The Hardys, Ma and Pop, daughter Jane and son Jeff, hire the men to play for the dudes. Sam Thorne, Jane's self-appointed boyfriend, ranch cowhand and amateur crooner, is jealous of Jane's interest in Elly. Elly is so successful as a cowboy singer, that when theatrical agent Ray Chadwick arrives at the ranch on a vacation and hears him, he signs Elly immediately. Chadwick thinks that Elly is a real cowboy and Jane coaches him to talk like one. In spite of his fear of animals, he gets away with the deception. He makes a successful screen test as a cowboy, using the name Wyoming Steve Gibson, but he and Chadwick, who now knows the truth, fear that the deception will be revealed when the movie people arrive in New York from Hollywood with Elly's contract.","","",""
Le Jour Se Leve,1939,93,Drama,7.7,Marcel Carné,Jacques Viot,René Génin,Jules Berry,Bernard Blier,René Bergeron,"Foundry worker François (Jean Gabin) shoots and kills Valentin (Jules Berry). François then locks himself in his apartment. He is soon besieged by the police, who fail in an attempt to shoot their way into the room. As they regroup to decide how to apprehend him, François begins to reminisce on how he came to be in this predicament.","","",""
