title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Les vampires,1915,421,Action,7.3,Louis Feuillade,Louis Feuillade,Fernand Herrmann,Fernand Herrmann,Marcel Lévesque,Édouard Mathé,"\"=== Episode 1 – \"\"The Severed Head\"\" ===","","",""
Within Our Gates,1920,79,Drama,6.4,Oscar Micheaux,Oscar Micheaux,Charles D. Lucas,William Starks,Jack Chenault,James D. Ruffin,"The film opens with Sylvia Landry (Evelyn Preer), a young African-American woman, visiting her cousin Alma in the North. Landry is waiting for the return of Conrad as they plan to marry. Alma also loves Conrad, and would like Sylvia to marry her brother-in-law Larry, a gambler and criminal. Alma arranges for Sylvia to be caught in a compromising situation by Conrad when he returns. He leaves for Brazil, and Larry kills a man during a game of poker. Sylvia returns to the South.","","",""
Safety Last!,1923,74,Action,8.1,Fred C. Newmeyer,Hal Roach,Monte Collins,Harold Lloyd,Roy Brooks,Ed Brandenburg,"\"The film opens in 1922 with Harold Lloyd (the character has the same name as the actor) behind bars. His mother and his girlfriend, Mildred, are consoling him as a somber official and priest show up. The three of them walk toward what looks like a noose. It then becomes obvious they are at a train station and the \"\"noose\"\" is actually a trackside pickup hoop used by train crews to receive orders without stopping","and the bars are merely the ticket barrier. He promises to send for his girlfriend so they can get married once he has \"\"made good\"\" in the big city. Then he is off.","",""
"Aelita, the Queen of Mars",1924,111,Comedy,6.4,Yakov Protazanov,Aleksei Fajko,Igor Ilyinsky,Yuri Zavadsky,Nikolay Batalov,Pavel Pol,"Moscow, 1921. A mysterious wireless message is received by various stations: its text is 'Anta Odeli Uta'. Someone facetiously suggests it has come from Mars, in order to tease Los (Nikolai Tsereteli), an engineer who is obsessed with the idea of going to Mars. This inspires him to daydream about Mars and a strange civilization there. We see Aelita (Yuliya Solntseva), the queen; Tuksib (Konstantin Eggert), the actual ruler; and Ilhoshka (Aleksandra Peregonets), Aelita's mischievous maid. They live in a society where aristocrats rule over slaves who are confined underground and put into cold storage when not required.","","",""
The Cameraman,1928,76,Comedy,8.0,Edward Sedgwick,Clyde Bruckman,Harold Goodwin,Buster Keaton,Harry Gribbon,Sidney Bracey,"Buster (Buster Keaton), a sidewalk tintype portrait photographer in New York City, develops a crush on Sally (Marceline Day), a secretary who works for MGM Newsreels. To be near her, he purchases an old film camera, emptying his bank account, and attempts to get a job as one of MGM's filmers. Harold (Harold Goodwin), an MGM cameraman who has designs on Sally himself, mocks his ambition.","","",""
The Smiling Lieutenant,1931,93,Comedy,7.1,Ernst Lubitsch,Ernest Vajda,Granville Bates,Hugh O'Connell,Maurice Chevalier,Harry C. Bradley,"\"In Vienna, Lieutenant Nikolaus \"\"Niki\"\" von Preyn (Maurice Chevalier) meets Franzi (Claudette Colbert)",the leader of an all-female-orchestra. They soon fall in love with each other. While standing in formation before a parade honoring the visiting royal family of Flausenthurm,Niki takes the opportunity to wink at Franzi in the crowd. Unfortunately the gesture is intercepted by Anna,the Princess of Flausenthurm (Miriam Hopkins). The naive Princess assumes offense
Mystery of the Wax Museum,1933,77,Horror,6.8,Michael Curtiz,Don Mullaly,Gavin Gordon,Claude King,Lionel Atwill,Arthur Edmund Carewe,"\"Ivan Igor (Lionel Atwill) is a sculptor who operates a wax museum in 1921 London. He gives a private tour to a friend and an investor, showing them sculptures of Joan of Arc, Voltaire, and his favorite, Marie Antoinette. Formerly a stone sculptor who did wax modeling as a hobby, he explains he turned to wax sculpting completely because he felt more \"\"satisfied\"\" that he could reproduce \"\"the warmth",flesh,"and blood of life far better in wax than in cold stone\"\". The investor",impressed by his sculptures
The Case of the Howling Dog,1934,74,Comedy,6.9,Alan Crosland,Ben Markson,Allen Jenkins,Harry Tyler,Gordon Westcott,Warren William,"\"Severely agitated by the howling of a police dog next door, millionaire Arthur Cartwright comes to Los Angeles lawyer Perry Mason to draw up his will, stating that the howling is a sign that a death has occurred. He wants to leave his money to the apparent wife of Clinton Foley, another millionaire and the dog's owner, explaining that while \"\"Evelyn Foley\"\" pretends to be Foley's wife",he is still legally married to someone else. Perry explains how Cartwright should word his odd bequest and after receiving a huge retainer fee,gives him a form to fill out and return. When Perry receives the form the next day,Cartwright has changed the beneficiary to Foley's actual wife. The fee paid by Cartwright obligates Perry to legally and morally represent the real Mrs. Foley to the best of his ability.
The Clairvoyant,1935,81,Drama,6.6,Maurice Elvey,Charles Bennett,Ben Field,Felix Aylmer,Claude Rains,Frank Cellier,"\"Rains plays Maximus, \"\"King of the Mind Readers\"\"",who performs an English music hall mind-reading act with the help of his wife,Rene (Fay Wray),using a secret code. One night
Music in the Air,1934,85,Comedy,6.0,Joe May,Jerome Kern,John Boles,Al Shean,Douglass Montgomery,Reginald Owen,The musical takes place in Bavaria during the 1930s but some contemporary productions have modified it to present day.,"","",""
The Star Packer,1934,53,Action,5.1,Robert N. Bradbury,Robert N. Bradbury,Eddie Parker,Davie Aldrich,John Wayne,George 'Gabby' Hayes,"\"John Travers is a U.S. marshal who, along with his Indian assistant Yak, are looking for some wanted criminals somewhere in the untamed West. Posing as the Lone Rider, Travers appears to rob a stagecoach; however, he is only setting up a sting where he can prevent the actual robbery and capture a pair of highwaymen. In the process he also rescues the attractive young female occupant of the stagecoach, who happens to be the niece of a town leader. When Travers arrives in town with the injured stage driver and the young lady, the citizens come out to see what is happening. In the group is Al Davis, who has that same day just been named the new sheriff of the town. While the townfolks are talking to Travers a sniper kills Davis on the spot. Travers does not reveal he is a U.S. marshal, however he volunteers to be their sheriff.Travers rides out to recover the money he \"\"stole\"\" earlier. Meanwhile an unseen bad guy known as the Shadow gives his henchmen orders from a secret room",communicating through a hole in the wall disguised as a safe. They are assigned to do away with Sheriff Travers. Between the hero and his sidekick Yak,they keep one step ahead of the bad guys,repeatedly foiling their attempts to murder our lawman. Travers and Yak eventually locate a mountain hideout that contains numerous hardened fugitives whose activities are orchestrated by the Shadow.The Shadow is Matt Matlock
Mr. Deeds Goes to Town,1936,115,Comedy,7.8,Frank Capra,Robert Riskin,John Wray,Raymond Walburn,Lionel Stander,Walter Catlett,"\"During the Great Depression, Longfellow Deeds (Gary Cooper), the co-owner of a tallow works, part-time greeting card poet, and tuba-playing inhabitant of the (fictional) hamlet of Mandrake Falls, Vermont, inherits 20 million dollars from his late uncle, Martin Semple. Semple's scheming attorney, John Cedar (Douglass Dumbrille), locates Deeds and takes him to New York City. Cedar gives his cynical troubleshooter, ex-newspaperman Cornelius Cobb (Lionel Stander), the task of keeping reporters away from Deeds. Cobb is outfoxed, however, by star reporter Louise \"\"Babe\"\" Bennett (Jean Arthur)","who appeals to Deeds' romantic fantasy of rescuing a damsel in distress by masquerading as a poor worker named Mary Dawson. She pretends to faint from exhaustion after \"\"walking all day to find a job\"\" and worms her way into his confidence. Bennett proceeds to write a series of enormously popular articles mocking Longfellow's hick ways and odd behavior","giving him the nickname \"\"Cinderella Man\"\".",""
The Dawn Patrol,1938,103,Drama,7.5,Edmund Goulding,Seton I. Miller,Morton Lowry,Errol Flynn,Michael Brooke,Melville Cooper,"\"During World War I, the pilots of an RFC squadron deal with the stress of combat primarily through nightly bouts of heavy drinking. The two aces of the squadron's \"\"A Flight\"\"",Courtney (Richard Barthelmess) and Scott (Douglas Fairbanks Jr),have come to hate the commanding officer,Brand (Neil Hamilton)
Too Hot to Handle,1938,107,Comedy,6.6,Jack Conway,Laurence Stallings,Henry Kolker,Walter Pidgeon,Johnny Hines,Walter Connolly,"Union Newsreel reporter Chris Hunter (Clark Gable) is sneakier and has fewer scruples than his rivals in war-torn China. When the Japanese do not oblige with a convenient aerial attack to film, Chris fakes one with a model aircraft with his cameraman José Estanza (Leo Carrillo).","","",""
