title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Macbeth,1916,80,Drama,6.7,John Emerson,John Emerson,Herbert Beerbohm Tree,Spottiswoode Aitken,Ralph Lewis,Wilfred Lucas,=== Act I ===,"","",""
A Modern Musketeer,1917,68,Comedy,6.6,Allan Dwan,Allan Dwan,Eugene Ormonde,Jim Mason,Charles Stevens,Tully Marshall,"The film opens with a sequence in which D'Artagnan (Douglas Fairbanks) rides up to a tavern on horseback and ends up brawling with sword and fist with the patrons inside in his haste to approach a fair young stranger. After triumphing, he morphs into modern day Ned Thacker (also played by Fairbanks).","","",""
The Ace of Hearts,1921,75,Drama,6.8,Wallace Worsley,Gouverneur Morris,John Bowers,Lon Chaney,Hardee Kirkland,Edwin Wallock,"\"The film is divided into ten chapters. A secret vigilante society's nine members pass judgment on others. They meet to decide the fate of a wealthy businessman they have been keeping under surveillance known as “The Man Who Has Lived Too Long” and vote to dispatch him with a homemade bomb concealed in a cigar case. Members Forrest (John Bowers) and Farallone (Lon Chaney) are both in love with the sole woman in the group, Lilith (Leatrice Joy). Forrest openly declares his love, but is spurned by Lilith, who is completely devoted to the \"\"Cause\"\".","","",""
Waxworks,1924,107,Horror,6.6,Leo Birinsky,Henrik Galeen,John Gottowt,William Dieterle,William Dieterle,William Dieterle,"A young nameless poet (Dieterle) enters a wax museum where the proprietor works in the company of his daughter. The proprietor hires the poet to write a back-story for his wax models of Harun al-Rashid (Jannings), Ivan the Terrible (Veidt), and Jack the Ripper (Krauss) in order to draw an audience to the museum. With the daughter by his side, the poet notices that the arm of Harun al-Rashid is missing and writes a story incorporating the missing arm.","","",""
The Squaw Man,1931,107,Drama,6.3,Cecil B. DeMille,Edwin Milton Royle,Roland Young,DeWitt Jennings,Charles Bickford,J. Farrell MacDonald,"\"James Wynnegate (Dustin Farnum) and his cousin, Henry (Monroe Salisbury), are upper class Englishmen and have been made trustees for an orphans’ fund. Henry loses money in a bet at a derby and embezzles money from “the fund” to pay off his debts. When war office officials are informed of the money missing from “the fund,\"\" they pursue James",but he successfully escapes to Wyoming. There,James rescues Nat-U-Ritch (Lillian St. Cyr),daughter to the chief of the Utes tribe
Ever in My Heart,1933,68,Drama,6.7,Archie Mayo,Bertram Millhauser,Otto Kruger,Ralph Bellamy,Frank Albertson,Ronnie Cosby,"In 1909 in the town of Archedale, Mary Archer (Barbara Stanwyck), an American girl from the prominent Archer family, meets Hugo Wilbrandt (Otto Kruger), a German chemist who knows her childhood friend Jeff (Ralph Bellamy). It had been assumed for years that Mary and Jeff would marry someday, but Mary falls in love with Hugo and he with her. They soon marry and start a family.","","",""
It Happened One Night,1934,105,Comedy,8.1,Frank Capra,Robert Riskin,Jameson Thomas,Arthur Hoyt,Charles C. Wilson,Walter Connolly,"It Happened One Night begins with a rich heiress named Ellie Andrews sequestered by her father on his yacht, disapproving of her marriage to a famous aviator named King Westley. After an argument, she escapes the yacht and swims away. She buys a bus ticket to travel back to New York to her husband, where she meets an out of work reporter named Peter Warne. Eventually he finds out her true identity from a newspaper article about her escape. He offers to help her get to her destination in exchange for exclusive rights to her story, and secures her cooperation by threatening to turn her in to her father if she does not agree.","","",""
Wonder Bar,1934,84,Drama,6.5,Lloyd Bacon,Geza Herczeg,Al Jolson,Dick Powell,Guy Kibbee,Hal Le Roy,"Wonder Bar is set in a Parisian nightclub, with the stars playing the ‘regulars’ at the club. The movie revolves around two main story points, a romance and a more serious conflict with death, and several minor plots. All of the stories are enlivened from time to time by extravagant musical numbers. The more serious story revolves around Captain Von Ferring (Robert Barrat), a German military officer. Ferring has gambled on the stock market and lost, now broke after dozens of failed investments, he is at the Wonder Bar to try and pull a one-night stand before killing himself the following day. Al Wonder (Al Jolson) knows about Ferring's plan.","","",""
The Whole Town's Talking,1935,93,Comedy,7.3,John Ford,Jo Swerling,Paul Harvey,Arthur Hohl,James Donlan,Edward G. Robinson,"\"Arthur Ferguson Jones (Edward G. Robinson) and Wilhelmina \"\"Bill\"\" Clark (Jean Arthur) work at the same advertising firm. Jones turns out to look exactly like the notorious bank robber \"\"Killer\"\" Mannion (also Robinson) and is apprehended by the police.","","",""
Black Legion,1937,83,Drama,6.9,Archie Mayo,Abem Finkel,Paul Harvey,Joe Sawyer,Dickie Jones,Clifford Soubier,"When passed over for promotion at work in favor of a foreign-born friend, Frank Taylor (Humphrey Bogart), a midwestern factory worker, joins the anti-immigrant Black Legion, a secret white vigilante organization portrayed as related to the Ku Klux Klan. Dressed in black robes and hoods, Taylor and the Legion mount a torchlight raid and burn down the friend's chicken farm, driving him out of town, so that Taylor can gain the job he believed was his. Soon, however, Taylor's recruiting activities with the Legion get in the way of his work, and he is demoted in favor of neighbor Mike Grogan (Clifford Soubier). The Legion takes action again, attacking Grogan.","","",""
