title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Julius Caesar,1914,112,Drama,6.3,Enrico Guazzoni,Raffaele Giovagnoli,Amleto Novelli,Ruffo Geri,Ignazio Lupi,Augusto Mastripietri,"\"The play opens with the commoners of Rome celebrating Caesar's triumphant return from defeating Pompey's sons at the battle of Munda. Two tribunes, Flavius and Marrullus, discover the commoners celebrating, insult them for their change in loyalty from Pompey to Caesar, and break up the crowd. There are some jokes made by the commoners, who insult them back. They also plan on removing all decorations from Caesar's statues and ending any other festivities. In the next scene, during Caesar's parade on the feast of Lupercal, a soothsayer warns Caesar, \"\"Beware the ides of March.\"\" This warning he disregards. The action then turns to the discussion between Brutus and Cassius. In this conversation",Cassius attempts to influence Brutus's opinions into believing Caesar should be killed,preparing to have Brutus join his conspiracy to kill Caesar. They then hear from Casca that Mark Antony has offered Caesar the crown of Rome three times and that each time Caesar refused it,fainting after the last refusal. Later
J'accuse!,1919,166,Drama,7.7,Abel Gance,Abel Gance,Paul Duc,Séverin-Mars,Blaise Cendrars,Pierre Danis,"In a Provençal village in the south of France, the villagers welcome the declaration of war with Germany in 1914 and flock to enlist. Among them is François Laurin, a man of jealous and violent temperament, who is married to Édith, the daughter of an upright veteran soldier Maria Lazare. François suspects, correctly, that Édith is conducting an affair with the poet Jean Diaz who lives in the village with his mother, and he sends Édith to stay with his parents in Lorraine - where she is subsequently captured and raped by German soldiers. François and Jean find themselves serving in the same battalion at the front, where the initial tensions between them give way to a close friendship that acknowledges that they both love Édith.","","",""
Foolish Wives,1922,117,Drama,7.0,Erich von Stroheim,Erich von Stroheim,Rudolph Christians,Erich von Stroheim,C.J. Allen,Cesare Gravina,The silent drama tells the story of a man who names himself Count Wladislaw Sergius Karamzin (von Stroheim) in order to seduce rich women and extort money from them.,"","",""
Häxan,1922,91,Horror,7.6,Benjamin Christensen,Benjamin Christensen,Poul Reumert,Poul Reumert,Benjamin Christensen,Benjamin Christensen,=== Part 1 ===,"","",""
The Loves of Pharaoh,1922,100,Drama,6.5,Ernst Lubitsch,Norbert Falk,Emil Jannings,Albert Bassermann,Paul Biensfeldt,Friedrich Kühne,"Pharaoh Amenes (Emil Jannings) receives glad tidings: King Samlak of Ethiopia proposes an alliance, to be cemented by the marriage of Amenes to Samlak's daughter, Makeda. Sothis, Amenes's master builder, reports there has been an accident at the construction site of the treasury and begs for more time for his workers' sake, but Amenes is unmoved.","","",""
Captain Blood,1924,110,Action,6.3,David Smith,Rafael Sabatini,J. Warren Kerrigan,Otto Matieson,Wilfrid North,Jack Curtis,"In 17th-century England, Irish doctor Peter Blood (Errol Flynn) is summoned to aid Lord Gildoy, a wounded patron who participated in the Monmouth Rebellion. Arrested while performing his duties as a physician, he is convicted of treason against the King and sentenced to death by the infamous Judge Jeffreys. By the whim of King James II, who sees an opportunity for profit, Blood and the surviving rebels are transported to the West Indies to be sold into slavery.","","",""
Ben-Hur: A Tale of the Christ,1925,143,Action,7.8,Fred Niblo,Lew Wallace,Ramon Novarro,Leo White,Nigel De Brulier,Francis X. Bushman,"Ben-Hur is a wealthy Jew and boyhood friend of the powerful Roman Tribune, Messala. When an accident leads to Ben-Hur's arrest, Messala, who has become corrupt and arrogant, makes sure Ben-Hur and his family are jailed and separated.","","",""
All Quiet on the Western Front,1930,152,Drama,8.1,Lewis Milestone,Erich Maria Remarque,Lew Ayres,William Bakewell,John Wray,Arnold Lucy,"\"The book tells the story of Paul Bäumer, a German soldier who—urged on by his school teacher—joins the German army shortly after the start of World War I. His class was \"\"scattered over the platoons amongst Frisian fishermen",peasants,"and labourers.\"\" Bäumer arrives at the Western Front with his friends and schoolmates (Leer",Müller
Love Me Tonight,1932,104,Comedy,7.5,Rouben Mamoulian,Samuel Hoffenstein,Maurice Chevalier,Charles Butterworth,C. Aubrey Smith,Joseph Cawthorn,"The story describes an encounter between a Parisian tailor named Maurice Courtelin (Chevalier) and a family of local aristocrats. These include Vicomte Gilbert de Varèze (Ruggles), who owes Maurice a large amount of money for tailoring work; Gilbert's uncle the Duc d'Artelines (C. Aubrey Smith), the family patriarch; d'Artelines' man-hungry niece Valentine (Loy); and his other 22-year-old niece, Princesse Jeanette (MacDonald), who has been a widow for three years. D'Artelines has been unable to find Jeanette a new husband of suitable age and rank. The household also includes three aunts and an ineffectual suitor the Comte de Savignac (Butterworth).","","",""
Rasputin and the Empress,1932,121,Drama,6.5,Richard Boleslawski,Charles MacArthur,Ralph Morgan,Edward Arnold,John Barrymore,C. Henry Gordon,"The highly fictionalized story takes place in the Russian Empire during the last years of the reign of Czar Nicholas II (Ralph Morgan) and the Czarina Alexandra (Ethel Barrymore). Reform-minded Prince Paul (John Barrymore) has long been concerned about the plight of the common people and knows a revolution is brewing. Prince Alexei, heir to the throne, is loved by the people but has hemophilia, and a slight fall turns out to be life-threatening. When royal physician Dr. Remezov (Edward Arnold) is powerless to stop the boy's bleeding, Princess Natasha (Diana Wynyard), Alexandra's lady-in-waiting and Paul's fiancee, recommends Rasputin (Lionel Barrymore) as a healer. He convinces the frantic Empress that he has been sent by God to cure the child. Left alone with Alexei, he hypnotizes the boy and relieves his agony but also gradually makes Alexei a slave to his will.","","",""
