title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Riders of the Purple Sage,1925,56,Action,6.3,Lynn Reynolds,Zane Grey,Warner Oland,Charles Newton,Arthur Morrison,Joe Rickson,"\"The events depicted in Riders of the Purple Sage occur in mid-spring and late summer 1871. Early in Riders of the Purple Sage, Jane Withersteen's main conflict is her right to befriend a Gentile. (The word Gentile means \"\"non-Mormon\"\" and is used a lot in the book). Jane Withersteen’s father wished Jane to marry Elder Tull",but Jane refused saying she did not love him,causing controversy and leading to persecution by the local Mormons.,""
Metropolis,1927,153,Drama,8.3,Fritz Lang,Thea von Harbou,Theodor Loos,Theodor Loos,Heinrich George,Heinrich George,"In the futuristic year of 2026, in the city of Metropolis, wealthy industrialists reign from high-rise tower complexes, while underground-dwelling workers toil to operate the underground machines that power the city. Joh Fredersen is the city's master. His son Freder idles away his time in a pleasure garden, but is interrupted by the arrival of a young woman named Maria, who has brought a group of workers' children to witness the lifestyle of the rich. Maria and the children are ushered away, but Freder, fascinated, goes to the machine rooms to find her. Witnessing the explosion of a huge machine that kills and injures several workers, he hurries to tell Fredersen about the accident. Grot, foreman of the Heart Machine, brings to Fredersen secret maps found on the dead workers. Freder secretly rebels against Fredersen by deciding to help the workers, after seeing his father's cold indifference towards the harsh conditions they face.","","",""
The Enemy,1927,90,Drama,7.5,Fred Niblo,John Colton,Frank Currier,John S. Peters,Karl Dane,Ralph Emerson,"A man attends an erotic show at an underground club that culminates with a naked woman on the verge of crushing a live tarantula under her platform high-heel. Elsewhere, a pregnant young woman sits alone on a bed.","","",""
The General,1926,78,Action,8.1,Clyde Bruckman,Buster Keaton,Joe Keaton,Buster Keaton,Charles Henry Smith,Frederick Vroom,"\"The Western & Atlantic Flyer \"\"speeds into Marietta",Georgia in the Spring of 1861,"\"\" pulled by the locomotive \"\"General.\"\" The engineer",Johnnie Gray (Buster Keaton) gets down to oil around
Coquette,1929,76,Drama,5.5,Sam Taylor,George Abbott,Jay Berger,Henry Kolker,Johnny Mack Brown,John St. Polis,"The story is about Eliza Wharton, the daughter of a clergyman. At the beginning of the novel she has just been released from an unwanted marriage by the death of her betrothed, the Rev. Haly, also a clergyman, whom Eliza nursed during his final days in her own home. After this experience, she decides she wants friendship and independence. After a short period of time living with friends, she is courted by two men. One, Boyer, is a respected but rather boring clergyman, whom all of her friends and her mother recommend she accept in marriage. The other, Sanford, is an aristocratic libertine, who has no intention to marry but determines not to let another man have Eliza. Because of her indecision and her apparent preference for the libertine Sanford, Boyer eventually gives up on her, deciding that she will not make a suitable wife. Sanford also disappears from her life and marries another woman, Nancy, for her fortune. Eliza eventually decides that she really loved Boyer and wants him back. Unfortunately for Eliza, Boyer has already decided to marry Maria Selby, a relation of Boyer's friend. Sanford later reappears married, but is able to seduce the depressed Eliza. They have a hidden affair for some time until, overcome by guilt and unwilling to face her family and friends, Eliza arranges to escape from her home. Like the real-life Elizabeth Whitman, she dies due to childbirth complications and is buried by strangers. Mrs. Wharton (Eliza's mother) and all of Eliza's friends are deeply saddened by her death. Sanford, too, is devastated by her death. In a letter to his friend, Charles Deighton, he expresses his regret at his wretched behavior.","romantic, murder",train,wikipedia
The Unholy Night,1929,94,Horror,5.7,Lionel Barrymore,Ben Hecht,Ernest Torrence,Roland Young,Sôjin Kamiyama,Claude Fleming,=== 1962 ===,"","",""
The Blue Angel,1930,104,Drama,7.7,Josef von Sternberg,Heinrich Mann,Reinhold Bernt,Hans Albers,Rolf Müller,Roland Varno,"\"It should first be mentioned that there was an English-language version of the film shot simultaneously with the German-language version. Both versions are nearly identical, but there are a few exceptions in the story. Due to the classic nature of the film, this synopsis is based on the original German version of the film.The film opens with the sound of geese and chickens clucking in a street marketplace. A woman washes a window outside a shop featuring a poster of Lola (Marlene Dietrich) which causes the woman to pose in a similar fashion. A shot of a door which reads \"\"Prof. Rath\"\" introduces the other main character",Professor Immanuel Rath (Emil Jannings) who is preparing for class. A bell is heard ringing in the background as teenage schoolboys run to class. The caretaker of the house is cleaning up the house as she reminds the Professor of breakfast. The Professor enters and has some tea/ coffee and begins to whistle to his bird. When he doesn't hear a reply he checks on the bird only to find it has died. This seems to sadden the professor,"which is contrasted by the housekeeper taking the bird and dumping it in an open boiler. All she can say is: \"\"Anyway","he stopped singing long ago.\"\" The Professor goes on with his breakfast.We are then introduced to his class which is mostly composed of boys gathering in a group to look at a postcard"
Safe in Hell,1931,73,Drama,6.9,William A. Wellman,Houston Branch,John Wray,Ivan F. Simpson,Morgan Wallace,Ralf Harolde,"\"Gilda Karlson (Dorothy Mackaill) is a New Orleans prostitute. She is accused of murdering Piet Van Saal (Ralf Harolde), the man responsible for ending her life as a secretary and leading her into prostitution. Her old boyfriend, sailor Carl Erickson (Donald Cook), smuggles her to safety on Tortuga, an island in the Caribbean from which she cannot be extradited. On the island, Gilda and Carl get \"\"married\"\" without a clergyman to officiate",and she swears to be faithful to him. After Carl leaves on his ship,Gilda finds herself to be the only white woman in a hotel full of international criminals,all of whom try to seduce her. Especially persistent is Bruno (Morgan Wallace)
The Mummy,1932,73,Horror,7.0,Karl Freund,Nina Wilcox Putnam,Edward Van Sloan,Boris Karloff,Bramwell Fletcher,James Crane,"An ancient Egyptian priest called Imhotep (Boris Karloff) is revived when an archaeological expedition in 1921 led by Sir Joseph Whemple (Arthur Byron) finds Imhotep's mummy. Imhotep had been mummified alive for attempting to resurrect his forbidden lover, the princess Ankh-es-en-amon. Despite the warning of his friend Dr. Muller (Edward Van Sloan), Sir Joseph's assistant Ralph Norton (Bramwell Fletcher) reads aloud an ancient life-giving scroll the Scroll of Thoth. Imhotep escapes from the archaeologists, taking the Scroll of Thoth, and prowls Cairo seeking the modern reincarnation of Ankh-es-en-amon.10 years later, Imhotep is masquerading as a modern Egyptian named Ardath Bey. He calls upon Sir Joseph's son Frank (David Manners) and Prof. Pearson (Leonard Mudie). He shows them where to dig to find Ankh-es-en-amon's tomb. The archaeologists find the tomb, give the mummy and the treasures to the Cairo Museum, and thank Ardath Bey for the information.Imhotep encounters Helen Grosvenor (Zita Johann), a woman bearing a striking resemblance to the Princess. Believing her to be Ankh-es-en-amon's reincarnation, he attempts to kill her, with the intention of mummifying her, resurrecting her, and making her his bride. She is saved when she remembers her past life and prays to the goddess Isis to save her. The statue of Isis raises its arm and emits a beam of light that destroys the Scroll of Thoth, thereby reducing Imhotep to dust. Frank calls Helen back to the world of the living whilst the Scroll of Thoth burns.","romantic, flashback",test,imdb
Heroes for Sale,1933,76,Drama,7.4,William A. Wellman,Robert Lord,Richard Barthelmess,Berton Churchill,Robert Barrat,Gordon Westcott,"A veteran of World War I, Thomas Holmes (Richard Barthelmess), struggles to make his way in civilian life in almost every way imaginable. In the opening scene of the movie, Tom and his friend are on a mission to gather intelligence by capturing a German soldier. Tom's friend, the banker's son Roger Winston (Gordon Westcott), in terror, refuses to leave the shell hole so Tom volunteers to go alone.","","",""
