title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Auction of Souls,1919,80,Drama,5.5,Oscar Apfel,Aurora Mardiganian,Howard Davies,Hector Dion,Miles McCarthy,Henry Morgenthau,"The author Arshaluys (Aurora) Mardiganian was born in the city of Çemişgezek, near Harput (Kharpert), (present-day Turkish province of Elâzığ), Ottoman Empire. She was the daughter of a wealthy Armenian financier in the city. The story starts in 1915 when Arshaluys was 14 years old. She personally witnessed the murder of her father, mother, brothers and sisters. She was taken to the harem of a number of Turkish pashas, but had remained attached to her Christian Armenian faith despite being tortured repeatedly at the hands of her captors.","","",""
The Passion of Joan of Arc,1928,114,Drama,8.1,Carl Theodor Dreyer,Joseph Delteil,Jacques Arnna,Jean d'Yd,Louis Ravet,Michel Simon,"After having led numerous military battles against the English during the Hundred Years' War, Joan of Arc is captured near Compiegne and eventually brought to Rouen, Normandy to stand trial for heresy by French clergymen loyal to the English.","","",""
Blackmail,1929,85,Drama,6.9,Alfred Hitchcock,Charles Bennett,Cyril Ritchard,Johnny Ashby,Harvey Braban,John Longden,"\"A tire is spinning. A police van speeds along city streets. Inside, a Morse Code radio message containing an address is received. The van stops at a seedy building, and two plain clothes police go up some stairs. Quietly, they crack open the door of a room where a man lies atop a bed, reading a paper. A gun is on his bedside table. The man realizes he is about to be arrested and makes a move towards his gun, but the detectives move faster, and arrest him.The man is in a lineup in a patio with dozens of others. A young woman slowly passes by the men, and identifies the man, suggesting a rape charge will follow. The detectives work is finished, they ride home on a train. A fat man {Hitchcock} one seat away is being annoyed by a little boy who pulls down his hat,Scotland Yard Detective Frank Webber (John Longden) goes out for the evening with his capricious girlfriend Alice White (Anny Ondra), first going to a crowded tea house. As they jockey for a table, she misplaces one glove and Frank must go back to retrieve it.They bicker in a series of minor quarrels. Frank seems more interested in police work than in her. They talk about going to a movie, a new crime film. Frank scoffs, claiming its too unrealistic, but Alice comments: I heard they got a real criminal to direct it.Alice capriciously changes her mind back and forth driving Frank off. She has a note from another man arranging to meet in that teahouse, and she spots him and they make signs. Frank decides he has had enough, pays and leaves, but stays near the door.Alice leaves with Mr. Crewe (Cyril Ritchard), an artist. Frank sees them leaving the restaurant and follows them for a while.Alice is invited by Crewe to visit his studio, she demurs coyly but finally agrees. We learn that Alice lives with her father and mother in their tobacco shop, a short distance away.A suspicious looking man is lurking around, observing them.Crewe finds a note at the entrance. He goes behind the stairs ask the concierge Mrs. Humphries (Hannah Jones) at what time the note was left. Alice is already several steps up the stairs, so Mrs. Humphries does not see her.The camera follows Crewe and Alice as they climb multiple flights to the top floor. The artist's intentions are obvious, but Alice is unaware and innocently flirts with the artist by saying she might like to be his model, cooing with delight over his attentions.At his studio, a finished painting of a jester laughing at the viewer draws Alice's attention.Alice asks how the pallette is held, then paints a head on an empty canvas, which she playfully signs. Crewe then sketches a nude female body to go with the head. Crewe says he will paint her if she puts on a dancer's costume that is hanging on a screen.Crewe sings and plays \"\"Miss Up-to-Date\"\" on the piano while we watch Alice undress behind the screen.They have some fun and the guy tries to push too fast forward as he forces a kiss on Alice. She says she wants to go home. After she takes off the costume",he takes hold of her street clothes and flings them out of reach,and assaults her,dragging her to his bed.In silhouette we see the couple struggling wildly behind a curtain that hides the bed. A bobby patrolling outside below the apartment window while Alice screams hears nothing.To defend herself
Dracula,1931,75,Drama,7.4,Tod Browning,Bram Stoker,Herbert Bunston,Edward Van Sloan,Bela Lugosi,Dwight Frye,"\"The opening scene is on a quiet road surrounded by ominous mountains. A carriage with 6 people is going into the town near Count Dracula's castle. The driver drops everyone off and then talks to a townie about where Renfield (Dwight Frye), one of the passengers is going next. The townie pleads with him not to go, for that is the castle of Count Dracula and his Vampire wives.Despite the warnings, Renfield decides to go anyways. As he arrives, female Vampires are rising from their tombs in the castle as the evil Dracula watches. Then Renfield enters, though he is leery to. Of course after seeing some creepy creatures scurrying around the castle, he is greeted by the infamous Count, who bids him\"\"welcome\"\". Later",Renfield confirms that he kept his visit to Dracula's castle a secret,and then they discuss the sale of the castle which is what Renfield came for.They say good night and Renfield prepares to turn in. Three female vampires enter his room as he passes out from an encounter from the vampire bat (Dracula). In the next scene,Renfeild is shown as Dracula's ghoul that wakes him after sunset. Dracula is then shown on the very stormy ocean in a ship
The Maltese Falcon,1931,80,Drama,6.8,Roy Del Ruth,Dashiell Hammett,Otto Matieson,Dwight Frye,Walter Long,J. Farrell MacDonald,"In San Francisco in 1941, private investigators Sam Spade (Humphrey Bogart) and Miles Archer (Jerome Cowan) meet prospective client Ruth Wonderly (Mary Astor). She claims to be looking for her missing sister, who is involved with a man named Floyd Thursby, whom she is to meet. After receiving a substantial retainer, Archer agrees to follow her that night and help get her sister back.","","",""
White Renegade,1931,66,Drama,7.5,Jack Irwin,Jack Irwin,Tom Santschi,Reed Howes,Philo McCullough,Billy Franey,"As described in a film magazine, Marshall Strong (Lewis) and John Moore (Playter) are partners in a mine and both love school teacher Constance Harvey (Turner). She prefers Strong, but Moore is crafty and she marries him. Moore is killed in a bar fight and Strong, who had come to the rescue, is accused of murder. Constance and Strong might have still found each other, but Lilas Niles (Truax), through a plot, brings about a misunderstanding and marries Strong. Twenty years later Strong, calling himself Mark Smith, is a wealthy mine operator and he and Lilas have a daughter Nancy (Brent). Constance is still a widow and her son David Moore (Greene) gets a job working at the mine and meets Nancy. Mark Smith does not take proper safety precautions for the mine workers and there is discontent. David is a power for good sense and moderation, and the mine owner trusts him. Nancy's mother Lilas has arranged an engagement for her daughter to an English baronet, Sir Horace Seaton (Hyde). There is an explosion at the mine, and David and Sir Horace rush to the burning mine and try to rescue Mark and the other miners. They pass through a long galley in flames, but are not successful. However, Mark and the miners have escaped through a side passage. As a result, Mark becomes more generous in the mining operation, and David and Nancy are later wed.","revenge, murder",train,wikipedia
Bureau of Missing Persons,1933,73,Comedy,6.5,Roy Del Ruth,Robert Presnell Sr.,Pat O'Brien,Allen Jenkins,Alan Dinehart,Lewis Stone,"Brash detective Butch Saunders is demoted from the robbery division to the bureau of missing persons. Captain Webb, his new boss, is unsure whether Butch will fit in or is on his way out of the police department. Webb assigns Joe Musik to show Butch around. Gradually, Butch earns Webb's respect and trust.","","",""
The Invisible Man,1933,71,Horror,7.6,James Whale,H.G. Wells,Dudley Digges,Harry Stubbs,Henry Travers,William Harrigan,"\"The 1933 version of the work of H.G. Wells opens with title and credits. A man trudges through the snow to the small village of Iping. His destination is the Lion's Head Pub and Inn. The place is a buzz of activity: drinking and laughing, and a game of darts. The stranger, Dr. Jack Griffin (Claude Rains) walks in covered from head to toe, head bandaged, and wearing a false nose. All sound in the Pub ceases. The stranger approaches the proprietor, Herbert Hall (Forrester Harvey) and requests, \"\"I want a room and a fire.\"\" Hall calls to his wife",Jenny (Una OConnor). Jenny explains they have no rooms ready,as summer is their normal season,but one can be prepared. Jenny calls to Minnie (Merle Tottenham). Jenny leads Dr. Griffin to his room
Men Must Fight,1933,72,Drama,6.1,Edgar Selwyn,C. Gardner Sullivan,Robert Greig,Robert Young,Phillips Holmes,Lewis Stone,"Nurse Laura Mattson (Diana Wynyard) and World War I military pilot Lt. Geoffrey Aiken (Robert Young) fall in love after only knowing each other for a few days. Tragically, he is brought to her hospital and, by chance, put under her care after being fatally wounded on his very first mission. After he dies, Laura realizes she is pregnant. Edward Seward (Lewis Stone) loves her and persuades her to marry him. As far as anyone knows, the child will be his.","","",""
The Prizefighter and the Lady,1933,102,Comedy,6.3,W.S. Van Dyke,John Lee Mahin,Max Baer,Otto Kruger,Jack Dempsey,Primo Carnera,"\"While working as a barroom bouncer, sailor Steve Morgan (Max Baer) impresses alcoholic ex-boxing manager \"\"the Professor\"\" (Walter Huston) with his skills. The Professor talks Steve into entering a prize fight with an up-and-coming boxer to make money for both of them.","","",""
Queen Christina,1933,99,Drama,7.5,Rouben Mamoulian,H.M. Harwood,Georges Renavent,David Torrence,Ian Keith,Lewis Stone,"Queen Christina of Sweden (Greta Garbo) is very devoted to her country and the welfare of her people. As queen, Christina favors peace for Sweden. At one point in the film, she argues for an end to the Thirty Years' War, saying:","","",""
The Count of Monte Cristo,1934,113,Action,7.4,Rowland V. Lee,Alexandre Dumas,Louis Calhern,Sidney Blackmer,Raymond Walburn,Lawrence Grant,=== Summary ===,"","",""
Manhattan Melodrama,1934,93,Drama,7.1,W.S. Van Dyke,Oliver H.P. Garrett,Nat Pendleton,Thomas E. Jackson,Leo Carrillo,Clark Gable,"On June 15, 1904, the ship General Slocum catches fire and sinks in New York's East River. Two boys, Blackie Gallagher (Mickey Rooney) and Jim Wade (Jimmy Butler), are rescued by a priest, Father Joe (Leo Carrillo), but are orphaned by the disaster. They are taken in by another survivor, Poppa Rosen (George Sidney), who lost his young son in the sinking. The boys live with Poppa Rosen for a short while; then Rosen, a Russian Jew, is trampled to death by a policeman's horse after he heckles Leon Trotsky at a Communist rally and a melee breaks out.","","",""
Twentieth Century,1934,91,Comedy,7.3,Howard Hawks,Charles Bruce Millholland,John Barrymore,Walter Connolly,Etienne Girardot,Edgar Kennedy,"\"Ebullient Broadway impresario Oscar Jaffe (John Barrymore) takes an unknown lingerie model named Mildred Plotka (Carole Lombard) and makes her the star of his latest play, despite the grave misgivings of everyone else, including his two long-suffering assistants, accountant Oliver Webb (Walter Connolly) and the consistently tipsy Owen O'Malley (Roscoe Karns). Through intensive training, Oscar transforms his protegée into the actress \"\"Lily Garland\"\"",and both she and the play are resounding successes. Over the next three years,their partnership spawns three more smash hits,and Lily is recognized as a transcendent talent.
The Three Musketeers,1935,96,Action,5.8,Rowland V. Lee,Dudley Nichols,Onslow Stevens,Ian Keith,Moroni Olsen,Paul Lukas,"In Venice, the musketeers Athos, Porthos, and Aramis, with the help of Milady de Winter, steal airship blueprints made by Leonardo da Vinci. However, they are betrayed by Milady, who incapacitates them and sells the blueprints to the Duke of Buckingham.","","",""
The Lower Depths,1936,90,Drama,7.5,Jean Renoir,Maxim Gorky,Vladimir Sokoloff,René Génin,Robert Le Vigan,Camille Bert,"The cellar resembles a cave, with only one small window to illuminate its dank recesses. In a corner, thin boards partition off the room of Vaska, the young thief. In the kitchen live Kvashnya (Dough), a vendor of meat pies, the decrepit Baron, and the streetwalker Nastya. All around the room are bunks occupied by other lodgers.","","",""
The Story of Louis Pasteur,1936,86,Drama,7.3,William Dieterle,Sheridan Gibney,Akim Tamiroff,Halliwell Hobbes,Henry O'Neill,Fritz Leiber,"In nineteenth century chemist Louis Pasteur (Paul Muni) believes that diseases are caused by unseen microbes. His radical theory is dismissed by most doctors, particularly his most vocal critic, Dr Charbonnet (Fritz Leiber, Sr.). Nonetheless, Pasteur carries on, with the assistance of a small group of loyal researchers, and finds a cure for anthrax. He also campaigns to have doctors wash their hands and sterilize their instruments before operating.","","",""
Night Must Fall,1937,116,Drama,7.2,Richard Thorpe,Emlyn Williams,E.E. Clive,Robert Montgomery,Matthew Boulton,Alan Marshal,"Mrs. Bramson (Dame May Whitty) is an irascible elderly woman who holds court in a small English village. She pretends to need a wheelchair, and impulsively threatens to fire her maid, Dora (Merle Tottenham), for allegedly stealing and breaking china. Meanwhile, the household learns that the police have searched a nearby river looking for the missing villager, Mrs. Shellbrook. Dora then introduces her Irish boyfriend, Danny (Robert Montgomery), who works for Mrs. Shellbrook. Perceiving that Mrs. Bramson is a hypochondriac who only affects her need for a wheelchair, Danny is charming toward her and says that she reminds him of his mother. He tells Mrs. Bramson that he loves Dora and would marry her if he had a better job. Mrs. Bramson obliges and he becomes her servant.","","",""
