title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Broken Blossoms,1919,90,Drama,7.2,D.W. Griffith,Thomas Burke,Richard Barthelmess,Wilbur Higby,George Beranger,Ernest Butterworth,"Cheng Huan (Richard Barthelmess) is a Buddhist missionary living and working in the Limehouse district of London. He had traveled from his native China with the intent of spreading a message of love and hope to the British but instead became an opium addict. He admires from a distance young Lucy (Lillian Gish), a downtrodden teenager who shops in the district. Lucy's lives with her father, the prizefighter Battling Burrows (Donald Crisp). He is a cruel, brutal man who beats Lucy with a whip whenever she does anything wrong. She does her best to maintain a positive outlook but it is difficult.Just before he goes to his training quarters, Battling beats Lucy severely because she accidentally spills food on him. After he leaves, Lucy stumbles to the Limehouse and collapses in Cheng Huan's shop. He takes her upstairs to his bedroom and nurses her back to health. He dresses her in Chinese silk gowns, gives her dolls and flowers, and for the first time in her life, Lucy feels safe. Cheng Huan's love for her is more than platonic but her beauty is so pure he refuses to sully her with sexuality.One of Battling's assistants (George Baranger) buys some merchandise in Cheng Huan's shop. Cheng Huan leaves him alone in the store momentarily. The assistant hears a noise from upstairs and goes to investigate. He discovers Lucy. The assistant rushes to Battling's training ring and informs him of what he saw. Battling is outraged that Lucy is associating with a member of another race. That night, after winning his boxing match, Battling goes with two other men to Cheng Huan's shop. Cheng Huan is out buying flowers for Lucy. Battling destroys the bedroom and drags Lucy back to their dismal apartment. Although she tries to hide from him in a closet, she is unable to stop Battling from thrashing her mercilessly with the whip. She dies from her injuries.Meanwhile, Cheng Huan has returned and discovered that Lucy is gone. He takes a gun and goes to Battling's apartment. He finds Lucy's dead body and in revenge guns down Battling. He then carries Lucy back to the bedroom above his shop. While Battling's friends alert the police to the boxer's death, Cheng Huan performs a Buddhist ritual for Lucy to reach the afterlife. He then commits suicide himself.","violence, murder, melodrama",train,imdb
Sumurun,1920,85,Drama,6.1,Ernst Lubitsch,Friedrich Freksa,Jakob Tiedtke,Max Kronert,Carl Clewing,Harry Liedtke,"A company of travelling performers arrive at a fictional oriental city. It includes the beautiful dancer Janaia, the hunchback clown Yeggar who is lovesick for Janaia and the Old Lady who loves Yeggar. The Slave Trader Achmed wants to sell Janaia to the Sheik for his harem. At the Palace, the Sheik finds out that his favourite, Sumurun, is in love with Nur al Din, the handsome clothes merchant. He wants to condemn her to death but his son obtains her pardon. After seeing Janaia dancing, the Sheik is keen to buy her. Yeggar is desperate and takes a magic pill which make him look dead. His body is hidden in a chest. The women from the harem come to Nur al Din's shop and hide him in a chest so that he can be brought into the Palace. The chest containing Yeggar's body is also brought to the Palace and the Old Lady manages to revive him. The Sheik finds Janaia making love to his son and kills both of them. He then finds Sumurun making love to Nur al Din and wants to kill them but he is stabbed in the back by Yagger.","revenge, murder",train,wikipedia
Sherlock Jr.,1924,45,Action,8.2,Buster Keaton,Jean C. Havez,Joe Keaton,Joe Keaton,Ward Crane,Ward Crane,"\"Sherlock Jr. starts with a proverb: \"\"Don't try to do two things at once and expect to do justice to both.\"\" The projectionist/Sherlock Jr. (Buster Keaton) sits at the back of an empty movie theater with his broom","reading \"\"How to Be a Detective.\"\" He has the required equipment: a moustache disguise and a magnifying glass. He is chided by his boss to complete his chores first. So he begins to work",but not before day-dreaming about his love interest,The Girl (Kathryn McGuire). Before sweeping the mess in front of the theater
The Little Colonel,1935,81,Comedy,7.0,David Butler,William M. Conselman,Stephen Chase,Bill Robinson,Frank Darien,John Lodge,"Shortly after the American Civil War, southern belle Elizabeth Lloyd (Evelyn Venable) marries a northerner, Jack Sherman (John Lodge). Her father Colonel Lloyd (Lionel Barrymore) disowns her in anger and retaliation. Elizabeth and Jack move west where they become parents of a girl they name Lloyd Sherman (Shirley Temple).","","",""
The Better 'Ole,1926,95,Comedy,6.2,Charles Reisner,Bruce Bairnsfather,Jack Ackroyd,Harold Goodwin,Olaf Hytten,Theodore Lorch,"\"Private William 'Old Bill' Busby (Syd Chaplin), was a 30 year pipe smoking veteran of Her Majesty's Service with a walrus mustache. We meet him in the trenches during WWI, trying his best to stay out of the way of bombs and bullets and bide his time as best he can until he can return to calmer environs.Old Bill's greatest worry was his fellow soldier, a man called Alphie, or \"\"Little Alf\"\" (Jack Ackroyd). Bill and Alphie found themselves in a foxhole together during a particularly intense period of bombing and shooting",which prompted Alphie to say to Bill that they should get out of there. Bill frowns and says to Alphie,"\"\"If you knows of a better 'ole","go to it!\"\"Back in a widened out section of the British trenches"
The Black Pirate,1926,88,Action,7.0,Albert Parker,Douglas Fairbanks,Anders Randolf,Sam De Grasse,Charles Stevens,Donald Crisp,"The film begins with the looting of a ship already captured and badly mauled, by the pirates. After relieving the ship and crew of valuables, the pirates fire the ship, blowing up the gunpowder on board, sinking her. While the pirates celebrate, two survivors wash up on an island, an old man and his son. Before dying, the older man gives his signet ring to his son (Douglas Fairbanks). His son buries him, vowing vengeance.","","",""
The Last Command,1928,88,Drama,8.0,Josef von Sternberg,Lajos Biró,Nicholas Soussanin,Michael Visaroff,Jack Raymond,Harry Cording,The book is set a month after Dark Force Rising.,"","",""
Moby Dick,1930,80,Drama,5.6,Lloyd Bacon,Herman Melville,Nigel De Brulier,John Ince,John Barrymore,Lloyd Hughes,"\"Ishmael travels in December from Manhattan Island to New Bedford with plans to sign up for a whaling voyage. The inn where he arrives is overcrowded, so he must share a bed with the tattooed Polynesian Queequeg, a harpooneer whose father was king of the (fictional) island of Rokovoko. The next morning, Ishmael and Queequeg attend Father Mapple's sermon on Jonah, then head for Nantucket. Ishmael signs up with the Quaker ship-owners Bildad and Peleg for a voyage on their whaler Pequod. Peleg describes Captain Ahab: \"\"He's a grand",ungodly,"god-like man\"\" who nevertheless \"\"has his humanities\"\". They hire Queequeg the following morning. A man named Elijah prophesies a dire fate should Ishmael and Queequeg join Ahab. While provisions are loaded",shadowy figures board the ship. On a cold Christmas Day
Morocco,1930,92,Drama,7.0,Josef von Sternberg,Jules Furthman,Francis McDonald,Adolphe Menjou,Paul Porcasi,Ullrich Haupt,"The film is set in the late 1920s. It opens in Morocco, with the French Foreign Legion returning from a campaign. Among them is Légionnaire Private Tom Brown (Gary Cooper). Meanwhile, on a ship bound for Morocco is the disillusioned nightclub singer Amy Jolly (Marlene Dietrich). Wealthy La Bessière (Adolphe Menjou) attempts to make her acquaintance, offering to assist her on her first trip to Morocco. When she politely refuses any help, he gives her his calling card, which she later tears up and tosses away.","","",""
Top Speed,1930,80,Comedy,5.8,Mervyn LeRoy,Harry Ruby,Wade Boteler,Jack Whiting,Billy Bletcher,Edmund Breese,"\"Elmer Peters (Brown) and Gerald Brooks (Whiting), bond clerks on a weekend vacation, are on the run from a local sheriff after Elmer attempts to fish in a \"\"no fishing\"\" area. The two men arrive at an expensive hotel where they rescue Virginia Rollins (Claire) and Babs Green (Lee)",who have just been involved in a car accident. Gerald falls in love with Virginia,and Elmer falls for Babs,and the two fugitives decide to remain at the hotel for the rest of the weekend. Elmer begins boasting to hotel guests and personnel; soon
