title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Doorway to Hell,1930,78,Drama,6.5,Archie Mayo,Rowland Brown,Jerry Mandy,Kenneth Thomson,Lew Ayres,Leon Janney,"Lew Ayres plays as a young Chicago gang leader who is so successful that he becomes the underworld boss of the entire city. He meets Dorothy Mathews and immediately falls in love with her. Unfortunately, Mathews is a gold-digger who is secretly in love with Ayres's best friend, played by James Cagney. Ayres ends up marrying Mathews, who continues to be unfaithful to him during her marriage. Ayres eventually gets tired of being a gangster and attempts to go straight. Against the advice of all his underworld friends, Ayres buys a house in the country in Florida and brings along his wife. Cagney is left in charge of the gangsters and through his ineptitude things quickly become chaotic. Although his former friends plead for Ayres to return he ignores them and spends his time in the country writing his autobiography. In order to force Ayres to come back, some of the gangsters kidnap his younger brother, played by Leon Janney. Unfortunately, Janney is accidentally killed by a truck. Swearing revenge on the men who killed his brother, Ayres returns to the city.","revenge, murder",val,wikipedia
The Mad Genius,1931,81,Drama,6.3,Michael Curtiz,Martin Brown,Frankie Darro,Charles Butterworth,John Barrymore,Chester A. Bachman,"A crippled puppeteer, Ivan Tsarakov (Barrymore), is frustrated that he will never dance ballet. He adopts a protegé, Fedor Ivanoff (Cook), whom he makes into the greatest dancer in the world. Fedor falls in love with a dancer, Nana Carlova (Marsh), but Tsarakov fears that she will ruin Fedor as a dancer. He tries to separate them and ultimately fires Nana from the ballet troupe. Fedor runs away with Nana to Paris, but Tsarakov has blacklisted him, and he cannot get ballet jobs and is reduced to working in a cabaret. Nana begs Tsarakov to give Fedor his job back. Tsarakov agrees, if Nana will leave Fedor and marry another man; she agrees. Fedor returns embittered; he sees Nana on opening night and realizes that she still loves him; he refuses to dance. Tsarakov threatens to kill him, but the ballet master, under the influence of drugs that Tsarakov has given him, kills Tsarakov. Fedor is reunited with Nana.","","",""
The Blue Light,1932,85,Drama,6.8,Leni Riefenstahl,Béla Balázs,Mathias Wieman,Max Holzboer,Franz Maldacea,Beni Führer,"A soldier has been discharged from the king's service because of his wounds. The soldier leaves the castle and, as night falls, he requires somewhere to stay. Encountering the home of a witch, he asks her for lodging. The witch agrees on condition that he spade her garden the next day. This takes so long that he must stay another night, and in return she asks him to chop her wood. Once again, he must stay another night.","","",""
The Circus Queen Murder,1933,63,Action,6.0,Roy William Neill,Fulton Oursler,Adolphe Menjou,Dwight Frye,Eddy Chandler,Harry Holman,"\"New York Police Commissioner Thatcher Colt (Adolphe Menjou) decides to take a vacation after six years of fighting crime, accompanied by his attractive secretary, Miss Kelly (Ruthelma Stevens). On the train to their destination, they spot a rundown circus, \"\"The Greater John T Rainey Shows\"\"",heading to the same place. The circus is home to a love triangle: Josie La Tour (Greta Nissen),her husband Flandrin (Dwight Frye) (whom she is intent on divorcing),and her lover The Great Sebastian (Donald Cook (actor))
Today We Live,1933,113,Drama,5.9,Howard Hawks,William Faulkner,Robert Young,Rollo Lloyd,Gene O'Brien,Ernie Alexander,"\"During World War I, Diana \"\"Ann\"\" Boyce-Smith (Joan Crawford) is an English girl living on her father's estate in Kent. The estate is bought by a wealthy American",Richard Bogard (Gary Cooper),who seeks to move into his new property. Right as Bogard arrives,Ann and the house's servants find out that her father has been killed in action
"Baby, Take a Bow",1934,76,Comedy,6.4,Harry Lachman,Philip Klein,Ray Walker,James Dunn,Alan Dinehart,James Flavin,"After serving time in Sing Sing, Eddie Ellison marries his fiancée Kay and eventually the two have a daughter they name Shirley. Eddie helps his friend, and former convict, Larry Scott, who is engaged to Shirley's dance instructor Jane, get a job as a chauffeur for his employer, factory owner Stuart Carson.","","",""
The Scarlet Pimpernel,1934,97,Drama,7.3,Harold Young,Baroness Emmuska Orczy,Anthony Bushell,Walter Rilla,Bramwell Fletcher,O.B. Clarence,"\"In 1792, at the bloody height of the French Revolution's Reign of Terror, vengeful French mobs are outraged when again and again French aristocrats are saved from death by the audacious \"\"Band of the Scarlet Pimpernel\"\"",a secret society of 20 English noblemen,"\"\"one to command","and nineteen to obey\"\". Among the latest scheduled for execution are the Count de Tournay"
The Black Room,1935,68,Horror,6.9,Roy William Neill,Arthur Strawn,Colin Tapley,Boris Karloff,Boris Karloff,Henry Kolker,"In a Tyrolean castle in the late 18th century, twin sons, Gregor and Anton, are born to the de Berghmann baronial family. The baron is concerned: an old prophecy in the family states that the younger brother shall kill the elder in the Black Room of the castle.","","",""
"Ride, Ranger, Ride",1936,63,Drama,4.9,Joseph Kane,Dorrell McGowan,Lloyd Whitlock,Smiley Burnette,George J. Lewis,Robert Homans,"Following the American Civil War the Texas Rangers are disbanded with Texas Ranger Lieutenant Gene Autry (Gene Autry) accepts a commission into the US Army Cavalry who will now police Texas. His men follow him forming a troop. The American Federal Government now has ides about making friends with the hostile Comanche, blaming the hot headed Rangers and all other Texans for inciting the Indians.","","",""
13 Hours by Air,1936,80,Action,6.2,Mitchell Leisen,Bogart Rogers,John Howard,Alan Baxter,Benny Bartlett,Brian Donlevy,"\"Airline pilot Jack Gordon (Fred MacMurray) on a flight from New York to San Francisco, is immediately attracted to beautiful passenger Felice Rollins (Joan Bennett). Known as a \"\"lady's man\"\"",he bets stewardess Vi Johnson (Ruth Donnelly) that he will take Felice out to dinner that evening. A jewel robbery is in the news and a beautiful blonde is implicated,with Jack suspecting that Felice may be the culprit. On a stop over in Chicago,Jack learns instead that his passenger is a wealthy socialite at odds with another passenger
The Outcasts of Poker Flat,1937,67,Drama,5.9,Christy Cabanne,Bret Harte,Bradley Page,Al St. John,Dick Elliott,Van Heflin,"A murderous western outlaw (Mitchell), his wife (Baxter), a disgraced gambler (Robertson) and a faded dance hall floozie (Hopkins), along with a few other socially undesirable characters, are trapped in a snowbound mountain cabin. As the chances for rescue fade, the true natures of the cabin's occupants rise to the surface. A murderous western outlaw, Ryker, leaves death and destruction behind after a robbery in Poker Flat and leaves the loot with his wife, Cal, before riding off. A while later, the shaken town decides to banish all undesirables. They include gambler John Oakhurst, saloonkeeper and madam The Duchess and the town drunk, as well as Cal, who had been spotted with Ryker, even though no one knows they are husband and wife.","","",""
Something to Sing About,1937,93,Comedy,6.2,Victor Schertzinger,Victor Schertzinger,Dwight Frye,James Cagney,Johnny Arthur,Philip Ahn,"\"\"\"Terry Rooney\"\" (James Cagney) is the stage name of Thaddeus McGillicuddy",a popular New York band leader and hoofer with a radio show,who gets an offer to go to Hollywood to make movies. He leaves behind his fiancee,the band's singer
The Amazing Dr. Clitterhouse,1938,87,Drama,7.0,Anatole Litvak,John Wexley,Allen Jenkins,Edward G. Robinson,Henry O'Neill,Donald Crisp,"Dr. Clitterhouse (Edward G. Robinson) is a wealthy society doctor in New York City who decides to research the medical aspects of the behavior of criminals directly by becoming one. He begins a series of daring jewel robberies, measuring his own blood pressure, temperature and pulse before, during and afterwards, but yearns for a larger sample for his study.","","",""
Suez,1938,104,Drama,6.6,Allan Dwan,Sam Duncan,Tyrone Power,J. Edward Bromberg,Sig Ruman,Henry Stephenson,"During a tennis match in Paris between Ferdinand de Lesseps (Tyrone Power) and his friend Vicomte Rene de Latour (Joseph Schildkraut), the enthusiastic admiration of Countess Eugenie de Montijo (Loretta Young) for de Lesseps attracts the attention of Louis-Napoléon Bonaparte (Leon Ames). Bonaparte sees to it that both she and de Lesseps are invited to his reception. At the party, a fortuneteller predicts that Eugenie will have a troubled life, but also wear a crown, and that de Lesseps will dig a ditch. Entranced by Eugenie's beauty, Bonaparte arranges for his romantic rival to be assigned to a diplomatic post in Egypt, joining his father, Count Mathieu de Lesseps (Henry Stephenson), the Consul-General. De Lesseps impulsively asks Eugenie to marry him immediately, but she turns him down.","","",""
Bachelor Mother,1939,82,Comedy,7.5,Garson Kanin,Norman Krasna,Frank Albertson,E.E. Clive,Paul Stanton,Leonard Penn,"Polly Parrish (Ginger Rogers) is a salesgirl at the department store John B. Merlin and Son in New York City. Hired as temporary help for the Christmas season, she receives her dismissal notice as the season comes to a close. During her lunch break, she sees a stranger leaving a baby on the steps of an orphanage. Fearing the baby will roll down the steps, Polly picks it up. An attendant opens the door and mistakenly believes that Polly is the baby's mother.","","",""
