title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Last of the Mohicans,1920,73,Action,6.7,Clarence Brown,James Fenimore Cooper,Nelson McDowell,James Gordon,Theodore Lorch,Alan Roscoe,"The story takes place in 1757 during the French and Indian War in the Adirondack Mountains in the British colony of New York. British Army Major Duncan Heyward arrives in Albany. He has been sent to serve under Colonel Edmund Munro, the commander of Fort William Henry. Heyward is given the task of escorting the colonel’s two daughters, Cora and Alice, to their father. He is a family friend and in love with Cora. He proposes to her before they leave, but she does not give him an answer.","","",""
Nosferatu,1922,94,Horror,7.9,F.W. Murnau,Bram Stoker,Gustav Botz,Gustav von Wangenheim,Max Schreck,John Gottowt,"\"The story is narrated from the diary of Johann Cavallius, historian of the city of Bremen, who is wondering if it was the Nosferatu who brought the plague to Bremen in 1838.Newlyweds Hutter [Gustav von Wangenheim] and Ellen [Greta Schroeder] are saddened when Hutter is sent to Transylvania by Hutter's employer Knock [Alexander Grannach] to arrange for Count Orlok's [Max Schreck] purchase of a house across the street from the Hutters' house in Bremen. Hutter travels to Transylvania where he stays with the Count, is bitten by the Count, and eventually escapes from the castle but not before seeing the Count depart on a cart loaded with coffins. While Hutter recuperates in a hospital after succeeding in his escape, the Count moves into the house across from the Hutters'. The rise in deaths is accredited to a plague thought to have arrived with the Demeter. The \"\"Book of the Vampires\"\" tells Ellen what she must do to end the vampire.The Count meets his doom when Ellen manages to keep him until after cock crow. Best scene is the vampire rising from Ellen's neck after realizing the cock has crowed. As the sun slowly advances on the houses across the street (visible from the window)",the Nosferatu attempts to escape. In doing so,he passes the window and is trapped by the sunlight. He 'vaporizes' into a puff of fire on the carpet. [Original synopsis by bj_kuehl]1922 Version,""
Phantom,1922,125,Drama,6.7,F.W. Murnau,Gerhart Hauptmann,Adolf Klein,Alfred Abel,Hans Heinrich von Twardowski,Anton Edthofer,"The movie begins with a car chase in Chicago, which leads to a scuffle between a man ostensibly named Jude Rosario (Saif Ali Khan) and an American male known as Matthew Broody. The scuffle ends with Broody falling into the icy waters of Chicago River, and his body missing. This results in Rosario being arrested and convicted for murder.","","",""
The Wizard of Oz,1925,95,Comedy,4.9,Larry Semon,L. Frank Baum,Oliver Hardy,Oliver Hardy,Oliver Hardy,Charles Murray,"The film begins in Kansas, which is depicted in a sepia tone. Dorothy Gale lives with her dog Toto on the farm of her Aunt Em and Uncle Henry. Dorothy's dog gets in trouble with a mean neighbor, Miss Almira Gulch, when Toto bites her. However, Dorothy's family and the farmhands are all too busy to pay her any attention. Miss Gulch arrives with permission from the sheriff to have Toto put down. She takes him away, but he escapes and returns to Dorothy, who then decides to run away from home, fearing that Miss Gulch will return.","","",""
Captain Thunder,1930,65,Drama,4.5,Alan Crosland,Pierre Couderc,Charles Judels,Robert Emmett Keane,John St. Polis,Bert Roach,"Victor Varconi is a Mexican bandit who brazenly flaunts his ventures until the people of El Paramo demand that something be done about it. Charles Judles, the Mexican sheriff, offers a large reward for the capture of Varconi. Meanwhile, a pair of lovers, played by Fay Wray and Don Alvarado are disappointed when Wray's father Alvarado request to marry his daughter. Wray's father has his eye on a wealthy gringo, played by Robert Elliott, and wants his daughter to marry him. When Alvarado hears about the large reward for Varconi he sets out for the bandit in the hopes of getting the money so that he can be wealthy enough to please her father and marry Wray. Judles decides to light bonfires at points where the bandit is seen in the hopes of capturing him. When Varconi shows up at Wray hacienda to pay homage to her, she, at first, lights a bonfire. She subsequently changes her mind and hides Varconi from the soldiers when they arrive. At daybreak, Alvarado captures Varconi, in the hopes of getting the reward money. He turns him in and gets the reward money and prepares for the wedding. Varconi soon escapes from prison, to the embarrassment of Judles. At this point Elliot asks Varconi to perform a favor which he had promised him on a previous occasion. Elliot tells Varconi to break up the wedding so that he can marry Wray himself. Immediately after Wray is married by force she retires to her room. A gunshot is then heard. Wray returns to the party where Varconi informs her that she is now a widow and is free to marry Alvarado.","murder, melodrama",train,wikipedia
Bad Girl,1931,90,Drama,6.4,Frank Borzage,Viña Delmar,Paul Fix,Frank Darien,James Dunn,William Bailey,"Dorothy Haley (Sally Eilers) and Edna Driggs (Minna Gombell) are store models, first seen in bridal clothes at work one afternoon. After the job Dorothy fends off her boss, who wants to take her for a ride, by claiming to be married to a prize fighter. The girls then go to Coney Island. On the return steamboat trip, the women make a bet about attracting a certain man's attention, and proceed to annoy him by playing a ukulele. This man is Eddie Collins (James Dunn), and after reacting to the women grouchily, he slowly forms a connection with Dorothy and sees her home. Eddie works in a radio shop and dreams of having a shop on his own, for which he has been saving.","","",""
City Lights,1931,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,Charles Chaplin,Jack Alexander,T.S. Alexander,Harry Myers,"The officials of a city unveil a new statue, only to find The Tramp sleeping on it. They shoo him away and he wanders the streets, destitute and homeless, and is soon tormented by two newsboys. He happens upon a beautiful Flower Girl (Virginia Cherrill), not realizing at first that she is blind, and buys a flower. Just when she is about to give him his change, a man gets into a nearby luxury car and is driven away, making her think that the Tramp has departed. The Tramp tiptoes away.","","",""
City Streets,1931,83,Drama,7.0,Rouben Mamoulian,Dashiell Hammett,William 'Stage' Boyd,Stanley Fields,Robert Homans,Guy Kibbee,"Nan Cooley (Sylvia Sidney), the daughter of racketeer Pop Cooley (Guy Kibbee), is in love with The Kid (Gary Cooper), a shooting gallery showman. Cooley tries to urge him to join the gang, in order to earn enough money to support her in the lifestyle she is accustomed to, but The Kid refuses. Soon her father kills bootlegging chief Blackie (Stanley Fields), at the urging of Big Fella Maskal (Paul Lukas), because Blackie was against Maskal's involvement with Blackie's gun moll Aggie (Wynne Gibson).","","",""
Million Dollar Legs,1932,64,Comedy,6.8,Edward F. Cline,Joseph L. Mankiewicz,Ben Turpin,Andy Clyde,Jack Oakie,W.C. Fields,"While visiting the mythical country of Klopstokia on business, brush salesman Migg Tweeny (Jack Oakie) collides with a young woman (Susan Fleming) on the street and the two fall instantly in love. Her name is Angela—all the women in Klopstokia are named Angela, and the men are named George—and she is the daughter of Klopstokia's President (W. C. Fields), whose country is bankrupt, and who relies upon his great physical strength to dominate a cabinet that is conspiring to overthrow him. Tweeny, hoping to win the hand of The President's daughter in marriage, presents him with a plan to remedy Klopstokia's financial woes: The President is to enter the 1932 Summer Olympics, win the weightlifting competition, and collect a large cash reward that has been offered to medalists by Tweeny's employer. Tweeny then sets out to find athletes to make up Klopstokia's Olympic team, and quickly discovers that the country abounds in athletes of preternatural abilities. The team, with Tweeny as their trainer, boards a steamship bound for America.","","",""
Shanghai Express,1932,82,Drama,7.3,Josef von Sternberg,Jules Furthman,Warner Oland,Emile Chautard,Lawrence Grant,George Blagoi,"\"In 1931, China is embroiled in a civil war. Friends of British Captain Donald \"\"Doc\"\" Harvey (Clive Brook) envy him because the fabulously notorious Shanghai Lily (Marlene Dietrich) is a fellow passenger on the express train from Beiping to Shanghai. Since the name means nothing to him","they inform him that she is a \"\"coaster\"\" or \"\"woman who lives by her wits along the China coast\"\" – in other words",a courtesan. On the journey,Harvey encounters Lily
