title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
A Tale of Two Cities,1917,70,Drama,6.1,Frank Lloyd,Charles Dickens,Marc B. Robbins,Ralph Lewis,Herschel Mayall,William Farnum,=== Book the First: Recalled to Life ===,"","",""
Pollyanna,1920,58,Comedy,6.4,Paul Powell,Eleanor H. Porter,Herbert Prior,Howard Ralston,Doc Crane,William Courtleigh,The film opens in the Ozarks where a distraught Pollyanna (Mary Pickford) is comforting her father the Reverend John Whittier (Wharton James) as he dies. After his death Pollyanna is sent to live on a New England plantation with her Victorian Aunt Polly (Katherine Griffith).,"","",""
Chicago,1927,105,Comedy,7.3,Frank Urson,Maurine Dallas Watkins,Robert Edeson,Victor Varconi,Warner Richmond,T. Roy Barnes,"\"At the start of the silent version of Chicago, Amos Hart (a much more sympathetic role than in either the source play or the later musical) wakes up and makes breakfast for Roxie, his wife, who makes light of his obvious affection. He goes to his job at a nearby cigar store, meeting Katie, the cleaning girl, who thanks him for a coupon that allowed her to buy an \"\"Ingersoll\"\" (an inexpensive pocket watch). At Amos' store","a customer jokes that he's about to give his girl \"\"the air.\"\" The customer",who is Roxie's lover,arrives at her flat and makes it clear he's tired of her demands for money. She attempts to seduce him and take more money
The Farmer's Wife,1928,129,Comedy,5.8,Alfred Hitchcock,Leslie Arliss,Gibb McLaughlin,Haward Watts,Jameson Thomas,Gordon Harker,"Tibby, the wife of Samuel Sweetland (Jameson Thomas) dies, and shortly afterwards his daughter marries and leaves home, leaving him on his own with his two servants. His wife had told him that he should remarry after her death, so he pursues some local spinsters who were at his daughter's wedding after he and his housekeeper Minta (Lillian Hall-Davis) make out a list of possibilities.","","",""
Disraeli,1929,90,Drama,6.1,Alfred E. Green,Julien Josephson,Anthony Bushell,David Torrence,George Arliss,Michael Visaroff,"In 1874, Disraeli's ambitious foreign policy, aimed at creating a British empire, is voted down by the House of Commons after a speech by his great rival, William Gladstone. Later, Disraeli receives the welcome news that the spendthrift Khedive of Egypt is in dire need of money and is willing to sell the controlling shares in the Suez Canal. The purchase of the canal would secure control of India, but Michael Probert, head of the Bank of England, makes it clear to Disraeli that he is vehemently opposed to any such plan. Disraeli then summons Hugh Myers, a leading Jewish banker.","","",""
Ecstasy,1933,82,Drama,6.6,Gustav Machatý,Robert Horky,Bedrich Vrbský,Leopold Kramer,Zvonimir Rogoz,Aribert Mog,"Emil (Zvonimir Rogoz), a precise, orderly older man, carries his happy new bride Eva (Hedy Lamarr) over the threshold of their home. (He has great difficulty opening the lock on the front door, trying key after key.) She is greatly disappointed on her wedding night; he does not even come to bed. After living in the unconsummated marriage for a while, she cannot bear it any longer and runs back to her father (Leopold Kramer), a horse breeder. A divorce is issued.","","",""
One Way Passage,1932,67,Comedy,7.5,Tay Garnett,Wilson Mizner,Frederick Burton,Stanley Fields,Mike Donlin,Glen Cavender,"Dan Hardesty (William Powell) is an escaped murderer, sentenced to hang. In Hong Kong, he meets Joan Ames (Kay Francis), a terminally-ill woman, in a bar. They share a drink, then Dan breaks his glass, followed by Joan. Police Sergeant Steve Burke (Warren Hymer) captures Dan when he leaves (though out of sight of Joan) and escorts his prisoner aboard an ocean liner crossing the Pacific to San Francisco. On board, Dan jumps into the water in a bid to escape, dragging a handcuffed (and non-swimmer) Steve with him, but spots Joan among the passengers and changes his mind. Once the ship is underway, he persuades Steve to remove his handcuffs. Dan and Joan fall in love on the month-long cruise, neither knowing that the other is under the shadow of death.","","",""
Maniac,1934,51,Horror,3.7,Dwain Esper,Hildegarde Stadie,Bill Woods,John P. Wade,Horace B. Carpenter,Ted Edwards,"\"(00:00) The film starts with a written introduction: \"\"FOREWORD: The brain",in and of its physical self,does not think any more than a musical instrument can give forth melody without the touch of the musicians hand. The brain is indeed the instrument of thinking,but the mind is the skilful player that makes it give forth the beautiful harmony of thought It is because of the disastrous results of fear brought not only on the individual but on the nation
The Singing Cowboy,1936,56,Drama,5.8,Mack V. Wright,Dorrell McGowan,Harvey Clark,Smiley Burnette,Earle Hodgins,Earl Eby,"Ranch owner Steve Stevens (John Van Pelt) is shot by his greedy partner, Martin (Lon Chaney, Jr.), who then sets fire to Stevens' barn. Stevens' last request is for cowboy Gene Autry (Gene Autry) to look after his daughter, Lou Ann (Ann Gillis), who was trampled by a horse during the barn fire and paralyzed. Martin befriends Lou Ann, hoping to gain possession of the secret gold mine beneath the Stevens' ranch. Lou Ann does not suspect Martin in her father's murder.","","",""
A Night of Terror,1937,86,Drama,6.5,Rowland V. Lee,Frank Vosper,Eugene Leahy,Bruce Seton,Bryan Powley,Donald Calthrop,"Carol Howard (Ann Harding) is young woman who works in London at a very ordinary clerical job. She wins a fortune, ninety thousand pounds, in a French lottery. According to what we find later, this is 36 times the price of a nice cottage in the country. She walks off her job and returns to her modest apartment to talk to her best friend Binnie Hale (Kate Meadows) and her elderly aunt Lou (Jean Cadell), who uses complaints about her health to get a bit of loving attention. Carol wants to have luxury and fun with her money for a while, and postpone worrying about her future.Carol's fiancé Ronald Bruce (Bruce Seton), after years of hard work, is just about to get a promotion, and does not want to give that up. His refusal to quit his job causes disagreements and they break up.Carol makes living arrangements for Aunt Lou and puts her flat on the market for rent prior to leaving for France to collect her money and travel in luxury. Cultivated bachelor Gerald Lovell (Basil Rathbone) shows up to inspect the flat and says it is just what he needs. He claims to be a wealthy chemical engineer with a passion for his photography hobby, and he takes the modest flat although he could afford something much more expensive, explaining it reminds him pleasantly of his youth.As Carol and Kate get on the boat to go to Paris, they find Gerald is on board. Gerald now turns on the charm, and Carol quickly falls in love with the romantic and sophisticated man, who is a connoisseur of food, art and Paris.Some time later Ronald comes to Paris and seeks out Carol in her luxurious dwelling, having had second thoughts about their breakup, offering to change his work plans, but it is too late. Carol has married Gerald, despite warnings from Kate.Indications that Gerald has major things to hide begin as the couple makes plans to return to England. Gerald claims that bureaucratic problems with his bankers make it necessary for him to borrow five thousand pounds to make the purchase of a charming secluded country cottage, and he gets Carol to sign legal documents without reading the details.As they move into their cottage, Gerald insists on setting his darkroom in the basement, and has strict orders that no one should ever enter it, on the excuse that there are dangerous poisonous chemicals around. Gerald's violent anger when a servant puts a package inside the basement, or when Carol comes in to talk to him there, indicate he is disturbed and possibly dangerous.In the following weeks, Gerald succeeds in isolating Carol so she has no one to talk to. Then he announces that on the day of the town fair they will be leaving for a long trip to a location that only he knows. He shows signs of illness, and Carol insists that he see the local doctor, despite loud protestations from him that doctors are all quacks, and he will refuse to take any medicines.At about this time Carol hears from the servants that the cottage they live in was priced at two thousand five hundred pounds, not the five thousand that Gerald had borrowed. When Gerald hears about this discrepancy, he goes into an angry tirade. At this moment Carols attitude switches from idyllic honeymoon to fear.When Dr. Gribble (Bryan Powley) examines Gerald, he diagnoses Gerald as having a serious heart condition that threatens his life unless it is treated. Gerald dismisses Dr. Gribble completely until the doctor happens to notice a book that Gerald has been reading that denotes a serious interest in criminology. They strike up a conversation on the book and the criminal case histories in it, focusing on Fletcher, a serial murderer of wealthy women who has avoided conviction. Gerald waxes lyrical, enthusiastic and admiring in talking about Fletcher's accomplishments. As Dr. Gribble examines the book section on Fletcher, he says he has the same book at his home but it must be a different printing, as his book has a photograph of Fletcher. The doctor offers to bring his own copy of the book some time, but Gerald says some other time, as they are leaving for a long trip in the following morning.Ronald and Kate show up at the cottage, sensing that something may be wrong. Carol is very happy to see them and wants to invite them to stay for dinner, as she has arranged for a celebration dinner of sorts with the maid Emmy (Joan Hickson). But when Carol goes upstairs to tell Gerald about it, he goes berserk and yells angrily that he won't put up with them for one minute.As Carol is saying a slow good bye to Ronald and Kate, Dr. Gribble comes back to the house with his own copy of the criminal case histories book. A comparison with his copy shows that the portrait of Fletcher has been torn from Gerald's copy. Fletcher has a beard and is blond, while Gerald has a small mustache and is black haired, but we the viewers can recognize him. Carol comments that he does look vaguely familiar.Dr. Gribble leaves, Gerald comes down the stairs and, after dismissing Emmy for the night and until they return, proceeds to lock all doors of the house. By this time Carol becomes very concerned about her own safety as Gerald's psychological problems are increasingly manifest. In order to gain time she goes ahead with the planned elaborate dinner, and in her conversations she is both verifying her worst fears that Gerald is Fletcher and intends to kill her shortly, and planning some sort of escape.As the conversation proceeds, it gets ever more intense, and Gerald notices that a sort of confession is being wheedled out of him. He confesses that he learned that Carol had won the lottery from the agent who was offering the apartment for rent. Leaving little unclear, he talks about why he has murdered several women, his attitudes that no woman could ever match his intellect. Carol in desperation claims that she herself is a murderer that got away with it. As Gerald demands to know more and more details of what and how and why of her murder, just at the moment when he finally decides that she is lying, and he announces triumphantly that he doesn't believe her, she tells him that his coffee has been poisoned, and that she is just making time until he drops dead. She points out to him that she has not taken any coffee at all, and she stares at him.Gerald, taken aback, rises, his weak heart gives out, and he collapses to the floor.Miraculously, at this time, Dr. Gribble, Kate and Ronald arrive, with help from others they break into the locked house, and all is well for Carol at the end.","insanity, romantic",train,imdb
They Gave Him a Gun,1937,94,Drama,6.3,W.S. Van Dyke,William J. Cowen,Charles Trowbridge,Cliff Edwards,Edgar Dearing,Ernie Alexander,"The movie begins in World War I when a young man named Jimmy (Franchot Tone) unexpectedly becomes a hero by killing all the Germans in a machine gun nest. But he is then severely wounded and spends time in a hospital being cared for by a nurse, Rose (Gladys George), with whom he falls in love. But she is really in love with Jimmy’s buddy, Fred (Spencer Tracy), a carnival barker. However, when Fred doesn't return from the battlefield, the two think he’s been killed (when he was merely captured) and so they make wedding plans. Then when Fred returns he decides to support Jimmy and Rose marrying, even though it breaks his heart. After the war Fred meets up with Jimmy again and discovers that Jimmy is a racketeer who uses his battle skills to commit murder. So he tells Rose, who had no idea. She then reports her husband to the police so he will go to prison and be reformed. But Jimmy breaks out of prison and tries to take Rose on the lam with him. At this point Fred intervenes. Jimmy, feeling undeserving, commits suicide by police.",murder,val,wikipedia
Flash Gordon's Trip to Mars,1938,299,Action,6.9,Ford Beebe,Ray Trampe,Frank Shannon,Donald Kerr,C. Montague Shaw,Kenne Duncan,"\"When a mysterious beam of light starts disrupting and destroying the Earth's atmosphere, Flash Gordon (Larry \"\"Buster\"\" Crabbe)",Dr. Zarkov (Frank Shannon),and Dale Arden (Jean Rogers) - accidentally accompanied by wisecracking reporter Happy Hapgood (Donald Kerr) - swing into action in Zarkov's rocketship,believing that it could be coming from the planet Mongo. Once in space
Allegheny Uprising,1939,81,Drama,6.3,William A. Seiter,P.J. Wolfson,Chill Wills,Wilfrid Lawson,John F. Hamilton,Moroni Olsen,"In the southwestern Pennsylvania region, of colonial America, in the 1760s, colonial distaste and disapproval of the British government is starting to surface. Many local colonists have been killed by Native Americans, who are armed with rifles supplied by white traders. Local adventurer, James Smith (John Wayne) and his followers complain to British officials, pressuring them to make it illegal to trade weapons to the Indians. Trader Ralph Callender (Brian Donlevy) and other businessmen are not happy with the new law, as it cuts into their profit. They continue to trade with the local Native American population, hiding rifles and rum inside military supply trains. When the British authorities fail to do anything to prevent this, James Smith organizes his men and heads out to intercept the wagon train. Smith's spirited and bold girlfriend, Janie McDougall (Claire Trevor), assists him and his men in posing as Indians to intercept the gun shipments.","","",""
Double Deal,1939,60,Action,5.6,Arthur Dreifuss,Arthur Hoerl,Maceo Bruce Sheffield,Buck Woods,Tom Southern,Charles Hawkins,"After a dice game one night in the Oklahoma oil town of Richfield, out-of-work engineer Buzz Doyle is broke. Another gambler, Reno Sebastian, has been cleaned out, too, but hostess Terry Miller tips them off that her boss Walter Karns, the big winner, was cheating with loaded dice.","","",""
The Mikado,1939,90,Comedy,6.4,Victor Schertzinger,W.S. Gilbert,Sydney Granville,Martyn Green,Leslie Phillips,Gregory Stroud,=== Act I ===,"","",""
The Saint Strikes Back,1939,64,Drama,6.2,John Farrow,John Twist,Edward Gargan,Neil Hamilton,George Sanders,Jonathan Hale,"While dancing at a New Year's party, the Saint spots an agent of Valerie Travers preparing to shoot someone, so Templar guns him down first at the stroke of midnight. Templar is placed by witnesses at the scene, so the San Francisco police request the assistance of Inspector Henry Fernack (Jonathan Hale) of the NYPD. Before Fernack can leave, the Saint arrives in New York and accompanies him to the West Coast.","","",""
