title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Squaw Man,1914,74,Action,5.7,Oscar Apfel,Edwin Milton Royle,Foster Knox,Fernando Gálvez,Fred Montague,Monroe Salisbury,"\"James Wynnegate (Dustin Farnum) and his cousin, Henry (Monroe Salisbury), are upper class Englishmen and have been made trustees for an orphans’ fund. Henry loses money in a bet at a derby and embezzles money from “the fund” to pay off his debts. When war office officials are informed of the money missing from “the fund,\"\" they pursue James",but he successfully escapes to Wyoming. There,James rescues Nat-U-Ritch (Lillian St. Cyr),daughter to the chief of the Utes tribe
Dante's Inferno,1924,60,Drama,5.7,Henry Otto,Cyrus Wood,Ralph Lewis,Lorimer Johnston,William Scott,Lawson Butt,"The exhumation of Lizzie Siddal's desiccated body is seen, followed by a shot of Rossetti dancing among the flames of a bonfire of paintings by Reynolds and Gainsborough. A voice-over informs us that Rossetti is a founder of a revolutionary group of artists called the Pre-Raphaelite Brotherhood. The figure of the young Lizzie dressed as Joan of Arc appears above the flames.","","",""
Battleship Potemkin,1925,66,Drama,7.9,Sergei Eisenstein,Nina Agadzhanova,Aleksandr Antonov,Konstantin Feldman,Grigoriy Aleksandrov,Vladimir Barskiy,"\"ACT I: \"\"Men and Maggots\"\"In June of 1905",the armored battle ship Potemkin is near Odessa on the Black Sea returning after Russia's defeat in the Russo-Japanese war.We see many sailors asleep in their gently swaying hammocks. A petty officer walks checking the dormitory. A young sailor sleeps with a shoulder and arm hanging outside his hammock. This inconveniences the movements of the officer,and he reacts by whipping the young man. A few of the other sailors wake up and observe this act.In the morning,the ship's cook has hung large pieces of beef just outside the kitchen. We see ordinary sailors talking to each other
King Kong,1933,100,Horror,7.9,Merian C. Cooper,James Ashmore Creelman,Bruce Cabot,Steve Clemente,Frank Reicher,James Adamson,"\"In 1933, in New York harbor Carl Denham (Robert Armstrong), a fierce independent film director famous for shooting animal pictures in remote and exotic locations, who is also a shifty showman, has recruited a bunch of macho seamen but is unable to hire an actress for his newest project His usual agent Charles Weston (Sam Hardy) refuses to supply anyone because of the dangerous nature of the expedition, so Carl goes wandering in the streets of New York searching for a suitable girl.He chances upon starving unemployed Ann Darrow (Fay Wray), as she is caught trying to steal an apple. Denham is taken with her, pays off the grocer , then buys her a meal and tries to convince her to join him on the adventure of a lifetime, offering her the lead in his project. Although Ann is apprehensive, she has nothing to lose and agrees.They set sail aboard the Venture, a tramp steamer, and travel for weeks in the direction of Indonesia, where Denham claims they will be shooting.Despite his ongoing declarations that women have no place on board ships, the ship's first mate Jack Driscoll (Bruce Cabot) is obviously becoming attracted to Ann. Denham informs Driscoll he has enough trouble without the complications of a seagoing love affair. Driscoll sneers at the suggestion, reminding Denham of his toughness in past adventures.Denham's reply outlines the theme of the movie he is making: \"\"The Beast was a tough guy too. He could lick the world",but when he saw Beauty,"she got him. He went soft. He forgot his wisdom and the little fellas licked him.\"\"One afternoon Carl wants to practice filming with Ann. As he rolls the camera",he tells her first to look around relaxed
Little Miss Marker,1934,80,Comedy,6.9,Alexander Hall,Damon Runyon,Garry Owen,Adolphe Menjou,Huey White,Charles Bickford,"\"The film tells the story of \"\"Marky\"\" (Shirley Temple)","whose father gives her to a gangster-run gambling operation as a \"\"marker\"\" (collateral) for a bet. When he loses his bet and commits suicide",the gangsters are left with her on their hands. They decide to keep her temporarily and use her to help pull off one of their fixed races,naming her the owner of the horse to be used in the race.
When a Man Sees Red,1934,60,Action,5.0,Alan James,Basil Dickey,Frank Ellis,LeRoy Mason,Frank LaRue,Syd Saylor,"\"As described in a film magazine, after a long sea voyage, Larry Smith (Farnum) comes home to find his sister (Bower) dead, the victim of some unknown person. Shortly after his mother (Drew) dies of a broken heart, Smith sets sail with a determination to wreck vengeance upon the murderer. Unknowingly he has become a mate to Captain Sutton (Nye), the man who ruined his sister. At a South Sea port Smith meets Violet North (Carmen), known as the Painted Lady. Smith falls in love with her and proposes, but she will not marry him because of her past, and the next day sails away with the rest of her party. Logan (Robbins), one of the \"\"dogs\"\" on Sutton's vessel",was a witness to Sutton's attack on the Smith girl and for this reason Sutton sails away leaving Logan on shore alone. Logan meets Smith and tells his tale. Logan and Smith search the islands for a trace of Sutton. When a storm rises and Violet,aboard a yacht,is tossed onto the island occupied by Smith. Sutton also comes ashore on a boat. Thirst for revenge seizes Smith and he attacks Sutton
The Littlest Rebel,1935,73,Comedy,6.7,David Butler,Edwin J. Burke,Bill Robinson,Guinn 'Big Boy' Williams,Willie Best,Jack Holt,"The film opens in the ballroom of the Cary plantation on Virgie’s (Shirley Temple) sixth birthday. Her slave Uncle Billy (Bill Robinson) dances for her party guests, but the celebration is brought abruptly to an end when a messenger arrives with news of the assault on Fort Sumter and a declaration of war. Virgie’s father (John Boles) is ordered to the Armory with horse and side-arms. He becomes a scout for the Confederate Army, crossing enemy lines to gather information. On these expeditions, he sometimes briefly visits his family at their plantation behind Union lines.","","",""
Murder on a Honeymoon,1935,74,Comedy,6.7,Lloyd Corrigan,Seton I. Miller,DeWitt Jennings,Leo G. Carroll,Willie Best,Chick Chandler,"On a short flight to Catalina Island off the California coast, a passenger named Roswell T. Forrest (Brooks Benedict) gets sick. Hildegarde Withers (Edna May Oliver) and the others aboard are startled when he is found dead upon landing. It appears to be murder to Miss Withers, but she has a tough time convincing local Police Chief Britt (Spencer Charters) and coroner Dr. O'Rourke (Arthur Hoyt).","","",""
The Devil-Doll,1936,78,Drama,7.0,Tod Browning,Garrett Fort,Henry B. Walthall,Arthur Hohl,Robert Greig,Frank Lawton,"Paul Lavond (Barrymore), who was wrongly convicted of robbing his own Paris bank and killing a night watchman more than seventeen years ago, escapes Devil's Island with Marcel (Henry B. Walthall), a scientist who is trying to create a formula to reduce people to one-sixth of their original size. The intended purpose of the formula is to make the Earth's limited resources last longer for an ever-growing population. The scientist dies after their escape.","","",""
Dracula's Daughter,1936,71,Drama,6.3,Lambert Hillyer,Garrett Fort,Otto Kruger,Gilbert Emery,Edward Van Sloan,Halliwell Hobbes,"\"NOTE: \"\"Dracula's Daughter\"\" picks up from where \"\"Dracula\"\" (1931) ends.Two constables find Professor Van Helsing [Edward van Sloan] in the crypt standing over the bodies of Dracula and Renfield. They take Van Helsing into custody because \"\"this is a case for Scotland Yard.\"\" Dracula's body is stolen by his daughter",the Countess Marya Zaleska [Gloria Holden]. Looking for release from the Dracula curse,she burns his body.Meanwhile,psychologist Jeffrey Garth [Otto Kruger]is called in to defend Van Helsing. Garth meets the Countess at a party
