title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
"His Majesty, the Scarecrow of Oz",1914,59,Comedy,5.4,J. Farrell MacDonald,L. Frank Baum,Frank Moore,Todd Wright,Fred Woodward,Fred Woodward,"King Krewl (Raymond Russell) is a cruel dictator in the Emerald City in the Land of Oz. He wishes to marry his daughter, Princess Gloria (Vivian Reed), to an old courtier named Googly-Goo (Arthur Smollett), but she is in love with Pon, the Gardener's boy (Todd Wright). Krewl employs the Wicked Witch named Mombi (Mai Wells), to freeze the heart of Gloria so she will not love Pon any longer. This she does by pulling out her heart (which looks somewhere between a valentine and a bland representation of a heart without any vessels) and coating it with ice. Meanwhile, a lost little girl from Kansas named Dorothy Gale (Violet MacMillan), is captured by Mombi and imprisoned in her castle. However, Dorothy runs away with the now heartless Gloria, accompanied by Pon and eventually meet the Scarecrow (Frank Moore). Mombi catches up with the travelers and removes the Scarecrow's stuffing, but Dorothy and Pon are able to re-stuff him; Gloria abandons them and wanders off.","","",""
The War Horse,1927,50,Drama,6.5,Lambert Hillyer,Buck Jones,Lloyd Whitlock,James Gordon,Buck Jones,Stanley Taylor,"In 1914, teenage boy named Albert Narracott (Jeremy Irvine) from Devon, England, witnesses the birth of a Bay Thoroughbred foal and subsequently watches with admiration the growth of the young horse. Much to the dismay of his mother Rose (Emily Watson), his father Ted buys the colt at auction, outbidding their landlord Lyons, despite their needing a more suitable plough horse for the farm work. Albert's best friend, Andrew Easton, watches as Albert teaches his colt many things, such as to come when he imitates the call of an owl by blowing through his cupped hands. He names the horse Joey.","","",""
Just Imagine,1930,113,Comedy,5.4,David Butler,Buddy G. DeSylva,Kenneth Thomson,John Garrick,El Brendel,Frank Albertson,"\"In 1980, J-21 (John Garrick) sets his aircraft on \"\"hover\"\" mode in New York",lands and converses with the beautiful LN-18 (Maureen O'Sullivan). He describes how the marriage tribunal had refused to consider J-21's marital filing and applications,and LN-18 is going to be forced to marry the conceited and mean MT-3 (Kenneth Thomson). J-21 plans to visit LN-18 that night.,""
Dr. Jekyll and Mr. Hyde,1931,98,Horror,7.6,Rouben Mamoulian,Samuel Hoffenstein,Halliwell Hobbes,Robert Adair,William Begg,Edgar Norton,"\"Dr. Henry Jekyll (pronounced \"\"jeekle\"\") (Fredric March)",a kind English doctor in Victorian London,is playing the organ when his butler,Poole (Edgar Norton)
The Monster Walks,1932,57,Horror,4.1,Frank R. Strayer,Robert Ellis,Rex Lease,Willie Best,Mischa Auer,Sidney Bracey,"The film opens with Ruth Earlton and her fiance Dr. Ted Carver arriving at her father's house. She has been told that her father has died, and is returning to find out what will be done with the estate. They arrive on a stormy night, and are greeted by her invalid uncle Robert, the housekeeper Mrs. Krug and the housekeeper's son Hanns.","","",""
Pack Up Your Troubles,1932,68,Comedy,7.2,George Marshall,H.M. Walker,Stan Laurel,Oliver Hardy,James Finlayson,Tom Kennedy,"\"In 1917, Stan (Stan Laurel) and Ollie (Oliver Hardy) are drafted into the American Expeditionary Force to fight in World War I. Their ineptitude during basic training antagonizes the drill sergeant and they are assigned to kitchen duties. They misunderstand the cook's instructions and empty the garbage cans into the general's private dining room. The cook (George Marshall), who is thrown in the stockade with them, curses their \"\"snitching\"\" and threatens them with violence after they are released. They escape his wrath when they are shipped to the trenches in France.","","",""
The Three Musketeers,1933,210,Action,5.3,Colbert Clark,Alexandre Dumas,Jack Mulhall,Robert Frazer,Noah Beery Jr.,John Wayne,"In Venice, the musketeers Athos, Porthos, and Aramis, with the help of Milady de Winter, steal airship blueprints made by Leonardo da Vinci. However, they are betrayed by Milady, who incapacitates them and sells the blueprints to the Duke of Buckingham.","","",""
British Agent,1934,80,Drama,6.1,Michael Curtiz,R.H. Bruce Lockhart,Ivan F. Simpson,Cesar Romero,Halliwell Hobbes,J. Carrol Naish,"In the days leading up to the Russian Revolution, Stephen Locke (Leslie Howard), a minor British diplomat, watches rioting in the streets. Revolutionary Elena Moura (Kay Francis) shoots it out with a Cossack soldier; when she retreats onto the grounds of the consulate, the soldier follows, forcing Stephen to intervene to protect British extraterritoriality. After the Cossack leaves, Elena emerges; she and Steven are attracted to each other, but their politics clash. Elena departs.","","",""
The Lost Patrol,1934,73,Action,6.8,John Ford,Dudley Nichols,J.M. Kerrigan,Reginald Denny,Victor McLaglen,Douglas Walton,"During World War I, the commanding officer of a small British patrol in the Mesopotamian desert is shot and killed by an unseen Arab sniper, leaving the Sergeant at a loss, since he had not been told what their mission is. He decides to try to rejoin the brigade, though he does not know where they are or where he is.","","",""
Condemned to Live,1935,67,Drama,4.8,Frank R. Strayer,Karen DeWolf,Ralph Morgan,Robert Frazer,Carl Stockdale,Pedro de Cordoba,"\"Professor Paul Kristan [Ralph Morgan] doesn't know that his mother was bitten by a vampire bat just before he was born. The doctor who delivered the baby some 40 years ago in a bat-infested cave within earshot of angry native drums in the darkest reaches of Africa, handed the bundle of joy to his colleague, Doctor Anders Bizet [Pedro de Cordoba], who raised the boy as his own son. Paul is now a grown man, beloved by everyone in the village because of his \"\"goodness\"\"",and engaged to be married to the flower of the village,the beautiful Marguerite Mane [Maxine Doyle].Then the murders start. Three victims have been found lying in the caves,their throats torn open and the blood drained from their bodies. The cry goes up that this the work of a huge and loathsome vampire bat that kills during the dark of night and then carries the bodies into the caves. Only young David [Russell Gleason] cannot accept that there is a bat large enough to carry a human body. The good Professor isn't certain that it's a bat
